Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.22,0.00,6.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.49,1.09
HTTP Connection Overhead (ms),0.42,0.00,12.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.32,2.05
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),2.03,1.33,2.51,1.33,1.33,1.36,1.82,2.09,2.32,2.50,2.50,2.50,0.39
HTTP Data Sent (KB),9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,0.00
HTTP DNS Lookup (ms),0.19,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.83,0.96
HTTP Duration (excl. conn) (ms),2356.37,1413.54,3265.28,1418.62,1466.57,1590.70,2184.72,2436.20,2680.28,2832.10,2898.79,3207.76,450.47
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.83,0.45,7.41,0.48,0.49,0.51,0.55,0.57,0.62,0.72,1.23,6.54,1.17
HTTP Total Time (ms),2356.77,1413.53,3277.71,1418.61,1466.56,1590.69,2184.71,2437.37,2680.27,2832.08,2898.78,3216.61,451.10
HTTP Waiting (TTFB) (ms),2355.52,1412.89,3257.82,1417.98,1466.05,1590.08,2183.93,2432.80,2679.73,2831.46,2898.17,3201.77,450.11
Image Latency (ms/image),2356.44,1413.61,3265.48,1418.69,1466.63,1590.77,2184.81,2436.33,2680.35,2832.17,2898.87,3207.97,450.48
Image Throughput (images/sec),0.44,0.31,0.71,0.31,0.34,0.35,0.37,0.41,0.46,0.63,0.68,0.70,0.10
Input Sequence Length (tokens),5393.90,5393.00,5394.00,5393.00,5393.00,5393.90,5394.00,5394.00,5394.00,5394.00,5394.00,5394.00,0.30
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),280.05,144.00,366.00,144.99,146.00,147.00,245.00,299.00,338.00,365.00,365.00,366.00,73.28
Output Token Count (tokens),280.05,144.00,366.00,144.99,146.00,147.00,245.00,299.00,338.00,365.00,365.00,366.00,73.28
Request Latency (ms),2356.44,1413.61,3265.48,1418.69,1466.63,1590.77,2184.81,2436.33,2680.35,2832.17,2898.87,3207.97,450.48
Usage Completion Tokens (tokens),280.05,144.00,366.00,144.99,146.00,147.00,245.00,299.00,338.00,365.00,365.00,366.00,73.28
Usage Prompt Tokens (tokens),5393.90,5393.00,5394.00,5393.00,5393.00,5393.90,5394.00,5394.00,5394.00,5394.00,5394.00,5394.00,0.30
Usage Total Tokens (tokens),5673.95,5538.00,5760.00,5538.00,5540.00,5541.00,5639.00,5692.50,5732.00,5759.00,5759.00,5760.00,73.29

Metric,Value
Benchmark Duration (sec),59.90
Maximum Response Timestamp (ns),1777530165705180160.00
Minimum Request Timestamp (ns),1777530105803855872.00
Output Token Throughput (tokens/sec),467.52
Request Count,100.00
Request Throughput (requests/sec),1.67
Total Input Sequence Length (tokens),539390.00
Total Output Sequence Length (tokens),28005.00
Total Output Tokens (tokens),28005.00
Total Token Throughput (tokens/sec),9472.16
Total Usage Completion Tokens (tokens),28005.00
Total Usage Prompt Tokens (tokens),539390.00
Total Usage Total Tokens (tokens),567395.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,GPU Power Usage (W),71.98,71.42,72.19,71.48,71.62,71.71,71.86,72.02,72.10,72.19,72.19,72.19,0.19,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,GPU Memory Used (GB),7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,GPU Temperature (°C),34.09,32.00,35.00,32.00,32.00,33.00,34.00,34.00,35.00,35.00,35.00,35.00,0.80,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ce4335d-36e1-78c0-0dbb-04b63e12efdc,GPU Power Usage (W),195.06,69.21,214.35,69.21,98.51,197.87,200.28,205.43,208.23,210.46,210.79,213.18,33.48,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ce4335d-36e1-78c0-0dbb-04b63e12efdc,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ce4335d-36e1-78c0-0dbb-04b63e12efdc,GPU Utilization (%),91.17,0.00,100.00,0.00,0.00,75.70,100.00,100.00,100.00,100.00,100.00,100.00,26.74,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ce4335d-36e1-78c0-0dbb-04b63e12efdc,GPU Memory Used (GB),34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ce4335d-36e1-78c0-0dbb-04b63e12efdc,GPU Temperature (°C),36.66,30.00,38.00,30.00,34.00,35.00,37.00,37.00,37.00,38.00,38.00,38.00,1.56,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ce4335d-36e1-78c0-0dbb-04b63e12efdc,Memory Utilization (%),50.07,0.00,58.00,0.00,0.00,40.20,53.00,55.00,56.00,57.00,57.00,57.37,14.93,localhost
