Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.18,0.00,4.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.28,0.86
HTTP Connection Overhead (ms),0.33,0.00,9.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.90,1.60
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),2.10,1.33,2.50,1.33,1.36,1.56,1.95,2.14,2.32,2.50,2.50,2.50,0.33
HTTP Data Sent (KB),9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,0.00
HTTP DNS Lookup (ms),0.15,0.00,4.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.62,0.74
HTTP Duration (excl. conn) (ms),3023.62,1786.32,4096.77,1821.10,2294.18,2397.15,2669.23,2964.16,3448.64,3682.40,3753.50,4047.42,499.06
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.79,0.50,6.77,0.50,0.53,0.54,0.54,0.55,0.56,0.61,0.80,6.70,1.13
HTTP Total Time (ms),3023.93,1786.31,4104.61,1821.09,2294.17,2397.14,2669.22,2964.15,3448.63,3683.96,3753.49,4047.48,499.65
HTTP Waiting (TTFB) (ms),3022.81,1785.73,4090.02,1820.54,2293.60,2396.59,2668.67,2963.61,3448.10,3676.22,3752.73,4046.64,498.64
Image Latency (ms/image),3023.69,1786.39,4097.00,1821.17,2294.25,2397.21,2669.30,2964.23,3448.71,3682.62,3753.56,4047.49,499.07
Image Throughput (images/sec),0.34,0.24,0.56,0.25,0.27,0.27,0.29,0.34,0.37,0.42,0.44,0.55,0.06
Input Sequence Length (tokens),5393.90,5393.00,5394.00,5393.00,5393.00,5393.90,5394.00,5394.00,5394.00,5394.00,5394.00,5394.00,0.30
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),293.37,144.00,366.00,144.99,148.00,193.80,267.25,299.50,334.00,365.00,366.00,366.00,60.85
Output Token Count (tokens),293.37,144.00,366.00,144.99,148.00,193.80,267.25,299.50,334.00,365.00,366.00,366.00,60.85
Request Latency (ms),3023.69,1786.39,4097.00,1821.17,2294.25,2397.21,2669.30,2964.23,3448.71,3682.62,3753.56,4047.49,499.07
Usage Completion Tokens (tokens),293.37,144.00,366.00,144.99,148.00,193.80,267.25,299.50,334.00,365.00,366.00,366.00,60.85
Usage Prompt Tokens (tokens),5393.90,5393.00,5394.00,5393.00,5393.00,5393.90,5394.00,5394.00,5394.00,5394.00,5394.00,5394.00,0.30
Usage Total Tokens (tokens),5687.27,5538.00,5760.00,5538.99,5542.00,5587.80,5661.25,5693.00,5728.00,5759.00,5760.00,5760.00,60.81

Metric,Value
Benchmark Duration (sec),77.05
Maximum Response Timestamp (ns),1777570976161638400.00
Minimum Request Timestamp (ns),1777570899113411072.00
Output Token Throughput (tokens/sec),380.76
Request Count,100.00
Request Throughput (requests/sec),1.30
Total Input Sequence Length (tokens),539390.00
Total Output Sequence Length (tokens),29337.00
Total Output Tokens (tokens),29337.00
Total Token Throughput (tokens/sec),7381.44
Total Usage Completion Tokens (tokens),29337.00
Total Usage Prompt Tokens (tokens),539390.00
Total Usage Total Tokens (tokens),568727.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Power Usage (W),71.21,71.10,71.42,71.10,71.19,71.19,71.19,71.19,71.19,71.27,71.27,71.42,0.05,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Memory Used (GB),7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Temperature (°C),32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Power Usage (W),74.35,73.76,105.37,73.84,73.84,73.84,73.93,73.93,73.93,74.02,74.04,90.73,2.90,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Utilization (%),1.33,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,9.00,14.00,3.42,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Memory Used (GB),34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Temperature (°C),30.11,30.00,31.00,30.00,30.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,0.31,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Memory Utilization (%),0.36,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,5.00,1.02,localhost
