Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.79,0.00,12.33,0.00,0.00,0.00,0.00,0.00,0.00,11.09,11.58,12.31,4.12
HTTP Connection Overhead (ms),3.47,0.00,23.91,0.00,0.00,0.00,0.00,0.00,0.00,21.42,22.48,23.90,7.98
HTTP Connection Reused (ratio),0.84,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),1.63,1.10,1.88,1.10,1.17,1.45,1.58,1.66,1.73,1.80,1.84,1.86,0.18
HTTP Data Sent (KB),2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,0.00
HTTP DNS Lookup (ms),1.68,0.00,11.58,0.00,0.00,0.00,0.00,0.00,0.00,10.33,10.89,11.58,3.85
HTTP Duration (excl. conn) (ms),1533.16,832.42,2422.32,853.09,949.88,1239.53,1365.97,1461.81,1647.77,1975.98,2421.09,2422.26,337.45
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),2.13,0.21,13.02,0.21,0.22,0.23,0.24,0.25,0.32,11.81,12.25,12.98,4.28
HTTP Total Time (ms),1536.61,832.41,2445.83,853.08,949.87,1239.52,1366.83,1461.80,1647.75,1998.78,2442.15,2444.78,343.38
HTTP Waiting (TTFB) (ms),1531.02,832.16,2410.12,852.87,949.52,1239.28,1365.74,1461.56,1647.45,1963.82,2408.93,2409.97,334.29
Image Latency (ms/image),1533.24,832.48,2422.54,853.13,949.94,1239.58,1366.01,1461.86,1647.84,1976.18,2421.30,2422.47,337.50
Image Throughput (images/sec),0.68,0.41,1.20,0.41,0.41,0.51,0.61,0.68,0.73,0.81,1.05,1.17,0.15
Input Sequence Length (tokens),1433.90,1433.00,1434.00,1433.00,1433.00,1433.90,1434.00,1434.00,1434.00,1434.00,1434.00,1434.00,0.30
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),231.78,137.00,282.00,137.00,143.00,201.30,221.00,236.00,254.25,264.00,280.00,281.01,34.59
Output Token Count (tokens),231.78,137.00,282.00,137.00,143.00,201.30,221.00,236.00,254.25,264.00,280.00,281.01,34.59
Request Latency (ms),1533.24,832.48,2422.54,853.13,949.94,1239.58,1366.01,1461.86,1647.84,1976.18,2421.30,2422.47,337.50
Usage Completion Tokens (tokens),231.78,137.00,282.00,137.00,143.00,201.30,221.00,236.00,254.25,264.00,280.00,281.01,34.59
Usage Prompt Tokens (tokens),1433.90,1433.00,1434.00,1433.00,1433.00,1433.90,1434.00,1434.00,1434.00,1434.00,1434.00,1434.00,0.30
Usage Total Tokens (tokens),1665.68,1571.00,1716.00,1571.00,1576.95,1634.40,1655.00,1669.50,1688.25,1698.00,1714.00,1715.01,34.61

Metric,Value
Benchmark Duration (sec),10.22
Maximum Response Timestamp (ns),1777506490993692160.00
Minimum Request Timestamp (ns),1777506480774398720.00
Output Token Throughput (tokens/sec),2268.06
Request Count,100.00
Request Throughput (requests/sec),9.79
Total Input Sequence Length (tokens),143390.00
Total Output Sequence Length (tokens),23178.00
Total Output Tokens (tokens),23178.00
Total Token Throughput (tokens/sec),16299.37
Total Usage Completion Tokens (tokens),23178.00
Total Usage Prompt Tokens (tokens),143390.00
Total Usage Total Tokens (tokens),166568.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,GPU Power Usage (W),204.98,68.53,245.98,68.57,74.73,163.34,218.97,220.59,221.83,225.58,231.25,242.05,46.97,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,GPU Utilization (%),92.46,0.00,100.00,0.00,31.85,95.90,100.00,100.00,100.00,100.00,100.00,100.00,26.17,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,GPU Memory Used (GB),35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,GPU Temperature (°C),37.36,30.00,39.00,30.00,30.70,34.80,37.00,38.00,39.00,39.00,39.00,39.00,2.54,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,Memory Utilization (%),53.71,0.00,61.00,0.00,14.35,50.80,57.75,58.50,59.00,60.00,60.00,60.73,15.59,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,SM Utilization (%),30.50,0.00,65.00,0.00,0.35,2.40,12.75,30.50,46.75,58.30,60.95,64.19,20.66,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,GPU Power Usage (W),50.61,50.58,50.70,50.58,50.58,50.58,50.58,50.61,50.64,50.64,50.68,50.70,0.04,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,GPU Temperature (°C),28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
