# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.6.0.post1
# schema_version: 1.0
# benchmark_id: 21db0456-22a5-4035-98c2-f58e373a0067
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,model,Description
localhost:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,Number of disconnected clients
localhost:8000,gauge,dynamo_frontend_inflight_requests,requests,0.9880,0.0000,1.0000,0.1092,0.1400,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,qwen/qwen2-vl-2b-instruct,Number of inflight requests
localhost:8000,gauge,dynamo_frontend_model_context_length,tokens,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum context length in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_kv_cache_block_size,tokens,16.0000,16.0000,16.0000,0.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,Qwen/Qwen2-VL-2B-Instruct,KV cache block size in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_batched_tokens,tokens,2048.0000,2048.0000,2048.0000,0.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of batched tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_seqs,,256.0000,256.0000,256.0000,0.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of sequences for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_migration_limit,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of request migrations allowed for the model
localhost:8000,gauge,dynamo_frontend_model_total_kv_blocks,blocks,61662.0000,61662.0000,61662.0000,0.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,Qwen/Qwen2-VL-2B-Instruct,Total KV cache blocks available for a worker serving the model
localhost:8000,gauge,dynamo_frontend_queued_requests,requests,0.0892,0.0000,1.0000,0.2853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,qwen/qwen2-vl-2b-instruct,Number of requests in HTTP processing queue

Endpoint,Type,Metric,Unit,total,rate,rate_avg,rate_min,rate_max,rate_std,dynamo_component,dynamo_namespace,router_id,endpoint,error_type,request_type,status,model,Description
localhost:8000,counter,dynamo_frontend_output_tokens,tokens,24768.0000,184.4270,,,,,,,,,,,,qwen/qwen2-vl-2b-instruct,Total number of output tokens generated (updates in real-time)
localhost:8000,counter,dynamo_frontend_requests,requests,99.0000,0.7446,,,,,,,,chat_completions,,unary,success,qwen/qwen2-vl-2b-instruct,Total number of LLM requests processed
localhost:8000,counter,dynamo_component_router_requests,requests,0.0000,0.0000,,,,,backend,dynamo,11071517814111228351,,,,,,Total number of requests processed by the router

Endpoint,Type,Metric,Unit,count,count_rate,sum,sum_rate,avg,p1_estimate,p5_estimate,p10_estimate,p25_estimate,p50_estimate,p75_estimate,p90_estimate,p95_estimate,p99_estimate,dynamo_component,dynamo_namespace,router_id,model,operation,Description,buckets
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,99,0.7446,0.5080,0.0038,0.0051,0.0000,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,,,,,detokenize,Tokenizer latency in milliseconds,0.5=99;1=99;2=99;4=99;8=99;16=99;32=99;64=99;128=99;256=99;512=99;+Inf=99
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,99,0.7372,20.3296,0.1514,0.2053,0.0723,0.0746,0.0793,0.1252,0.2017,0.2782,0.3241,0.3394,0.3566,,,,,tokenize,Tokenizer latency in milliseconds,0.5=98;1=99;2=99;4=99;8=99;16=99;32=99;64=99;128=99;256=99;512=99;+Inf=99
localhost:8000,histogram,dynamo_frontend_cached_tokens,tokens,98,0.7445,4704.0000,35.7366,48.0000,0.0000,3.4592,8.4082,23.2551,48.0000,72.7449,87.5918,92.5408,96.5000,,,,qwen/qwen2-vl-2b-instruct,,Number of cached tokens (prefix cache hits) per request,0=0;100=98;210=98;430=98;870=98;1800=98;3600=98;7400=98;15000=98;31000=98;63000=98;130000=98;+Inf=98
localhost:8000,histogram,dynamo_frontend_input_sequence_tokens,tokens,99,0.7372,7020.0000,52.2722,70.9091,47.3289,49.3430,51.8606,59.4136,72.0018,84.5901,86.8905,86.9334,86.9677,,,,qwen/qwen2-vl-2b-instruct,,Input sequence length in tokens,0=0;100=99;210=99;430=99;870=99;1800=99;3600=99;7400=99;15000=99;31000=99;63000=99;130000=99;+Inf=99
localhost:8000,histogram,dynamo_frontend_inter_token_latency_seconds,seconds,24669,183.6898,123.1383,0.9169,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,,,,qwen/qwen2-vl-2b-instruct,,Inter-token latency in seconds,0=0;0.0019=14;0.0035=15;0.0067=24666;0.013=24668;0.024=24668;0.045=24668;0.084=24669;0.16=24669;0.3=24669;0.56=24669;1.1=24669;2=24669;+Inf=24669
localhost:8000,histogram,dynamo_frontend_output_sequence_tokens,tokens,99,0.7446,24524.0000,184.4446,247.7172,159.1007,210.0000,212.4320,224.9543,245.8248,273.5089,290.4828,296.1408,300.6671,,,,qwen/qwen2-vl-2b-instruct,,Output sequence length in tokens,0=0;100=0;210=4;430=99;880=99;1800=99;3700=99;7600=99;16000=99;32000=99;+Inf=99
localhost:8000,histogram,dynamo_frontend_request_duration_seconds,seconds,99,0.7446,130.1620,0.9789,1.3148,0.9793,1.0067,1.0409,1.1436,1.3148,1.4859,1.5886,1.6228,1.6502,,,,qwen/qwen2-vl-2b-instruct,,Duration of LLM requests,0=0;1.9=99;3.4=99;6.3=99;12=99;22=99;40=99;75=99;140=99;260=99;+Inf=99
localhost:8000,histogram,dynamo_frontend_time_to_first_token_seconds,seconds,99,0.7372,8.2421,0.0614,0.0833,0.0676,0.0689,0.0706,0.0755,0.0837,0.0919,0.0947,0.0950,0.0953,,,,qwen/qwen2-vl-2b-instruct,,Time to first token in seconds,0=0;0.0022=0;0.0047=0;0.01=0;0.022=0;0.047=0;0.1=99;0.22=99;0.47=99;1=99;2.2=99;4.7=99;10=99;22=99;48=99;100=99;220=99;480=99;+Inf=99
localhost:8000,histogram,dynamo_router_overhead_block_hashing_ms,milliseconds,0,,,,,,,,,,,,,,,,11071517814111228351,,,Time spent computing block hashes in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
localhost:8000,histogram,dynamo_router_overhead_indexer_find_matches_ms,milliseconds,0,,,,,,,,,,,,,,,,11071517814111228351,,,Time spent in indexer find_matches in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
