Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.40
HTTP Connection Overhead (ms),0.07,0.00,7.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.74
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.98,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),1.83,1.62,2.09,1.63,1.65,1.71,1.79,1.81,1.89,1.97,1.97,1.98,0.09
HTTP Data Sent (KB),2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,0.00
HTTP DNS Lookup (ms),0.03,0.00,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.34
HTTP Duration (excl. conn) (ms),1512.15,1209.12,8640.57,1233.08,1250.85,1329.84,1391.16,1435.18,1495.38,1578.12,1583.70,1787.89,726.11
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.28,0.20,4.48,0.20,0.20,0.22,0.22,0.24,0.24,0.25,0.25,0.34,0.42
HTTP Total Time (ms),1512.21,1209.11,8647.91,1233.06,1250.83,1329.82,1391.15,1435.17,1495.37,1578.11,1583.69,1788.03,726.84
HTTP Waiting (TTFB) (ms),1511.86,1208.87,8636.05,1232.84,1250.61,1329.58,1390.92,1434.93,1495.14,1577.86,1583.47,1787.55,725.69
Image Latency (ms/image),1512.20,1209.17,8640.74,1233.13,1250.89,1329.89,1391.22,1435.23,1495.43,1578.17,1583.75,1787.95,726.12
Image Throughput (images/sec),0.69,0.12,0.83,0.60,0.63,0.63,0.67,0.70,0.72,0.75,0.80,0.81,0.07
Input Sequence Length (tokens),1433.91,1433.00,1434.00,1433.00,1433.00,1434.00,1434.00,1434.00,1434.00,1434.00,1434.00,1434.00,0.29
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),249.27,204.00,292.00,208.90,211.70,227.40,240.00,249.00,260.00,277.00,278.00,280.24,18.64
Output Token Count (tokens),249.27,204.00,292.00,208.90,211.70,227.40,240.00,249.00,260.00,277.00,278.00,280.24,18.64
Request Latency (ms),1512.20,1209.17,8640.74,1233.13,1250.89,1329.89,1391.22,1435.23,1495.43,1578.17,1583.75,1787.95,726.12
Usage Completion Tokens (tokens),249.27,204.00,292.00,208.90,211.70,227.40,240.00,249.00,260.00,277.00,278.00,280.24,18.64
Usage Prompt Tokens (tokens),1433.91,1433.00,1434.00,1433.00,1433.00,1434.00,1434.00,1434.00,1434.00,1434.00,1434.00,1434.00,0.29
Usage Total Tokens (tokens),1683.18,1638.00,1726.00,1642.90,1645.70,1661.40,1674.00,1683.00,1694.00,1711.00,1712.00,1714.24,18.60

Metric,Value
Benchmark Duration (sec),150.32
Error Request Count,1.00
Maximum Response Timestamp (ns),1777526781886925824.00
Minimum Request Timestamp (ns),1777526631564553472.00
Output Token Throughput (tokens/sec),164.17
Request Count,99.00
Request Throughput (requests/sec),0.66
Total Input Sequence Length (tokens),141957.00
Total Output Sequence Length (tokens),24678.00
Total Output Tokens (tokens),24678.00
Total Token Throughput (tokens/sec),1108.52
Total Usage Completion Tokens (tokens),24678.00
Total Usage Prompt Tokens (tokens),141957.00
Total Usage Total Tokens (tokens),166635.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,GPU Power Usage (W),74.47,73.50,107.43,73.50,73.68,73.93,74.17,74.41,74.41,74.50,74.70,74.70,2.33,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,GPU Utilization (%),0.10,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.93,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,GPU Temperature (°C),34.64,33.00,36.00,33.00,33.00,34.00,34.00,35.00,35.00,35.00,35.00,35.00,0.65,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,Memory Utilization (%),0.02,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,GPU Power Usage (W),204.31,73.56,350.63,73.56,87.93,110.71,214.60,217.41,221.01,222.54,224.61,307.98,45.64,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,Energy Consumption (MJ),0.03,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,GPU Utilization (%),82.88,0.00,100.00,0.00,3.20,28.00,78.00,100.00,100.00,100.00,100.00,100.00,30.85,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,GPU Memory Used (GB),34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,GPU Temperature (°C),40.75,31.00,43.00,31.00,32.60,39.00,41.00,42.00,42.00,42.00,42.00,42.00,2.50,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,Memory Utilization (%),42.84,0.00,52.00,0.00,1.20,13.00,39.00,52.00,52.00,52.00,52.00,52.00,16.29,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,SM Utilization (%),77.97,0.00,88.00,0.00,0.40,45.00,86.00,86.00,86.00,87.00,87.00,88.00,23.16,localhost
