Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.23,0.00,6.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,1.13
HTTP Connection Overhead (ms),0.44,0.00,11.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.14,2.13
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),1.82,1.63,1.97,1.64,1.68,1.69,1.79,1.82,1.88,1.95,1.97,1.97,0.08
HTTP Data Sent (KB),2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,0.00
HTTP DNS Lookup (ms),0.21,0.00,5.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.27,1.01
HTTP Duration (excl. conn) (ms),1458.84,1234.95,1976.17,1236.08,1303.87,1326.37,1388.51,1435.39,1519.85,1586.48,1637.28,1968.81,126.53
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.47,0.19,6.54,0.19,0.21,0.21,0.22,0.23,0.24,0.26,0.29,6.38,1.18
HTTP Total Time (ms),1459.26,1234.94,1986.75,1236.07,1303.86,1326.36,1388.50,1435.38,1519.84,1586.47,1637.27,1979.10,127.97
HTTP Waiting (TTFB) (ms),1458.35,1234.74,1970.00,1235.86,1303.65,1326.11,1388.29,1435.17,1519.63,1586.22,1637.06,1962.78,125.74
Image Latency (ms/image),1458.89,1234.99,1976.34,1236.12,1303.91,1326.42,1388.55,1435.43,1519.90,1586.53,1637.32,1968.99,126.55
Image Throughput (images/sec),0.69,0.51,0.81,0.51,0.61,0.63,0.66,0.70,0.72,0.75,0.77,0.81,0.05
Input Sequence Length (tokens),1433.90,1433.00,1434.00,1433.00,1433.00,1433.90,1434.00,1434.00,1434.00,1434.00,1434.00,1434.00,0.30
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),247.97,209.00,280.00,209.00,222.35,225.00,240.00,247.50,258.00,277.00,277.05,280.00,17.47
Output Token Count (tokens),247.97,209.00,280.00,209.00,222.35,225.00,240.00,247.50,258.00,277.00,277.05,280.00,17.47
Request Latency (ms),1458.89,1234.99,1976.34,1236.12,1303.91,1326.42,1388.55,1435.43,1519.90,1586.53,1637.32,1968.99,126.55
Usage Completion Tokens (tokens),247.97,209.00,280.00,209.00,222.35,225.00,240.00,247.50,258.00,277.00,277.05,280.00,17.47
Usage Prompt Tokens (tokens),1433.90,1433.00,1434.00,1433.00,1433.00,1433.90,1434.00,1434.00,1434.00,1434.00,1434.00,1434.00,0.30
Usage Total Tokens (tokens),1681.87,1643.00,1714.00,1643.00,1656.35,1659.00,1674.00,1681.00,1692.00,1710.10,1711.05,1714.00,17.44

Metric,Value
Benchmark Duration (sec),37.23
Maximum Response Timestamp (ns),1777526892295585280.00
Minimum Request Timestamp (ns),1777526855065229056.00
Output Token Throughput (tokens/sec),666.04
Request Count,100.00
Request Throughput (requests/sec),2.69
Total Input Sequence Length (tokens),143390.00
Total Output Sequence Length (tokens),24797.00
Total Output Tokens (tokens),24797.00
Total Token Throughput (tokens/sec),4517.47
Total Usage Completion Tokens (tokens),24797.00
Total Usage Prompt Tokens (tokens),143390.00
Total Usage Total Tokens (tokens),168187.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,GPU Power Usage (W),74.25,73.76,74.61,73.76,73.84,73.93,74.17,74.32,74.41,74.41,74.52,74.61,0.20,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,GPU Temperature (°C),34.42,33.00,35.00,33.00,33.00,33.00,34.00,35.00,35.00,35.00,35.00,35.00,0.70,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-aad3f314-bed2-42de-5539-f524d54cd109,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,GPU Power Usage (W),210.58,74.00,220.47,74.61,206.52,209.52,212.95,214.59,215.63,216.66,218.17,220.25,21.13,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,GPU Utilization (%),98.01,0.00,100.00,0.97,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,13.93,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,GPU Memory Used (GB),34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,GPU Temperature (°C),40.71,32.00,42.00,32.02,38.05,39.10,41.00,41.00,41.00,42.00,42.00,42.00,1.69,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,Memory Utilization (%),52.58,0.00,55.00,0.43,52.00,53.00,53.00,54.00,54.00,54.00,54.00,55.00,7.57,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,SM Utilization (%),77.78,0.00,99.00,0.01,8.15,20.30,58.75,99.00,99.00,99.00,99.00,99.00,32.10,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-be1594de-0988-2f86-488c-f6c4302b6bac,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-2faa91e7-c7dc-4e59-57d0-da975cff5d5c,GPU Power Usage (W),54.39,54.34,54.57,54.34,54.34,54.34,54.34,54.40,54.40,54.47,54.57,54.57,0.07,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-2faa91e7-c7dc-4e59-57d0-da975cff5d5c,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
