Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),7.03,0.00,24.54,0.00,0.00,0.00,0.00,0.00,20.46,22.49,23.39,24.07,10.20
HTTP Connection Overhead (ms),13.74,0.00,48.16,0.00,0.00,0.00,0.00,0.00,39.89,44.05,45.93,47.18,19.95
HTTP Connection Reused (ratio),0.68,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),1.78,1.22,2.00,1.23,1.59,1.65,1.75,1.79,1.85,1.89,1.92,1.99,0.13
HTTP Data Sent (KB),2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,2531.12,0.00
HTTP DNS Lookup (ms),6.71,0.00,23.62,0.00,0.00,0.00,0.00,0.00,19.42,21.56,22.54,23.11,9.75
HTTP Duration (excl. conn) (ms),4525.05,1516.20,6714.61,1581.13,1760.54,1903.20,3052.12,5295.71,5929.80,6437.10,6528.08,6595.43,1661.32
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),7.51,0.19,25.23,0.24,0.25,0.25,0.28,0.33,21.56,23.48,24.07,24.92,10.45
HTTP Total Time (ms),4538.76,1516.18,6714.60,1581.12,1760.53,1903.19,3052.11,5336.46,5929.79,6437.08,6528.06,6595.41,1666.15
HTTP Waiting (TTFB) (ms),4517.51,1515.90,6714.15,1580.82,1760.28,1902.93,3051.80,5284.50,5929.48,6436.77,6527.69,6595.12,1658.84
Image Latency (ms/image),4525.17,1516.26,6714.71,1581.19,1760.59,1903.25,3052.18,5295.95,5929.87,6437.15,6528.15,6595.48,1661.35
Image Throughput (images/sec),0.27,0.15,0.66,0.15,0.15,0.16,0.17,0.19,0.33,0.53,0.57,0.63,0.14
Input Sequence Length (tokens),1433.90,1433.00,1434.00,1433.00,1433.00,1433.80,1434.00,1434.00,1434.00,1434.00,1434.00,1434.00,0.30
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),240.19,133.00,290.00,136.92,205.70,218.60,232.50,241.00,255.00,263.40,269.00,287.06,25.37
Output Token Count (tokens),240.19,133.00,290.00,136.92,205.70,218.60,232.50,241.00,255.00,263.40,269.00,287.06,25.37
Request Latency (ms),4525.17,1516.26,6714.71,1581.19,1760.59,1903.25,3052.18,5295.95,5929.87,6437.15,6528.15,6595.48,1661.35
Usage Completion Tokens (tokens),240.19,133.00,290.00,136.92,205.70,218.60,232.50,241.00,255.00,263.40,269.00,287.06,25.37
Usage Prompt Tokens (tokens),1433.90,1433.00,1434.00,1433.00,1433.00,1433.80,1434.00,1434.00,1434.00,1434.00,1434.00,1434.00,0.30
Usage Total Tokens (tokens),1674.09,1567.00,1724.00,1570.92,1639.60,1652.60,1666.50,1675.00,1689.00,1697.40,1702.90,1720.08,25.33

Metric,Value
Benchmark Duration (sec),15.17
Error Request Count,1.00
Maximum Response Timestamp (ns),1777569880548709376.00
Minimum Request Timestamp (ns),1777569865376085248.00
Output Token Throughput (tokens/sec),1567.23
Request Count,99.00
Request Throughput (requests/sec),6.52
Total Input Sequence Length (tokens),141956.00
Total Output Sequence Length (tokens),23779.00
Total Output Tokens (tokens),23779.00
Total Token Throughput (tokens/sec),10923.29
Total Usage Completion Tokens (tokens),23779.00
Total Usage Prompt Tokens (tokens),141956.00
Total Usage Total Tokens (tokens),165735.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Power Usage (W),71.21,71.02,71.42,71.05,71.10,71.19,71.19,71.19,71.27,71.27,71.27,71.36,0.07,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Temperature (°C),31.88,31.00,32.00,31.00,31.00,31.10,32.00,32.00,32.00,32.00,32.00,32.00,0.33,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Power Usage (W),77.41,72.44,102.56,72.44,72.44,72.48,72.56,72.64,81.47,91.78,93.74,102.18,8.68,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Utilization (%),2.76,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,8.85,42.67,9.08,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Memory Used (GB),34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Temperature (°C),30.38,30.00,32.00,30.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,32.00,0.58,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Memory Utilization (%),1.12,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.95,17.54,3.74,localhost
