Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.19,0.00,1.37,0.00,0.00,0.00,0.00,0.00,0.00,1.16,1.21,1.33,0.44
HTTP Connection Overhead (ms),0.28,0.00,1.93,0.00,0.00,0.00,0.00,0.00,0.00,1.66,1.82,1.91,0.64
HTTP Connection Reused (ratio),0.84,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),0.87,0.62,1.54,0.62,0.67,0.70,0.76,0.84,0.91,1.04,1.34,1.46,0.18
HTTP Data Sent (KB),351.48,282.75,502.38,282.97,283.03,283.09,283.22,325.26,332.32,502.26,502.30,502.36,79.98
HTTP DNS Lookup (ms),0.09,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.57,0.60,0.20
HTTP Duration (excl. conn) (ms),747.42,367.74,1612.53,411.63,453.30,483.77,579.68,701.70,829.36,1048.29,1226.62,1591.96,243.14
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.37,0.10,1.86,0.10,0.10,0.11,0.11,0.13,0.17,1.59,1.66,1.86,0.56
HTTP Total Time (ms),747.68,367.73,1614.18,411.62,453.29,483.76,579.67,701.69,829.78,1050.16,1228.16,1591.97,243.37
HTTP Waiting (TTFB) (ms),747.03,367.55,1610.92,411.52,453.15,483.63,579.55,701.58,828.81,1046.43,1225.11,1591.82,242.93
Image Latency (ms/image),747.49,367.79,1612.72,411.67,453.35,483.82,579.72,701.74,829.43,1048.51,1226.80,1592.01,243.16
Image Throughput (images/sec),1.46,0.62,2.72,0.63,0.82,0.95,1.21,1.43,1.73,2.07,2.21,2.43,0.42
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-61.50,-80.86,0.00,-80.47,-76.95,-75.82,-70.70,-63.48,-57.71,-47.85,-25.98,-14.70,14.56
Output Sequence Length (tokens),98.57,49.00,256.00,49.99,59.00,61.90,75.00,93.50,108.25,133.50,189.50,218.38,37.27
Output Token Count (tokens),98.57,49.00,256.00,49.99,59.00,61.90,75.00,93.50,108.25,133.50,189.50,218.38,37.27
Request Latency (ms),747.49,367.79,1612.72,411.67,453.35,483.82,579.72,701.74,829.43,1048.51,1226.80,1592.01,243.16
Usage Completion Tokens (tokens),98.57,49.00,256.00,49.99,59.00,61.90,75.00,93.50,108.25,133.50,189.50,218.38,37.27
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),993.57,944.00,1151.00,944.99,954.00,956.90,970.00,988.50,1003.25,1028.50,1084.50,1113.38,37.27

Metric,Value
Benchmark Duration (sec),5.25
Maximum Response Timestamp (ns),1777500889492022272.00
Minimum Request Timestamp (ns),1777500884241305600.00
OSL Mismatch Count,99.00
Output Token Throughput (tokens/sec),1877.27
Request Count,100.00
Request Throughput (requests/sec),19.05
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9857.00
Total Output Tokens (tokens),9857.00
Total Token Throughput (tokens/sec),18922.56
Total Usage Completion Tokens (tokens),9857.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),99357.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,GPU Power Usage (W),268.26,68.21,395.93,85.59,155.13,195.97,220.73,299.23,321.66,353.47,367.21,390.19,83.84,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,GPU Utilization (%),91.93,0.00,100.00,11.06,55.30,87.40,100.00,100.00,100.00,100.00,100.00,100.00,26.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,GPU Memory Used (GB),35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,GPU Temperature (°C),40.33,31.00,44.00,31.84,35.20,37.40,39.00,41.00,42.50,43.60,44.00,44.00,3.31,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,Memory Utilization (%),45.33,0.00,58.00,3.78,18.90,33.00,46.00,50.00,51.00,55.20,56.60,57.72,14.45,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,SM Utilization (%),16.93,0.00,35.00,0.28,1.40,3.20,7.50,17.00,25.50,31.20,32.90,34.58,11.24,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,GPU Power Usage (W),50.63,50.52,50.82,50.53,50.56,50.58,50.58,50.58,50.70,50.76,50.77,50.81,0.09,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
