Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.05,0.00,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.22
HTTP Connection Overhead (ms),0.07,0.00,1.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.32
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),1.02,0.81,1.85,0.82,0.85,0.88,0.94,1.02,1.08,1.15,1.18,1.34,0.13
HTTP Data Sent (KB),361.08,282.85,502.43,282.94,283.03,283.11,283.27,318.47,502.10,502.32,502.36,502.41,87.53
HTTP DNS Lookup (ms),0.02,0.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.10
HTTP Duration (excl. conn) (ms),564.31,337.28,1409.76,344.95,388.69,410.34,473.38,549.66,628.02,700.76,782.27,999.22,146.99
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.17,0.10,1.62,0.10,0.10,0.10,0.11,0.11,0.12,0.14,0.17,1.57,0.28
HTTP Total Time (ms),564.36,337.27,1409.75,344.94,388.69,410.33,473.37,549.66,628.01,700.75,782.26,1000.80,147.09
HTTP Waiting (TTFB) (ms),564.12,337.14,1409.64,344.83,388.57,410.23,473.26,549.54,627.89,700.65,782.12,997.62,146.90
Image Latency (ms/image),564.35,337.32,1409.80,344.99,388.73,410.38,473.43,549.70,628.06,700.80,782.31,999.40,147.00
Image Throughput (images/sec),1.87,0.71,2.96,1.00,1.28,1.43,1.59,1.82,2.11,2.44,2.57,2.90,0.41
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-64.70,-80.86,-1.95,-79.70,-76.56,-75.78,-71.19,-64.84,-60.16,-55.39,-49.22,-37.92,10.31
Output Sequence Length (tokens),90.37,49.00,251.00,51.97,60.00,62.00,73.75,90.00,102.00,114.20,130.00,158.93,26.39
Output Token Count (tokens),90.37,49.00,251.00,51.97,60.00,62.00,73.75,90.00,102.00,114.20,130.00,158.93,26.39
Request Latency (ms),564.35,337.32,1409.80,344.99,388.73,410.38,473.43,549.70,628.06,700.80,782.31,999.40,147.00
Usage Completion Tokens (tokens),90.37,49.00,251.00,51.97,60.00,62.00,73.75,90.00,102.00,114.20,130.00,158.93,26.39
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),985.37,944.00,1146.00,946.97,955.00,957.00,968.75,985.00,997.00,1009.20,1025.00,1053.93,26.39

Metric,Value
Benchmark Duration (sec),14.28
Maximum Response Timestamp (ns),1777529600335287552.00
Minimum Request Timestamp (ns),1777529586051802368.00
OSL Mismatch Count,99.00
Output Token Throughput (tokens/sec),632.69
Request Count,100.00
Request Throughput (requests/sec),7.00
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9037.00
Total Output Tokens (tokens),9037.00
Total Token Throughput (tokens/sec),6898.67
Total Usage Completion Tokens (tokens),9037.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98537.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,GPU Power Usage (W),62.31,62.08,62.63,62.08,62.08,62.08,62.23,62.31,62.39,62.48,62.56,62.60,0.14,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,GPU Temperature (°C),32.74,32.00,33.00,32.00,32.00,32.00,32.50,33.00,33.00,33.00,33.00,33.00,0.44,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,GPU Power Usage (W),196.86,59.42,312.12,104.70,181.30,183.37,185.07,187.76,198.36,222.50,270.17,310.71,38.06,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,GPU Utilization (%),96.28,0.00,100.00,20.90,95.50,100.00,100.00,100.00,100.00,100.00,100.00,100.00,17.39,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,GPU Memory Used (GB),34.89,34.89,34.89,34.89,34.89,34.89,34.89,34.89,34.89,34.89,34.89,34.89,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,GPU Temperature (°C),37.56,30.00,40.00,31.14,34.80,36.00,37.00,38.00,39.00,39.00,40.00,40.00,1.86,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,Memory Utilization (%),48.82,0.00,54.00,7.22,45.10,48.00,50.00,50.00,52.00,52.00,53.10,54.00,9.63,localhost
