Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),0.89,0.80,0.95,0.82,0.86,0.86,0.87,0.88,0.90,0.92,0.92,0.94,0.02
HTTP Data Sent (KB),349.77,282.88,502.36,282.93,283.03,283.05,283.16,318.48,332.35,502.25,502.31,502.35,82.95
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),41298.42,39298.24,43648.33,39589.41,39958.89,40039.46,40469.85,41243.05,41733.10,42717.67,43028.12,43496.03,985.11
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.14,0.12,0.16,0.12,0.12,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.01
HTTP Total Time (ms),41298.41,39298.23,43648.32,39589.40,39958.88,40039.46,40469.84,41243.05,41733.09,42717.66,43028.11,43496.02,985.11
HTTP Waiting (TTFB) (ms),41298.27,39298.11,43648.17,39589.27,39958.75,40039.33,40469.71,41242.92,41732.96,42717.52,43027.97,43495.88,985.10
Image Latency (ms/image),41298.47,39298.28,43648.38,39589.46,39958.93,40039.51,40469.90,41243.10,41733.15,42717.71,43028.17,43496.09,985.11
Image Throughput (images/sec),0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Count (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Request Latency (ms),41298.47,39298.28,43648.38,39589.46,39958.93,40039.51,40469.90,41243.10,41733.15,42717.71,43028.17,43496.09,985.11
Usage Completion Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,0.00

Metric,Value
Benchmark Duration (sec),2065.01
Maximum Response Timestamp (ns),1777844368745149184.00
Minimum Request Timestamp (ns),1777842303737275648.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1.55
Request Count,50.00
Request Throughput (requests/sec),0.02
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),3200.00
Total Output Tokens (tokens),3200.00
Total Token Throughput (tokens/sec),23.22
Total Usage Completion Tokens (tokens),3200.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),47950.00
