=== Unique GPU telemetry hosts for concurrency=1 ===
     24 nid001136
     24 nid001137

=== First telemetry rows ===
host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid001136,2026/05/03 14:21:48.020, 0, GPU-87737c0a-5312-5052-e210-0f8517509e3b, NVIDIA A100-SXM4-40GB, 34769, 40960, 0, 75.26, 33
nid001136,2026/05/03 14:21:48.022, 1, GPU-a9465532-d459-a3f0-478f-3d973366fcc9, NVIDIA A100-SXM4-40GB, 34769, 40960, 0, 71.79, 31
nid001136,2026/05/03 14:21:48.027, 2, GPU-43dbd154-be36-c6c5-1bf0-915a216fac86, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 53.97, 29
nid001136,2026/05/03 14:21:48.029, 3, GPU-28179a6c-0d33-808d-23d1-6dfeec48fd03, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 53.46, 29
nid001137,2026/05/03 14:21:49.001, 0, GPU-2aad3a3e-aa3d-70ab-abb7-fed7730a51e7, NVIDIA A100-SXM4-40GB, 36949, 40960, 0, 60.42, 30
nid001137,2026/05/03 14:21:49.004, 1, GPU-1756821d-7d2d-8a80-06dd-a45389151a20, NVIDIA A100-SXM4-40GB, 36949, 40960, 0, 58.53, 29
nid001137,2026/05/03 14:21:49.006, 2, GPU-d84f3974-4ee4-9928-df3e-350608c4e503, NVIDIA A100-SXM4-40GB, 36949, 40960, 0, 58.30, 31
nid001137,2026/05/03 14:21:49.008, 3, GPU-51019895-3982-40cf-dd26-416402e0d3cc, NVIDIA A100-SXM4-40GB, 36949, 40960, 0, 71.27, 32
nid001136,2026/05/03 14:21:52.058, 0, GPU-87737c0a-5312-5052-e210-0f8517509e3b, NVIDIA A100-SXM4-40GB, 34769, 40960, 0, 75.26, 33
nid001136,2026/05/03 14:21:52.060, 1, GPU-a9465532-d459-a3f0-478f-3d973366fcc9, NVIDIA A100-SXM4-40GB, 34769, 40960, 0, 71.71, 30
nid001136,2026/05/03 14:21:52.061, 2, GPU-43dbd154-be36-c6c5-1bf0-915a216fac86, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 53.90, 29
nid001136,2026/05/03 14:21:52.064, 3, GPU-28179a6c-0d33-808d-23d1-6dfeec48fd03, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 53.40, 29
nid001137,2026/05/03 14:21:53.068, 0, GPU-2aad3a3e-aa3d-70ab-abb7-fed7730a51e7, NVIDIA A100-SXM4-40GB, 36949, 40960, 0, 60.42, 30
nid001137,2026/05/03 14:21:53.071, 1, GPU-1756821d-7d2d-8a80-06dd-a45389151a20, NVIDIA A100-SXM4-40GB, 36949, 40960, 0, 58.53, 29
nid001137,2026/05/03 14:21:53.072, 2, GPU-d84f3974-4ee4-9928-df3e-350608c4e503, NVIDIA A100-SXM4-40GB, 36949, 40960, 0, 58.30, 31
nid001137,2026/05/03 14:21:53.074, 3, GPU-51019895-3982-40cf-dd26-416402e0d3cc, NVIDIA A100-SXM4-40GB, 36949, 40960, 0, 71.27, 32
nid001136,2026/05/03 14:21:56.175, 0, GPU-87737c0a-5312-5052-e210-0f8517509e3b, NVIDIA A100-SXM4-40GB, 34769, 40960, 0, 75.17, 33
nid001136,2026/05/03 14:21:56.196, 1, GPU-a9465532-d459-a3f0-478f-3d973366fcc9, NVIDIA A100-SXM4-40GB, 34769, 40960, 0, 71.71, 30
nid001136,2026/05/03 14:21:56.207, 2, GPU-43dbd154-be36-c6c5-1bf0-915a216fac86, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 53.90, 29
