=== Unique GPU telemetry hosts for concurrency=1 ===
    228 nid001145
    224 nid001148

=== First telemetry rows ===
host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid001145,2026/05/03 01:46:56.246, 0, GPU-8ea6fdc3-f283-452d-c89c-4e954e5e073c, NVIDIA A100-SXM4-40GB, 34769, 40960, 0, 56.98, 29
nid001145,2026/05/03 01:46:56.248, 1, GPU-64cdb16d-faee-8107-c27d-7e92ffec99a0, NVIDIA A100-SXM4-40GB, 34769, 40960, 0, 55.79, 27
nid001145,2026/05/03 01:46:56.249, 2, GPU-ff858cba-dabb-2e65-f117-e5837cc177a1, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 49.34, 28
nid001145,2026/05/03 01:46:56.252, 3, GPU-f730a11d-647c-a1fa-7b7a-c285f32e3d57, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 49.53, 27
nid001148,2026/05/03 01:46:57.252, 0, GPU-a7c8774f-988d-67a1-6fc7-b550e6084318, NVIDIA A100-SXM4-40GB, 36401, 40960, 0, 71.94, 32
nid001148,2026/05/03 01:46:57.255, 1, GPU-577e60db-d1c2-90d3-5b3f-7c7b324afca4, NVIDIA A100-SXM4-40GB, 35235, 40960, 0, 70.39, 31
nid001148,2026/05/03 01:46:57.256, 2, GPU-f9525f1a-f229-68e0-6d66-e6a80841779c, NVIDIA A100-SXM4-40GB, 35235, 40960, 0, 70.99, 33
nid001148,2026/05/03 01:46:57.258, 3, GPU-8a5d8169-14f6-54ff-6976-dc38563295f4, NVIDIA A100-SXM4-40GB, 36881, 40960, 0, 70.59, 30
nid001145,2026/05/03 01:47:00.261, 0, GPU-8ea6fdc3-f283-452d-c89c-4e954e5e073c, NVIDIA A100-SXM4-40GB, 34769, 40960, 0, 56.98, 29
nid001145,2026/05/03 01:47:00.263, 1, GPU-64cdb16d-faee-8107-c27d-7e92ffec99a0, NVIDIA A100-SXM4-40GB, 34769, 40960, 0, 55.79, 27
nid001145,2026/05/03 01:47:00.264, 2, GPU-ff858cba-dabb-2e65-f117-e5837cc177a1, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 49.34, 28
nid001145,2026/05/03 01:47:00.266, 3, GPU-f730a11d-647c-a1fa-7b7a-c285f32e3d57, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 49.47, 27
nid001148,2026/05/03 01:47:01.220, 0, GPU-a7c8774f-988d-67a1-6fc7-b550e6084318, NVIDIA A100-SXM4-40GB, 36401, 40960, 0, 71.94, 32
nid001148,2026/05/03 01:47:01.223, 1, GPU-577e60db-d1c2-90d3-5b3f-7c7b324afca4, NVIDIA A100-SXM4-40GB, 35235, 40960, 0, 70.39, 31
nid001148,2026/05/03 01:47:01.224, 2, GPU-f9525f1a-f229-68e0-6d66-e6a80841779c, NVIDIA A100-SXM4-40GB, 35235, 40960, 0, 70.82, 33
nid001148,2026/05/03 01:47:01.226, 3, GPU-8a5d8169-14f6-54ff-6976-dc38563295f4, NVIDIA A100-SXM4-40GB, 36881, 40960, 0, 70.59, 30
nid001145,2026/05/03 01:47:04.193, 0, GPU-8ea6fdc3-f283-452d-c89c-4e954e5e073c, NVIDIA A100-SXM4-40GB, 34769, 40960, 0, 57.22, 29
nid001145,2026/05/03 01:47:04.195, 1, GPU-64cdb16d-faee-8107-c27d-7e92ffec99a0, NVIDIA A100-SXM4-40GB, 34769, 40960, 0, 56.08, 27
nid001145,2026/05/03 01:47:04.196, 2, GPU-ff858cba-dabb-2e65-f117-e5837cc177a1, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 49.34, 28
