Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),0.89,0.85,0.93,0.85,0.86,0.86,0.87,0.88,0.90,0.91,0.92,0.93,0.02
HTTP Data Sent (KB),353.98,282.94,502.38,282.97,283.04,283.08,318.28,318.58,332.33,502.26,502.30,502.36,80.74
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3569.27,3566.71,3592.26,3566.76,3567.06,3567.30,3567.66,3568.52,3569.51,3570.56,3572.54,3583.66,3.65
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.12,0.11,0.14,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.14,0.01
HTTP Total Time (ms),3569.26,3566.71,3592.26,3566.75,3567.05,3567.29,3567.64,3568.50,3569.49,3570.55,3572.53,3583.65,3.65
HTTP Waiting (TTFB) (ms),3569.14,3566.59,3592.14,3566.63,3566.93,3567.16,3567.52,3568.38,3569.37,3570.42,3572.40,3583.53,3.65
Image Latency (ms/image),3569.32,3566.76,3592.31,3566.81,3567.11,3567.34,3567.70,3568.56,3569.55,3570.61,3572.58,3583.70,3.65
Image Throughput (images/sec),0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Count (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Request Latency (ms),3569.32,3566.76,3592.31,3566.81,3567.11,3567.34,3567.70,3568.56,3569.55,3570.61,3572.58,3583.70,3.65
Usage Completion Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,0.00

Metric,Value
Benchmark Duration (sec),178.55
Maximum Response Timestamp (ns),1777798234779860992.00
Minimum Request Timestamp (ns),1777798056231746304.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),17.92
Request Count,50.00
Request Throughput (requests/sec),0.28
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),3200.00
Total Output Tokens (tokens),3200.00
Total Token Throughput (tokens/sec),268.56
Total Usage Completion Tokens (tokens),3200.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),47950.00
