host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid001145,2026/05/03 01:50:40.763, 0, GPU-8ea6fdc3-f283-452d-c89c-4e954e5e073c, NVIDIA A100-SXM4-40GB, 34771, 40960, 0, 57.22, 29
nid001145,2026/05/03 01:50:40.766, 1, GPU-64cdb16d-faee-8107-c27d-7e92ffec99a0, NVIDIA A100-SXM4-40GB, 34771, 40960, 0, 56.01, 27
nid001145,2026/05/03 01:50:40.773, 2, GPU-ff858cba-dabb-2e65-f117-e5837cc177a1, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 49.34, 29
nid001145,2026/05/03 01:50:40.775, 3, GPU-f730a11d-647c-a1fa-7b7a-c285f32e3d57, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 49.47, 27
nid001148,2026/05/03 01:50:41.734, 0, GPU-a7c8774f-988d-67a1-6fc7-b550e6084318, NVIDIA A100-SXM4-40GB, 37289, 40960, 0, 71.34, 35
nid001148,2026/05/03 01:50:41.737, 1, GPU-577e60db-d1c2-90d3-5b3f-7c7b324afca4, NVIDIA A100-SXM4-40GB, 35975, 40960, 0, 69.54, 32
nid001148,2026/05/03 01:50:41.739, 2, GPU-f9525f1a-f229-68e0-6d66-e6a80841779c, NVIDIA A100-SXM4-40GB, 35975, 40960, 0, 71.27, 35
nid001148,2026/05/03 01:50:41.742, 3, GPU-8a5d8169-14f6-54ff-6976-dc38563295f4, NVIDIA A100-SXM4-40GB, 37521, 40960, 0, 71.35, 32
nid001145,2026/05/03 01:50:44.735, 0, GPU-8ea6fdc3-f283-452d-c89c-4e954e5e073c, NVIDIA A100-SXM4-40GB, 34771, 40960, 0, 56.69, 29
nid001145,2026/05/03 01:50:44.737, 1, GPU-64cdb16d-faee-8107-c27d-7e92ffec99a0, NVIDIA A100-SXM4-40GB, 34771, 40960, 0, 56.32, 27
nid001145,2026/05/03 01:50:44.739, 2, GPU-ff858cba-dabb-2e65-f117-e5837cc177a1, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 49.34, 28
nid001145,2026/05/03 01:50:44.741, 3, GPU-f730a11d-647c-a1fa-7b7a-c285f32e3d57, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 49.47, 27
nid001148,2026/05/03 01:50:45.736, 0, GPU-a7c8774f-988d-67a1-6fc7-b550e6084318, NVIDIA A100-SXM4-40GB, 37289, 40960, 0, 71.10, 34
nid001148,2026/05/03 01:50:45.740, 1, GPU-577e60db-d1c2-90d3-5b3f-7c7b324afca4, NVIDIA A100-SXM4-40GB, 35975, 40960, 0, 69.54, 32
nid001148,2026/05/03 01:50:45.741, 2, GPU-f9525f1a-f229-68e0-6d66-e6a80841779c, NVIDIA A100-SXM4-40GB, 35975, 40960, 0, 70.99, 35
nid001148,2026/05/03 01:50:45.743, 3, GPU-8a5d8169-14f6-54ff-6976-dc38563295f4, NVIDIA A100-SXM4-40GB, 37521, 40960, 0, 71.35, 31
nid001145,2026/05/03 01:50:48.729, 0, GPU-8ea6fdc3-f283-452d-c89c-4e954e5e073c, NVIDIA A100-SXM4-40GB, 34771, 40960, 0, 57.22, 29
nid001145,2026/05/03 01:50:48.731, 1, GPU-64cdb16d-faee-8107-c27d-7e92ffec99a0, NVIDIA A100-SXM4-40GB, 34771, 40960, 0, 55.79, 27
nid001145,2026/05/03 01:50:48.732, 2, GPU-ff858cba-dabb-2e65-f117-e5837cc177a1, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 49.34, 29
nid001145,2026/05/03 01:50:48.734, 3, GPU-f730a11d-647c-a1fa-7b7a-c285f32e3d57, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 49.47, 27
nid001148,2026/05/03 01:50:49.741, 0, GPU-a7c8774f-988d-67a1-6fc7-b550e6084318, NVIDIA A100-SXM4-40GB, 37289, 40960, 0, 71.10, 34
nid001148,2026/05/03 01:50:49.744, 1, GPU-577e60db-d1c2-90d3-5b3f-7c7b324afca4, NVIDIA A100-SXM4-40GB, 35975, 40960, 0, 69.54, 32
nid001148,2026/05/03 01:50:49.746, 2, GPU-f9525f1a-f229-68e0-6d66-e6a80841779c, NVIDIA A100-SXM4-40GB, 35975, 40960, 0, 70.99, 35
nid001148,2026/05/03 01:50:49.748, 3, GPU-8a5d8169-14f6-54ff-6976-dc38563295f4, NVIDIA A100-SXM4-40GB, 37521, 40960, 0, 71.07, 31
nid001145,2026/05/03 01:50:52.833, 0, GPU-8ea6fdc3-f283-452d-c89c-4e954e5e073c, NVIDIA A100-SXM4-40GB, 34771, 40960, 0, 56.91, 29
nid001145,2026/05/03 01:50:52.835, 1, GPU-64cdb16d-faee-8107-c27d-7e92ffec99a0, NVIDIA A100-SXM4-40GB, 34771, 40960, 0, 55.79, 27
nid001145,2026/05/03 01:50:52.837, 2, GPU-ff858cba-dabb-2e65-f117-e5837cc177a1, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 49.34, 28
nid001145,2026/05/03 01:50:52.839, 3, GPU-f730a11d-647c-a1fa-7b7a-c285f32e3d57, NVIDIA A100-SXM4-40GB, 0, 40960, 0, 49.47, 27
nid001148,2026/05/03 01:50:53.838, 0, GPU-a7c8774f-988d-67a1-6fc7-b550e6084318, NVIDIA A100-SXM4-40GB, 37289, 40960, 0, 71.10, 34
