Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.30,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.58,1.12,1.16,1.19,0.47
HTTP Connection Overhead (ms),0.42,0.00,1.74,0.00,0.00,0.00,0.00,0.00,0.58,1.63,1.70,1.73,0.69
HTTP Connection Reused (ratio),0.70,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),4.36,2.88,5.46,3.01,3.26,3.44,3.86,4.35,4.91,5.28,5.39,5.44,0.68
HTTP Data Sent (KB),359.42,282.99,502.46,283.02,283.06,283.11,318.28,318.51,459.59,502.28,502.31,502.40,86.18
HTTP DNS Lookup (ms),0.12,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.54,0.56,0.22
HTTP Duration (excl. conn) (ms),62598.74,53432.22,64001.92,53472.29,62217.90,62412.62,62790.95,62852.72,63196.80,63362.60,63738.53,64001.86,1903.22
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.54,0.12,1.66,0.13,0.14,0.14,0.15,0.19,0.86,1.55,1.59,1.65,0.59
HTTP Total Time (ms),62599.14,53432.20,64003.34,53472.27,62217.88,62412.61,62790.93,62852.70,63197.77,63362.58,63740.09,64003.28,1903.37
HTTP Waiting (TTFB) (ms),62598.18,53432.05,64000.42,53472.12,62217.74,62412.46,62790.74,62852.55,63195.21,63362.40,63736.97,64000.38,1903.08
Image Latency (ms/image),62598.82,53432.26,64002.08,53472.33,62217.94,62412.66,62791.00,62852.77,63196.98,63362.65,63738.69,64002.03,1903.23
Image Throughput (images/sec),0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Request Latency (ms),62598.82,53432.26,64002.08,53472.33,62217.94,62412.66,62791.00,62852.77,63196.98,63362.65,63738.69,64002.03,1903.23
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,0.00

Metric,Value
Benchmark Duration (sec),241.85
Maximum Response Timestamp (ns),1777806241426576896.00
Minimum Request Timestamp (ns),1777805999574987520.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),211.70
Request Count,50.00
Request Throughput (requests/sec),0.21
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),51200.00
Total Output Tokens (tokens),51200.00
Total Token Throughput (tokens/sec),396.73
Total Usage Completion Tokens (tokens),51200.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),95950.00
