Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),1.17,1.11,1.23,1.12,1.12,1.13,1.15,1.17,1.19,1.20,1.22,1.23,0.03
HTTP Data Sent (KB),1085.69,936.73,1586.55,936.73,936.78,936.83,937.53,1087.69,1087.88,1586.36,1586.44,1586.52,213.51
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7177.07,7166.26,7211.36,7166.70,7167.68,7168.71,7170.05,7172.81,7176.12,7200.95,7203.70,7208.55,11.91
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.18,0.14,0.23,0.14,0.15,0.16,0.16,0.18,0.19,0.20,0.21,0.23,0.02
HTTP Total Time (ms),7177.06,7166.25,7211.35,7166.69,7167.66,7168.70,7170.04,7172.80,7176.11,7200.94,7203.69,7208.54,11.91
HTTP Waiting (TTFB) (ms),7176.88,7166.07,7211.15,7166.52,7167.50,7168.54,7169.88,7172.61,7175.94,7200.74,7203.49,7208.34,11.90
Image Latency (ms/image),7177.12,7166.31,7211.41,7166.75,7167.74,7168.76,7170.10,7172.86,7176.17,7201.00,7203.75,7208.60,11.91
Image Throughput (images/sec),0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.00
Input Sequence Length (tokens),1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Request Latency (ms),7177.12,7166.31,7211.41,7166.75,7167.74,7168.76,7170.10,7172.86,7176.17,7201.00,7203.75,7208.60,11.91
Usage Completion Tokens (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,0.00
Usage Total Tokens (tokens),2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,0.00

Metric,Value
Benchmark Duration (sec),358.99
Maximum Response Timestamp (ns),1777799070307442432.00
Minimum Request Timestamp (ns),1777798711314497280.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),17.83
Request Count,50.00
Request Throughput (requests/sec),0.14
Total Input Sequence Length (tokens),97000.00
Total Output Sequence Length (tokens),6400.00
Total Output Tokens (tokens),6400.00
Total Token Throughput (tokens/sec),288.03
Total Usage Completion Tokens (tokens),6400.00
Total Usage Prompt Tokens (tokens),97000.00
Total Usage Total Tokens (tokens),103400.00
