Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.49,0.11
HTTP Connection Overhead (ms),0.03,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.49,0.11
HTTP Connection Reused (ratio),0.94,0.00,1.00,0.00,0.45,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),0.88,0.80,0.93,0.80,0.82,0.85,0.87,0.88,0.90,0.91,0.92,0.93,0.03
HTTP Data Sent (KB),362.33,283.01,502.41,283.02,283.10,283.13,318.25,332.12,459.70,502.28,502.34,502.40,84.78
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),55078.44,50228.40,63407.13,50236.45,50272.92,51080.07,54375.34,54849.76,55638.08,56015.59,63312.79,63372.43,2886.80
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.18,0.12,0.72,0.12,0.13,0.13,0.13,0.14,0.16,0.18,0.47,0.70,0.13
HTTP Total Time (ms),55078.46,50228.39,63407.12,50236.44,50272.91,51080.07,54375.33,54849.75,55638.07,56015.57,63312.78,63372.42,2886.80
HTTP Waiting (TTFB) (ms),55078.25,50228.26,63406.99,50236.29,50272.78,51079.92,54375.14,54849.58,55637.92,56015.43,63312.64,63372.29,2886.80
Image Latency (ms/image),55078.49,50228.45,63407.17,50236.50,50272.97,51080.13,54375.40,54849.81,55638.13,56015.63,63312.84,63372.48,2886.80
Image Throughput (images/sec),0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Count (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Request Latency (ms),55078.49,50228.45,63407.17,50236.50,50272.97,51080.13,54375.40,54849.81,55638.13,56015.63,63312.84,63372.48,2886.80
Usage Completion Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,0.00

Metric,Value
Benchmark Duration (sec),713.94
Maximum Response Timestamp (ns),1777849054421802752.00
Minimum Request Timestamp (ns),1777848340478376192.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),4.48
Request Count,50.00
Request Throughput (requests/sec),0.07
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),3200.00
Total Output Tokens (tokens),3200.00
Total Token Throughput (tokens/sec),67.16
Total Usage Completion Tokens (tokens),3200.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),47950.00
