host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008448,2026/05/03 23:29:38.356, 0, GPU-18d89fbd-4662-710b-55bb-8d9299a0aa97, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 98.68, 32
nid008448,2026/05/03 23:29:38.363, 1, GPU-7a0c47b9-e534-9c74-d6fc-a7eef4b05f71, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 93.52, 31
nid008448,2026/05/03 23:29:38.368, 2, GPU-bd34185e-4e86-d406-e619-d05eacae5c92, NVIDIA A100-SXM4-80GB, 72001, 81920, 0, 96.70, 32
nid008448,2026/05/03 23:29:38.373, 3, GPU-ebae5b4d-d35f-adcd-81e8-c43ecc9b970f, NVIDIA A100-SXM4-80GB, 72493, 81920, 0, 97.06, 31
nid008449,2026/05/03 23:29:39.334, 0, GPU-dec5ef7a-6fcb-6b82-2ed8-1077e5f19571, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 93.70, 32
nid008449,2026/05/03 23:29:39.336, 1, GPU-789059f6-4774-6c3f-8457-e810190ee2d6, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 95.90, 30
nid008449,2026/05/03 23:29:39.338, 2, GPU-ef9137cc-f80d-8d6f-f97e-446fee7b1ab9, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 95.95, 32
nid008449,2026/05/03 23:29:39.343, 3, GPU-7f4fc176-976c-2cb2-32eb-6b67fddf94e0, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 92.77, 30
nid008448,2026/05/03 23:29:42.431, 0, GPU-18d89fbd-4662-710b-55bb-8d9299a0aa97, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 98.56, 32
nid008448,2026/05/03 23:29:42.433, 1, GPU-7a0c47b9-e534-9c74-d6fc-a7eef4b05f71, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 93.41, 31
nid008448,2026/05/03 23:29:42.434, 2, GPU-bd34185e-4e86-d406-e619-d05eacae5c92, NVIDIA A100-SXM4-80GB, 72001, 81920, 0, 96.70, 32
nid008448,2026/05/03 23:29:42.436, 3, GPU-ebae5b4d-d35f-adcd-81e8-c43ecc9b970f, NVIDIA A100-SXM4-80GB, 72493, 81920, 0, 97.23, 31
nid008449,2026/05/03 23:29:43.405, 0, GPU-dec5ef7a-6fcb-6b82-2ed8-1077e5f19571, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 93.59, 32
nid008449,2026/05/03 23:29:43.407, 1, GPU-789059f6-4774-6c3f-8457-e810190ee2d6, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 95.90, 30
nid008449,2026/05/03 23:29:43.408, 2, GPU-ef9137cc-f80d-8d6f-f97e-446fee7b1ab9, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 95.95, 32
nid008449,2026/05/03 23:29:43.410, 3, GPU-7f4fc176-976c-2cb2-32eb-6b67fddf94e0, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 92.77, 30
nid008448,2026/05/03 23:29:46.512, 0, GPU-18d89fbd-4662-710b-55bb-8d9299a0aa97, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 98.56, 33
nid008448,2026/05/03 23:29:46.514, 1, GPU-7a0c47b9-e534-9c74-d6fc-a7eef4b05f71, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 93.41, 31
nid008448,2026/05/03 23:29:46.516, 2, GPU-bd34185e-4e86-d406-e619-d05eacae5c92, NVIDIA A100-SXM4-80GB, 72001, 81920, 0, 96.70, 32
nid008448,2026/05/03 23:29:46.517, 3, GPU-ebae5b4d-d35f-adcd-81e8-c43ecc9b970f, NVIDIA A100-SXM4-80GB, 72493, 81920, 0, 97.23, 31
nid008449,2026/05/03 23:29:47.466, 0, GPU-dec5ef7a-6fcb-6b82-2ed8-1077e5f19571, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 93.59, 32
nid008449,2026/05/03 23:29:47.468, 1, GPU-789059f6-4774-6c3f-8457-e810190ee2d6, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 95.90, 30
nid008449,2026/05/03 23:29:47.470, 2, GPU-ef9137cc-f80d-8d6f-f97e-446fee7b1ab9, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 95.95, 32
nid008449,2026/05/03 23:29:47.471, 3, GPU-7f4fc176-976c-2cb2-32eb-6b67fddf94e0, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 92.77, 30
nid008448,2026/05/03 23:29:50.502, 0, GPU-18d89fbd-4662-710b-55bb-8d9299a0aa97, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 98.56, 33
nid008448,2026/05/03 23:29:50.504, 1, GPU-7a0c47b9-e534-9c74-d6fc-a7eef4b05f71, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 93.52, 31
nid008448,2026/05/03 23:29:50.506, 2, GPU-bd34185e-4e86-d406-e619-d05eacae5c92, NVIDIA A100-SXM4-80GB, 72001, 81920, 0, 96.59, 32
nid008448,2026/05/03 23:29:50.510, 3, GPU-ebae5b4d-d35f-adcd-81e8-c43ecc9b970f, NVIDIA A100-SXM4-80GB, 72493, 81920, 0, 97.23, 31
nid008449,2026/05/03 23:29:51.457, 0, GPU-dec5ef7a-6fcb-6b82-2ed8-1077e5f19571, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 93.59, 32
nid008449,2026/05/03 23:29:51.460, 1, GPU-789059f6-4774-6c3f-8457-e810190ee2d6, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 96.01, 30
nid008449,2026/05/03 23:29:51.461, 2, GPU-ef9137cc-f80d-8d6f-f97e-446fee7b1ab9, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 95.95, 32
nid008449,2026/05/03 23:29:51.463, 3, GPU-7f4fc176-976c-2cb2-32eb-6b67fddf94e0, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 92.77, 30
nid008448,2026/05/03 23:29:54.518, 0, GPU-18d89fbd-4662-710b-55bb-8d9299a0aa97, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 98.56, 32
nid008448,2026/05/03 23:29:54.520, 1, GPU-7a0c47b9-e534-9c74-d6fc-a7eef4b05f71, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 93.41, 31
nid008448,2026/05/03 23:29:54.522, 2, GPU-bd34185e-4e86-d406-e619-d05eacae5c92, NVIDIA A100-SXM4-80GB, 72001, 81920, 0, 96.70, 32
nid008448,2026/05/03 23:29:54.523, 3, GPU-ebae5b4d-d35f-adcd-81e8-c43ecc9b970f, NVIDIA A100-SXM4-80GB, 72493, 81920, 0, 97.34, 31
nid008449,2026/05/03 23:29:55.461, 0, GPU-dec5ef7a-6fcb-6b82-2ed8-1077e5f19571, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 93.70, 32
nid008449,2026/05/03 23:29:55.464, 1, GPU-789059f6-4774-6c3f-8457-e810190ee2d6, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 96.18, 30
nid008449,2026/05/03 23:29:55.465, 2, GPU-ef9137cc-f80d-8d6f-f97e-446fee7b1ab9, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 95.95, 32
nid008449,2026/05/03 23:29:55.467, 3, GPU-7f4fc176-976c-2cb2-32eb-6b67fddf94e0, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 92.77, 30
nid008448,2026/05/03 23:29:58.470, 0, GPU-18d89fbd-4662-710b-55bb-8d9299a0aa97, NVIDIA A100-SXM4-80GB, 34771, 81920, 1, 102.27, 33
nid008448,2026/05/03 23:29:58.472, 1, GPU-7a0c47b9-e534-9c74-d6fc-a7eef4b05f71, NVIDIA A100-SXM4-80GB, 34771, 81920, 1, 93.93, 31
nid008448,2026/05/03 23:29:58.474, 2, GPU-bd34185e-4e86-d406-e619-d05eacae5c92, NVIDIA A100-SXM4-80GB, 72001, 81920, 0, 96.83, 32
nid008448,2026/05/03 23:29:58.475, 3, GPU-ebae5b4d-d35f-adcd-81e8-c43ecc9b970f, NVIDIA A100-SXM4-80GB, 72493, 81920, 0, 97.23, 31
nid008449,2026/05/03 23:29:59.462, 0, GPU-dec5ef7a-6fcb-6b82-2ed8-1077e5f19571, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 93.70, 32
nid008449,2026/05/03 23:29:59.465, 1, GPU-789059f6-4774-6c3f-8457-e810190ee2d6, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 96.18, 30
nid008449,2026/05/03 23:29:59.466, 2, GPU-ef9137cc-f80d-8d6f-f97e-446fee7b1ab9, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 96.07, 32
nid008449,2026/05/03 23:29:59.468, 3, GPU-7f4fc176-976c-2cb2-32eb-6b67fddf94e0, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 92.77, 30
nid008448,2026/05/03 23:30:02.533, 0, GPU-18d89fbd-4662-710b-55bb-8d9299a0aa97, NVIDIA A100-SXM4-80GB, 34771, 81920, 0, 98.61, 32
nid008448,2026/05/03 23:30:02.538, 1, GPU-7a0c47b9-e534-9c74-d6fc-a7eef4b05f71, NVIDIA A100-SXM4-80GB, 34771, 81920, 0, 93.69, 31
nid008448,2026/05/03 23:30:02.545, 2, GPU-bd34185e-4e86-d406-e619-d05eacae5c92, NVIDIA A100-SXM4-80GB, 72503, 81920, 23, 117.50, 34
nid008448,2026/05/03 23:30:02.549, 3, GPU-ebae5b4d-d35f-adcd-81e8-c43ecc9b970f, NVIDIA A100-SXM4-80GB, 72799, 81920, 67, 108.60, 34
nid008449,2026/05/03 23:30:03.505, 0, GPU-dec5ef7a-6fcb-6b82-2ed8-1077e5f19571, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 93.70, 32
nid008449,2026/05/03 23:30:03.507, 1, GPU-789059f6-4774-6c3f-8457-e810190ee2d6, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 95.09, 30
nid008449,2026/05/03 23:30:03.509, 2, GPU-ef9137cc-f80d-8d6f-f97e-446fee7b1ab9, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 95.95, 32
nid008449,2026/05/03 23:30:03.510, 3, GPU-7f4fc176-976c-2cb2-32eb-6b67fddf94e0, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 93.05, 30
nid008448,2026/05/03 23:30:06.655, 0, GPU-18d89fbd-4662-710b-55bb-8d9299a0aa97, NVIDIA A100-SXM4-80GB, 34771, 81920, 0, 98.56, 33
nid008448,2026/05/03 23:30:06.657, 1, GPU-7a0c47b9-e534-9c74-d6fc-a7eef4b05f71, NVIDIA A100-SXM4-80GB, 34771, 81920, 0, 93.69, 31
nid008448,2026/05/03 23:30:06.659, 2, GPU-bd34185e-4e86-d406-e619-d05eacae5c92, NVIDIA A100-SXM4-80GB, 72503, 81920, 0, 96.59, 32
nid008448,2026/05/03 23:30:06.660, 3, GPU-ebae5b4d-d35f-adcd-81e8-c43ecc9b970f, NVIDIA A100-SXM4-80GB, 72799, 81920, 0, 97.63, 31
nid008449,2026/05/03 23:30:07.581, 0, GPU-dec5ef7a-6fcb-6b82-2ed8-1077e5f19571, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 93.59, 32
nid008449,2026/05/03 23:30:07.584, 1, GPU-789059f6-4774-6c3f-8457-e810190ee2d6, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 96.18, 30
nid008449,2026/05/03 23:30:07.585, 2, GPU-ef9137cc-f80d-8d6f-f97e-446fee7b1ab9, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 95.95, 32
nid008449,2026/05/03 23:30:07.587, 3, GPU-7f4fc176-976c-2cb2-32eb-6b67fddf94e0, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 93.05, 30
nid008448,2026/05/03 23:30:10.571, 0, GPU-18d89fbd-4662-710b-55bb-8d9299a0aa97, NVIDIA A100-SXM4-80GB, 34771, 81920, 0, 98.85, 33
nid008448,2026/05/03 23:30:10.574, 1, GPU-7a0c47b9-e534-9c74-d6fc-a7eef4b05f71, NVIDIA A100-SXM4-80GB, 34771, 81920, 0, 93.80, 31
nid008448,2026/05/03 23:30:10.575, 2, GPU-bd34185e-4e86-d406-e619-d05eacae5c92, NVIDIA A100-SXM4-80GB, 72503, 81920, 0, 96.42, 32
nid008448,2026/05/03 23:30:10.577, 3, GPU-ebae5b4d-d35f-adcd-81e8-c43ecc9b970f, NVIDIA A100-SXM4-80GB, 72799, 81920, 0, 97.34, 31
nid008449,2026/05/03 23:30:11.515, 0, GPU-dec5ef7a-6fcb-6b82-2ed8-1077e5f19571, NVIDIA A100-SXM4-80GB, 72771, 81920, 100, 203.89, 35
