Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.10
HTTP Connection Overhead (ms),0.02,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.10
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),0.78,0.63,0.93,0.64,0.67,0.68,0.73,0.77,0.82,0.88,0.89,0.92,0.07
HTTP Data Sent (KB),352.87,282.98,502.45,283.00,283.06,283.10,283.17,318.50,332.43,502.26,502.35,502.43,86.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5282.01,3673.18,5514.64,3673.23,5192.47,5222.11,5279.26,5340.34,5399.07,5505.44,5514.25,5514.50,340.35
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.17,0.13,0.75,0.13,0.13,0.13,0.14,0.14,0.16,0.17,0.21,0.73,0.12
HTTP Total Time (ms),5282.02,3673.17,5514.63,3673.22,5192.46,5222.10,5279.25,5340.33,5399.06,5505.91,5514.23,5514.48,340.37
HTTP Waiting (TTFB) (ms),5281.83,3673.00,5514.49,3673.06,5192.32,5221.95,5279.09,5340.18,5398.92,5504.85,5514.08,5514.35,340.34
Image Latency (ms/image),5282.06,3673.24,5514.69,3673.28,5192.52,5222.15,5279.30,5340.39,5399.13,5505.51,5514.30,5514.54,340.35
Image Throughput (images/sec),0.19,0.18,0.27,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.27,0.02
Input Sequence Length (tokens),895.02,895.00,896.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.51,0.14
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Count (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Request Latency (ms),5282.06,3673.24,5514.69,3673.28,5192.52,5222.15,5279.30,5340.39,5399.13,5505.51,5514.30,5514.54,340.35
Usage Completion Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),895.02,895.00,896.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.51,0.14
Usage Total Tokens (tokens),959.02,959.00,960.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.51,0.14

Metric,Value
Benchmark Duration (sec),67.88
Maximum Response Timestamp (ns),1777876289340915712.00
Minimum Request Timestamp (ns),1777876221455936512.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),47.14
Request Count,50.00
Request Throughput (requests/sec),0.74
Total Input Sequence Length (tokens),44751.00
Total Output Sequence Length (tokens),3200.00
Total Output Tokens (tokens),3200.00
Total Token Throughput (tokens/sec),706.36
Total Usage Completion Tokens (tokens),3200.00
Total Usage Prompt Tokens (tokens),44751.00
Total Usage Total Tokens (tokens),47951.00
