Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.09
HTTP Connection Overhead (ms),0.02,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.09
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),0.89,0.86,0.94,0.86,0.86,0.87,0.88,0.88,0.90,0.92,0.92,0.94,0.02
HTTP Data Sent (KB),359.92,282.96,502.43,282.99,283.04,283.07,283.28,332.08,459.70,502.28,502.30,502.42,86.40
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3763.76,3322.73,4008.71,3324.88,3590.58,3764.74,3766.80,3767.45,3791.17,3812.56,3844.39,4007.19,108.97
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.16,0.11,0.71,0.12,0.12,0.12,0.13,0.13,0.14,0.16,0.19,0.70,0.11
HTTP Total Time (ms),3763.76,3322.72,4008.69,3324.87,3590.57,3764.73,3766.79,3767.44,3791.15,3812.59,3844.65,4007.17,108.98
HTTP Waiting (TTFB) (ms),3763.59,3322.59,4008.56,3324.74,3590.43,3764.57,3766.64,3767.31,3791.02,3812.20,3843.92,4007.05,108.96
Image Latency (ms/image),3763.80,3322.78,4008.75,3324.92,3590.63,3764.79,3766.87,3767.50,3791.22,3812.63,3844.45,4007.23,108.97
Image Throughput (images/sec),0.27,0.25,0.30,0.25,0.26,0.26,0.26,0.27,0.27,0.27,0.28,0.30,0.01
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Count (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Request Latency (ms),3763.80,3322.78,4008.75,3324.92,3590.63,3764.79,3766.87,3767.50,3791.22,3812.63,3844.45,4007.23,108.97
Usage Completion Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,0.00

Metric,Value
Benchmark Duration (sec),48.69
Maximum Response Timestamp (ns),1777847317673914624.00
Minimum Request Timestamp (ns),1777847268987299584.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),65.73
Request Count,50.00
Request Throughput (requests/sec),1.03
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),3200.00
Total Output Tokens (tokens),3200.00
Total Token Throughput (tokens/sec),984.87
Total Usage Completion Tokens (tokens),3200.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),47950.00
