Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.47,0.11
HTTP Connection Overhead (ms),0.03,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.47,0.11
HTTP Connection Reused (ratio),0.94,0.00,1.00,0.00,0.45,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),4.29,2.54,5.50,2.87,3.35,3.61,3.75,4.31,4.76,5.32,5.35,5.45,0.68
HTTP Data Sent (KB),360.26,282.94,502.47,282.97,283.04,283.13,283.20,318.46,502.18,502.31,502.38,502.46,90.20
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),53595.62,51424.64,55584.77,51424.68,52543.95,52544.34,52799.39,53472.26,54282.87,54524.54,55584.09,55584.55,948.32
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.18,0.12,0.71,0.12,0.13,0.13,0.14,0.14,0.15,0.17,0.46,0.71,0.13
HTTP Total Time (ms),53595.63,51424.62,55584.76,51424.67,52543.94,52544.33,52799.37,53472.25,54282.85,54524.52,55584.07,55584.54,948.33
HTTP Waiting (TTFB) (ms),53595.43,51424.48,55584.61,51424.53,52543.80,52544.19,52799.23,53472.11,54282.72,54524.38,55583.92,55584.38,948.30
Image Latency (ms/image),53595.67,51424.68,55584.82,51424.73,52544.01,52544.39,52799.44,53472.32,54282.91,54524.60,55584.13,55584.60,948.32
Image Throughput (images/sec),0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Request Latency (ms),53595.67,51424.68,55584.82,51424.73,52544.01,52544.39,52799.44,53472.32,54282.91,54524.60,55584.13,55584.60,948.32
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,0.00

Metric,Value
Benchmark Duration (sec),695.68
Maximum Response Timestamp (ns),1777853935966893568.00
Minimum Request Timestamp (ns),1777853240283571712.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),73.60
Request Count,50.00
Request Throughput (requests/sec),0.07
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),51200.00
Total Output Tokens (tokens),51200.00
Total Token Throughput (tokens/sec),137.92
Total Usage Completion Tokens (tokens),51200.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),95950.00
