Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.43,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.65,1.34,1.76,2.09,0.72
HTTP Connection Overhead (ms),0.60,0.00,3.15,0.00,0.00,0.00,0.00,0.00,0.85,1.83,2.49,3.02,1.02
HTTP Connection Reused (ratio),0.70,0.00,1.00,0.00,0.00,0.00,0.25,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),4.39,3.60,5.41,3.60,3.62,3.64,3.78,4.32,5.01,5.22,5.32,5.39,0.65
HTTP Data Sent (KB),345.23,282.94,502.26,282.95,282.98,283.01,283.12,325.40,332.39,502.23,502.25,502.26,81.23
HTTP DNS Lookup (ms),0.17,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.20,0.49,0.73,0.93,0.31
HTTP Duration (excl. conn) (ms),862256.26,849120.38,867521.34,849125.80,849147.46,849174.54,863143.15,863987.59,867414.14,867458.68,867490.01,867515.07,6778.28
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.79,0.16,3.20,0.16,0.16,0.17,0.20,0.26,1.00,2.01,2.60,3.08,0.97
HTTP Total Time (ms),862256.83,849120.37,867521.33,849125.79,849147.45,849174.53,863143.40,863989.96,867414.10,867458.67,867490.00,867515.06,6778.42
HTTP Waiting (TTFB) (ms),862255.44,849120.20,867521.17,849125.61,849147.27,849174.34,863142.65,863985.00,867413.79,867458.44,867489.81,867514.90,6778.12
Image Latency (ms/image),862256.38,849120.43,867521.38,849125.85,849147.52,849174.61,863143.22,863987.92,867414.19,867458.75,867490.06,867515.12,6778.30
Image Throughput (images/sec),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Request Latency (ms),862256.38,849120.43,867521.38,849125.85,849147.52,849174.61,863143.22,863987.92,867414.19,867458.75,867490.06,867515.12,6778.30
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,0.00

Metric,Value
Benchmark Duration (sec),2580.09
Maximum Response Timestamp (ns),1777870628943099648.00
Minimum Request Timestamp (ns),1777868048852206080.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),3.97
Request Count,10.00
Request Throughput (requests/sec),0.00
Total Input Sequence Length (tokens),8950.00
Total Output Sequence Length (tokens),10240.00
Total Output Tokens (tokens),10240.00
Total Token Throughput (tokens/sec),7.44
Total Usage Completion Tokens (tokens),10240.00
Total Usage Prompt Tokens (tokens),8950.00
Total Usage Total Tokens (tokens),19190.00
