=== Unique GPU telemetry hosts for concurrency=4 ===
    244 nid008448
    244 nid008449

=== First telemetry rows ===
host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008448,2026/05/03 23:39:59.904, 0, GPU-18d89fbd-4662-710b-55bb-8d9299a0aa97, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 98.16, 32
nid008448,2026/05/03 23:39:59.906, 1, GPU-7a0c47b9-e534-9c74-d6fc-a7eef4b05f71, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 93.39, 31
nid008448,2026/05/03 23:39:59.907, 2, GPU-bd34185e-4e86-d406-e619-d05eacae5c92, NVIDIA A100-SXM4-80GB, 72001, 81920, 0, 96.53, 32
nid008448,2026/05/03 23:39:59.909, 3, GPU-ebae5b4d-d35f-adcd-81e8-c43ecc9b970f, NVIDIA A100-SXM4-80GB, 72493, 81920, 0, 96.93, 30
nid008449,2026/05/03 23:40:00.848, 0, GPU-dec5ef7a-6fcb-6b82-2ed8-1077e5f19571, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 93.47, 32
nid008449,2026/05/03 23:40:00.850, 1, GPU-789059f6-4774-6c3f-8457-e810190ee2d6, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 96.01, 30
nid008449,2026/05/03 23:40:00.852, 2, GPU-ef9137cc-f80d-8d6f-f97e-446fee7b1ab9, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 95.54, 32
nid008449,2026/05/03 23:40:00.853, 3, GPU-7f4fc176-976c-2cb2-32eb-6b67fddf94e0, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 92.60, 30
nid008448,2026/05/03 23:40:03.905, 0, GPU-18d89fbd-4662-710b-55bb-8d9299a0aa97, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 98.28, 32
nid008448,2026/05/03 23:40:03.907, 1, GPU-7a0c47b9-e534-9c74-d6fc-a7eef4b05f71, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 93.27, 31
nid008448,2026/05/03 23:40:03.909, 2, GPU-bd34185e-4e86-d406-e619-d05eacae5c92, NVIDIA A100-SXM4-80GB, 72001, 81920, 0, 96.53, 32
nid008448,2026/05/03 23:40:03.910, 3, GPU-ebae5b4d-d35f-adcd-81e8-c43ecc9b970f, NVIDIA A100-SXM4-80GB, 72493, 81920, 0, 96.93, 30
nid008449,2026/05/03 23:40:04.878, 0, GPU-dec5ef7a-6fcb-6b82-2ed8-1077e5f19571, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 93.58, 32
nid008449,2026/05/03 23:40:04.885, 1, GPU-789059f6-4774-6c3f-8457-e810190ee2d6, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 95.88, 30
nid008449,2026/05/03 23:40:04.890, 2, GPU-ef9137cc-f80d-8d6f-f97e-446fee7b1ab9, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 95.54, 32
nid008449,2026/05/03 23:40:04.895, 3, GPU-7f4fc176-976c-2cb2-32eb-6b67fddf94e0, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 92.60, 30
nid008448,2026/05/03 23:40:07.901, 0, GPU-18d89fbd-4662-710b-55bb-8d9299a0aa97, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 98.16, 32
nid008448,2026/05/03 23:40:07.907, 1, GPU-7a0c47b9-e534-9c74-d6fc-a7eef4b05f71, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 93.27, 31
nid008448,2026/05/03 23:40:07.912, 2, GPU-bd34185e-4e86-d406-e619-d05eacae5c92, NVIDIA A100-SXM4-80GB, 72001, 81920, 0, 96.53, 32
