Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.15,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.33,0.54,0.55,0.57,0.24
HTTP Connection Overhead (ms),0.15,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.33,0.54,0.55,0.57,0.24
HTTP Connection Reused (ratio),0.70,0.00,1.00,0.00,0.00,0.00,0.25,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),2.91,1.16,4.37,1.23,1.50,1.84,2.53,2.89,3.51,3.85,4.11,4.31,0.88
HTTP Data Sent (KB),362.21,282.94,502.36,282.95,283.00,283.06,283.13,325.31,459.67,502.31,502.33,502.35,93.59
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),31086.57,29203.66,31784.64,29203.70,29203.88,29204.09,31330.39,31396.59,31750.72,31783.75,31784.19,31784.55,958.52
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.34,0.14,0.87,0.14,0.14,0.15,0.15,0.16,0.54,0.77,0.82,0.86,0.28
HTTP Total Time (ms),31086.71,29203.65,31785.16,29203.69,29203.86,29204.08,31330.37,31396.57,31750.86,31784.17,31784.66,31785.06,958.62
HTTP Waiting (TTFB) (ms),31086.21,29203.50,31783.86,29203.54,29203.72,29203.94,31330.21,31396.42,31749.99,31783.49,31783.67,31783.82,958.39
Image Latency (ms/image),31086.62,29203.71,31784.70,29203.75,29203.93,29204.14,31330.44,31396.63,31750.78,31783.80,31784.25,31784.61,958.52
Image Throughput (images/sec),0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Request Latency (ms),31086.62,29203.71,31784.70,29203.75,29203.93,29204.14,31330.44,31396.63,31750.78,31783.80,31784.25,31784.61,958.52
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,0.00

Metric,Value
Benchmark Duration (sec),92.32
Maximum Response Timestamp (ns),1777877042614704640.00
Minimum Request Timestamp (ns),1777876950291787776.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),110.92
Request Count,10.00
Request Throughput (requests/sec),0.11
Total Input Sequence Length (tokens),8950.00
Total Output Sequence Length (tokens),10240.00
Total Output Tokens (tokens),10240.00
Total Token Throughput (tokens/sec),207.86
Total Usage Completion Tokens (tokens),10240.00
Total Usage Prompt Tokens (tokens),8950.00
Total Usage Total Tokens (tokens),19190.00
