Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.45,0.11
HTTP Connection Overhead (ms),0.03,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.45,0.11
HTTP Connection Reused (ratio),0.94,0.00,1.00,0.00,0.45,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),4.62,3.39,5.51,3.40,3.48,3.73,4.04,4.74,5.18,5.35,5.46,5.51,0.64
HTTP Data Sent (KB),357.49,282.98,502.42,282.99,283.01,283.08,292.07,332.06,332.29,502.26,502.33,502.41,83.47
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),45718.10,44555.78,45955.20,44558.33,45740.79,45753.46,45754.95,45756.17,45757.86,45759.98,45845.06,45934.28,240.25
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.17,0.12,0.67,0.13,0.13,0.13,0.13,0.14,0.15,0.16,0.45,0.67,0.13
HTTP Total Time (ms),45718.11,44555.77,45955.18,44558.31,45741.02,45753.44,45754.93,45756.15,45757.85,45759.97,45845.29,45934.48,240.27
HTTP Waiting (TTFB) (ms),45717.91,44555.64,45955.00,44558.18,45740.35,45753.30,45754.79,45756.01,45757.70,45759.83,45844.61,45933.84,240.23
Image Latency (ms/image),45718.14,44555.82,45955.25,44558.37,45740.85,45753.50,45755.00,45756.22,45757.91,45760.02,45845.11,45934.34,240.25
Image Throughput (images/sec),0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Request Latency (ms),45718.14,44555.82,45955.25,44558.37,45740.85,45753.50,45755.00,45756.22,45757.91,45760.02,45845.11,45934.34,240.25
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,0.00

Metric,Value
Benchmark Duration (sec),593.81
Maximum Response Timestamp (ns),1777849154831149056.00
Minimum Request Timestamp (ns),1777848561022671616.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),86.22
Request Count,50.00
Request Throughput (requests/sec),0.08
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),51200.00
Total Output Tokens (tokens),51200.00
Total Token Throughput (tokens/sec),161.58
Total Usage Completion Tokens (tokens),51200.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),95950.00
