=== Unique GPU telemetry hosts for concurrency=4 ===
    568 nid008560
    568 nid008561

=== First telemetry rows ===
host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008560,2026/05/03 16:20:51.598, 0, GPU-54819be7-1194-d7c8-6144-290abb9c31bd, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 94.21, 32
nid008560,2026/05/03 16:20:51.600, 1, GPU-8050c628-f086-6a63-afa4-011f4ba35042, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 95.26, 30
nid008560,2026/05/03 16:20:51.602, 2, GPU-4602a243-1af5-6ed0-97ea-b3aadf6a0de5, NVIDIA A100-SXM4-80GB, 72163, 81920, 0, 97.57, 32
nid008560,2026/05/03 16:20:51.603, 3, GPU-9c51f41c-c484-72dc-0f00-b52442c10eed, NVIDIA A100-SXM4-80GB, 4, 81920, 0, 61.73, 28
nid008561,2026/05/03 16:20:52.542, 0, GPU-046d6a3f-5ea7-4021-4d8b-05bb51db829c, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 93.21, 32
nid008561,2026/05/03 16:20:52.545, 1, GPU-d2377047-2a9b-0334-b802-a81ee53fa3e8, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 96.70, 30
nid008561,2026/05/03 16:20:52.547, 2, GPU-cc2df889-0529-caa2-4f60-b8f58554f0d5, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 91.14, 31
nid008561,2026/05/03 16:20:52.549, 3, GPU-c25d3ace-c6ec-45a5-d035-12b4951aa97c, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 94.32, 30
nid008560,2026/05/03 16:20:55.648, 0, GPU-54819be7-1194-d7c8-6144-290abb9c31bd, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 94.43, 32
nid008560,2026/05/03 16:20:55.655, 1, GPU-8050c628-f086-6a63-afa4-011f4ba35042, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 95.37, 30
nid008560,2026/05/03 16:20:55.660, 2, GPU-4602a243-1af5-6ed0-97ea-b3aadf6a0de5, NVIDIA A100-SXM4-80GB, 72163, 81920, 0, 97.69, 32
nid008560,2026/05/03 16:20:55.668, 3, GPU-9c51f41c-c484-72dc-0f00-b52442c10eed, NVIDIA A100-SXM4-80GB, 4, 81920, 0, 61.80, 27
nid008561,2026/05/03 16:20:56.643, 0, GPU-046d6a3f-5ea7-4021-4d8b-05bb51db829c, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 93.21, 32
nid008561,2026/05/03 16:20:56.653, 1, GPU-d2377047-2a9b-0334-b802-a81ee53fa3e8, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 96.30, 30
nid008561,2026/05/03 16:20:56.659, 2, GPU-cc2df889-0529-caa2-4f60-b8f58554f0d5, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 91.14, 31
nid008561,2026/05/03 16:20:56.663, 3, GPU-c25d3ace-c6ec-45a5-d035-12b4951aa97c, NVIDIA A100-SXM4-80GB, 73685, 81920, 0, 94.32, 30
nid008560,2026/05/03 16:20:59.712, 0, GPU-54819be7-1194-d7c8-6144-290abb9c31bd, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 94.21, 32
nid008560,2026/05/03 16:20:59.714, 1, GPU-8050c628-f086-6a63-afa4-011f4ba35042, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 95.37, 30
nid008560,2026/05/03 16:20:59.715, 2, GPU-4602a243-1af5-6ed0-97ea-b3aadf6a0de5, NVIDIA A100-SXM4-80GB, 72163, 81920, 0, 97.57, 32
