Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.51,0.12
HTTP Connection Overhead (ms),0.03,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.51,0.12
HTTP Connection Reused (ratio),0.94,0.00,1.00,0.00,0.45,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),1.18,1.10,1.24,1.10,1.14,1.14,1.16,1.18,1.20,1.23,1.23,1.24,0.03
HTTP Data Sent (KB),2883.74,2270.49,4145.45,2270.51,2270.55,2270.59,2391.98,2628.99,2865.99,4145.28,4145.34,4145.43,707.53
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),31422.31,19900.02,33002.34,19901.78,30691.74,30695.31,31253.33,31722.24,32568.57,32888.46,32999.11,33000.98,2457.42
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.38,0.23,2.11,0.23,0.23,0.24,0.24,0.27,0.33,0.47,0.88,1.83,0.33
HTTP Total Time (ms),31422.33,19900.00,33002.32,19901.77,30691.98,30695.78,31253.31,31722.23,32568.56,32888.45,32999.10,33000.97,2457.41
HTTP Waiting (TTFB) (ms),31421.92,19899.67,33001.89,19901.48,30691.08,30694.46,31252.96,31721.96,32568.32,32888.18,32998.28,33000.61,2457.40
Image Latency (ms/image),31422.37,19900.07,33002.40,19901.83,30691.80,30695.38,31253.39,31722.29,32568.62,32888.50,32999.16,33001.03,2457.42
Image Throughput (images/sec),0.03,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.00
Input Sequence Length (tokens),5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Request Latency (ms),31422.37,19900.07,33002.40,19901.83,30691.80,30695.38,31253.39,31722.29,32568.62,32888.50,32999.16,33001.03,2457.42
Usage Completion Tokens (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,0.00
Usage Total Tokens (tokens),6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,0.00

Metric,Value
Benchmark Duration (sec),402.82
Maximum Response Timestamp (ns),1777851018916310272.00
Minimum Request Timestamp (ns),1777850616091372032.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),15.89
Request Count,50.00
Request Throughput (requests/sec),0.12
Total Input Sequence Length (tokens),295000.00
Total Output Sequence Length (tokens),6400.00
Total Output Tokens (tokens),6400.00
Total Token Throughput (tokens/sec),748.22
Total Usage Completion Tokens (tokens),6400.00
Total Usage Prompt Tokens (tokens),295000.00
Total Usage Total Tokens (tokens),301400.00
