=== Unique GPU telemetry hosts for concurrency=4 ===
   2280 nid008352
   2280 nid008353

=== First telemetry rows ===
host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008352,2026/05/03 16:02:58.632, 0, GPU-c8e590fe-c1df-fb38-7bf3-9ed4364cf576, NVIDIA A100-SXM4-80GB, 73933, 81920, 0, 109.81, 33
nid008352,2026/05/03 16:02:58.634, 1, GPU-5efb5c1d-1cd8-daca-bd51-2f30d62f6e1e, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 114.32, 31
nid008352,2026/05/03 16:02:58.636, 2, GPU-1d24ec01-d8bb-a3cf-73c2-7d6014d1dd4d, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 116.67, 33
nid008352,2026/05/03 16:02:58.637, 3, GPU-689a6e7c-a622-65fb-9f4d-887ba745f660, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 111.39, 31
nid008353,2026/05/03 16:02:59.470, 0, GPU-3ad85384-e7dd-8c9b-13da-56f54bf334d9, NVIDIA A100-SXM4-80GB, 74693, 81920, 0, 111.14, 33
nid008353,2026/05/03 16:02:59.473, 1, GPU-3d65dc3f-116a-1dd4-937c-6e4481a765b5, NVIDIA A100-SXM4-80GB, 74683, 81920, 0, 112.75, 31
nid008353,2026/05/03 16:02:59.474, 2, GPU-338e4806-c72e-e37a-4798-dc47c2f2de03, NVIDIA A100-SXM4-80GB, 74683, 81920, 0, 117.22, 34
nid008353,2026/05/03 16:02:59.475, 3, GPU-fec40d98-ea80-e220-a49c-31ccab4741af, NVIDIA A100-SXM4-80GB, 74683, 81920, 0, 112.74, 31
nid008352,2026/05/03 16:03:02.338, 0, GPU-c8e590fe-c1df-fb38-7bf3-9ed4364cf576, NVIDIA A100-SXM4-80GB, 73933, 81920, 0, 110.88, 33
nid008352,2026/05/03 16:03:02.342, 1, GPU-5efb5c1d-1cd8-daca-bd51-2f30d62f6e1e, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 114.17, 31
nid008352,2026/05/03 16:03:02.343, 2, GPU-1d24ec01-d8bb-a3cf-73c2-7d6014d1dd4d, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 116.57, 33
nid008352,2026/05/03 16:03:02.345, 3, GPU-689a6e7c-a622-65fb-9f4d-887ba745f660, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 111.16, 31
nid008353,2026/05/03 16:03:03.213, 0, GPU-3ad85384-e7dd-8c9b-13da-56f54bf334d9, NVIDIA A100-SXM4-80GB, 74693, 81920, 0, 111.01, 33
nid008353,2026/05/03 16:03:03.217, 1, GPU-3d65dc3f-116a-1dd4-937c-6e4481a765b5, NVIDIA A100-SXM4-80GB, 74683, 81920, 0, 112.75, 31
nid008353,2026/05/03 16:03:03.218, 2, GPU-338e4806-c72e-e37a-4798-dc47c2f2de03, NVIDIA A100-SXM4-80GB, 74683, 81920, 0, 117.22, 34
nid008353,2026/05/03 16:03:03.219, 3, GPU-fec40d98-ea80-e220-a49c-31ccab4741af, NVIDIA A100-SXM4-80GB, 74683, 81920, 0, 113.02, 31
nid008352,2026/05/03 16:03:06.124, 0, GPU-c8e590fe-c1df-fb38-7bf3-9ed4364cf576, NVIDIA A100-SXM4-80GB, 73933, 81920, 0, 109.70, 33
nid008352,2026/05/03 16:03:06.131, 1, GPU-5efb5c1d-1cd8-daca-bd51-2f30d62f6e1e, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 114.17, 31
nid008352,2026/05/03 16:03:06.137, 2, GPU-1d24ec01-d8bb-a3cf-73c2-7d6014d1dd4d, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 116.71, 33
