Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.71,0.15
HTTP Connection Overhead (ms),0.04,0.00,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.79,0.17
HTTP Connection Reused (ratio),0.94,0.00,1.00,0.00,0.45,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),1.18,1.11,1.24,1.12,1.13,1.14,1.16,1.19,1.21,1.22,1.23,1.24,0.03
HTTP Data Sent (KB),2803.49,2270.55,4145.42,2270.55,2270.58,2270.59,2270.73,2392.18,2865.95,4145.31,4145.37,4145.41,703.22
HTTP DNS Lookup (ms),0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.02
HTTP Duration (excl. conn) (ms),127136.31,120507.40,131556.62,121070.57,123333.37,123499.74,124398.56,128284.57,129528.23,129786.00,129961.19,130837.69,2716.70
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.36,0.21,2.05,0.21,0.22,0.23,0.24,0.26,0.29,0.58,0.98,1.60,0.31
HTTP Total Time (ms),127136.34,120507.38,131557.47,121070.56,123333.36,123499.72,124398.66,128284.56,129528.75,129785.99,129961.18,130838.12,2716.73
HTTP Waiting (TTFB) (ms),127135.94,120507.15,131555.48,121070.32,123333.12,123499.51,124398.14,128284.14,129527.33,129785.75,129960.87,130837.00,2716.62
Image Latency (ms/image),127136.38,120507.45,131556.69,121070.62,123333.42,123499.78,124398.61,128284.69,129528.30,129786.05,129961.25,130837.75,2716.72
Image Throughput (images/sec),0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00
Input Sequence Length (tokens),5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Request Latency (ms),127136.38,120507.45,131556.69,121070.62,123333.42,123499.78,124398.61,128284.69,129528.30,129786.05,129961.25,130837.75,2716.72
Usage Completion Tokens (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,0.00
Usage Total Tokens (tokens),6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,0.00

Metric,Value
Benchmark Duration (sec),1648.15
Maximum Response Timestamp (ns),1777851516775305216.00
Minimum Request Timestamp (ns),1777849868630247424.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),3.88
Request Count,50.00
Request Throughput (requests/sec),0.03
Total Input Sequence Length (tokens),295000.00
Total Output Sequence Length (tokens),6400.00
Total Output Tokens (tokens),6400.00
Total Token Throughput (tokens/sec),182.87
Total Usage Completion Tokens (tokens),6400.00
Total Usage Prompt Tokens (tokens),295000.00
Total Usage Total Tokens (tokens),301400.00
