Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.49,0.11
HTTP Connection Overhead (ms),0.03,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.49,0.11
HTTP Connection Reused (ratio),0.94,0.00,1.00,0.00,0.45,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),0.94,0.75,1.21,0.75,0.77,0.79,0.84,0.93,1.04,1.10,1.15,1.19,0.12
HTTP Data Sent (KB),2874.06,2270.51,4145.53,2270.53,2270.57,2270.62,2270.75,2628.98,2866.04,4145.35,4145.44,4145.49,715.02
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),33857.86,21720.80,145127.98,21721.99,24129.20,27047.89,27285.58,27666.98,27844.29,28011.47,86363.36,140016.44,26372.04
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.38,0.23,1.51,0.23,0.24,0.24,0.25,0.27,0.31,0.81,1.17,1.49,0.31
HTTP Total Time (ms),33857.87,21720.79,145127.97,21721.98,24129.19,27047.89,27285.56,27666.97,27844.28,28011.91,86363.48,140016.43,26372.04
HTTP Waiting (TTFB) (ms),33857.47,21720.47,145127.67,21721.70,24128.96,27047.61,27285.28,27666.66,27844.01,28010.65,86363.03,140016.10,26372.06
Image Latency (ms/image),33857.91,21720.85,145128.03,21722.04,24129.26,27047.95,27285.63,27667.04,27844.34,28011.54,86363.42,140016.50,26372.04
Image Throughput (images/sec),0.04,0.01,0.05,0.01,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.01
Input Sequence Length (tokens),5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Request Latency (ms),33857.91,21720.85,145128.03,21722.04,24129.26,27047.95,27285.63,27667.04,27844.34,28011.54,86363.42,140016.50,26372.04
Usage Completion Tokens (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,0.00
Usage Total Tokens (tokens),6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,0.00

Metric,Value
Benchmark Duration (sec),470.39
Maximum Response Timestamp (ns),1777877326456316928.00
Minimum Request Timestamp (ns),1777876856067301632.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),13.61
Request Count,50.00
Request Throughput (requests/sec),0.11
Total Input Sequence Length (tokens),295000.00
Total Output Sequence Length (tokens),6400.00
Total Output Tokens (tokens),6400.00
Total Token Throughput (tokens/sec),640.75
Total Usage Completion Tokens (tokens),6400.00
Total Usage Prompt Tokens (tokens),295000.00
Total Usage Total Tokens (tokens),301400.00
