host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008225,2026/05/04 00:19:45.125, 0, GPU-baade223-6883-6299-1b87-c48c53d32c2d, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 95.54, 31
nid008225,2026/05/04 00:19:45.135, 1, GPU-08cd89d1-fe1c-96bf-9720-f8b4d92156ab, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 96.53, 30
nid008225,2026/05/04 00:19:45.141, 2, GPU-035e63ff-8624-b2e0-9447-5140761bc5cf, NVIDIA A100-SXM4-80GB, 72001, 81920, 0, 93.80, 31
nid008225,2026/05/04 00:19:45.143, 3, GPU-428acb6b-9398-1f29-218d-e81317ef4d30, NVIDIA A100-SXM4-80GB, 72493, 81920, 0, 97.51, 30
nid008569,2026/05/04 00:19:46.061, 0, GPU-7b8dcc3e-7a6b-ed06-f92f-1b75b7f66c4d, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 92.05, 32
nid008569,2026/05/04 00:19:46.064, 1, GPU-a38d0ad5-b689-3842-8693-74ca661db097, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 92.71, 30
nid008569,2026/05/04 00:19:46.065, 2, GPU-0eeb185a-5ff9-a064-b944-df364d9f0525, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 96.53, 31
nid008569,2026/05/04 00:19:46.067, 3, GPU-b85332e0-5267-87ff-d66c-3ea990a45a88, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 95.07, 29
nid008225,2026/05/04 00:19:49.063, 0, GPU-baade223-6883-6299-1b87-c48c53d32c2d, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 95.43, 32
nid008225,2026/05/04 00:19:49.066, 1, GPU-08cd89d1-fe1c-96bf-9720-f8b4d92156ab, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 96.53, 30
nid008225,2026/05/04 00:19:49.067, 2, GPU-035e63ff-8624-b2e0-9447-5140761bc5cf, NVIDIA A100-SXM4-80GB, 72001, 81920, 0, 93.52, 31
nid008225,2026/05/04 00:19:49.071, 3, GPU-428acb6b-9398-1f29-218d-e81317ef4d30, NVIDIA A100-SXM4-80GB, 72493, 81920, 0, 97.75, 30
nid008569,2026/05/04 00:19:50.026, 0, GPU-7b8dcc3e-7a6b-ed06-f92f-1b75b7f66c4d, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 92.19, 32
nid008569,2026/05/04 00:19:50.028, 1, GPU-a38d0ad5-b689-3842-8693-74ca661db097, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 92.71, 30
nid008569,2026/05/04 00:19:50.030, 2, GPU-0eeb185a-5ff9-a064-b944-df364d9f0525, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 96.53, 31
nid008569,2026/05/04 00:19:50.031, 3, GPU-b85332e0-5267-87ff-d66c-3ea990a45a88, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 94.79, 29
nid008225,2026/05/04 00:19:53.112, 0, GPU-baade223-6883-6299-1b87-c48c53d32c2d, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 95.54, 32
nid008225,2026/05/04 00:19:53.114, 1, GPU-08cd89d1-fe1c-96bf-9720-f8b4d92156ab, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 96.53, 30
nid008225,2026/05/04 00:19:53.116, 2, GPU-035e63ff-8624-b2e0-9447-5140761bc5cf, NVIDIA A100-SXM4-80GB, 72001, 81920, 0, 93.52, 31
nid008225,2026/05/04 00:19:53.117, 3, GPU-428acb6b-9398-1f29-218d-e81317ef4d30, NVIDIA A100-SXM4-80GB, 72493, 81920, 0, 97.75, 30
nid008569,2026/05/04 00:19:54.038, 0, GPU-7b8dcc3e-7a6b-ed06-f92f-1b75b7f66c4d, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 92.05, 32
nid008569,2026/05/04 00:19:54.040, 1, GPU-a38d0ad5-b689-3842-8693-74ca661db097, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 92.71, 30
nid008569,2026/05/04 00:19:54.041, 2, GPU-0eeb185a-5ff9-a064-b944-df364d9f0525, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 96.65, 31
nid008569,2026/05/04 00:19:54.043, 3, GPU-b85332e0-5267-87ff-d66c-3ea990a45a88, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 94.79, 29
nid008225,2026/05/04 00:19:57.102, 0, GPU-baade223-6883-6299-1b87-c48c53d32c2d, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 95.54, 32
nid008225,2026/05/04 00:19:57.105, 1, GPU-08cd89d1-fe1c-96bf-9720-f8b4d92156ab, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 96.53, 30
nid008225,2026/05/04 00:19:57.106, 2, GPU-035e63ff-8624-b2e0-9447-5140761bc5cf, NVIDIA A100-SXM4-80GB, 72001, 81920, 0, 93.80, 31
nid008225,2026/05/04 00:19:57.108, 3, GPU-428acb6b-9398-1f29-218d-e81317ef4d30, NVIDIA A100-SXM4-80GB, 72493, 81920, 0, 97.51, 30
nid008569,2026/05/04 00:19:58.090, 0, GPU-7b8dcc3e-7a6b-ed06-f92f-1b75b7f66c4d, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 92.29, 32
nid008569,2026/05/04 00:19:58.092, 1, GPU-a38d0ad5-b689-3842-8693-74ca661db097, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 92.58, 30
nid008569,2026/05/04 00:19:58.094, 2, GPU-0eeb185a-5ff9-a064-b944-df364d9f0525, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 96.65, 31
nid008569,2026/05/04 00:19:58.095, 3, GPU-b85332e0-5267-87ff-d66c-3ea990a45a88, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 94.79, 29
nid008225,2026/05/04 00:20:01.059, 0, GPU-baade223-6883-6299-1b87-c48c53d32c2d, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 95.54, 32
nid008225,2026/05/04 00:20:01.062, 1, GPU-08cd89d1-fe1c-96bf-9720-f8b4d92156ab, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 96.53, 30
nid008225,2026/05/04 00:20:01.063, 2, GPU-035e63ff-8624-b2e0-9447-5140761bc5cf, NVIDIA A100-SXM4-80GB, 72001, 81920, 0, 93.52, 31
nid008225,2026/05/04 00:20:01.065, 3, GPU-428acb6b-9398-1f29-218d-e81317ef4d30, NVIDIA A100-SXM4-80GB, 72493, 81920, 0, 97.51, 30
nid008569,2026/05/04 00:20:02.003, 0, GPU-7b8dcc3e-7a6b-ed06-f92f-1b75b7f66c4d, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 92.19, 32
nid008569,2026/05/04 00:20:02.005, 1, GPU-a38d0ad5-b689-3842-8693-74ca661db097, NVIDIA A100-SXM4-80GB, 72467, 81920, 0, 92.71, 30
nid008569,2026/05/04 00:20:02.006, 2, GPU-0eeb185a-5ff9-a064-b944-df364d9f0525, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 96.53, 31
nid008569,2026/05/04 00:20:02.008, 3, GPU-b85332e0-5267-87ff-d66c-3ea990a45a88, NVIDIA A100-SXM4-80GB, 73087, 81920, 0, 95.07, 29
nid008225,2026/05/04 00:20:05.067, 0, GPU-baade223-6883-6299-1b87-c48c53d32c2d, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 95.78, 32
