=== Unique GPU telemetry hosts for concurrency=4 ===
    292 nid008560
    292 nid008561

=== First telemetry rows ===
host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008560,2026/05/03 15:37:51.123, 0, GPU-54819be7-1194-d7c8-6144-290abb9c31bd, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 94.26, 32
nid008560,2026/05/03 15:37:51.125, 1, GPU-8050c628-f086-6a63-afa4-011f4ba35042, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 95.31, 30
nid008560,2026/05/03 15:37:51.127, 2, GPU-4602a243-1af5-6ed0-97ea-b3aadf6a0de5, NVIDIA A100-SXM4-80GB, 0, 81920, 0, 65.54, 29
nid008560,2026/05/03 15:37:51.129, 3, GPU-9c51f41c-c484-72dc-0f00-b52442c10eed, NVIDIA A100-SXM4-80GB, 0, 81920, 0, 61.59, 27
nid008561,2026/05/03 15:37:52.088, 0, GPU-046d6a3f-5ea7-4021-4d8b-05bb51db829c, NVIDIA A100-SXM4-80GB, 73839, 81920, 0, 93.32, 32
nid008561,2026/05/03 15:37:52.090, 1, GPU-d2377047-2a9b-0334-b802-a81ee53fa3e8, NVIDIA A100-SXM4-80GB, 72673, 81920, 0, 96.53, 30
nid008561,2026/05/03 15:37:52.092, 2, GPU-cc2df889-0529-caa2-4f60-b8f58554f0d5, NVIDIA A100-SXM4-80GB, 72673, 81920, 0, 91.35, 31
nid008561,2026/05/03 15:37:52.093, 3, GPU-c25d3ace-c6ec-45a5-d035-12b4951aa97c, NVIDIA A100-SXM4-80GB, 74321, 81920, 0, 94.55, 30
nid008560,2026/05/03 15:37:55.174, 0, GPU-54819be7-1194-d7c8-6144-290abb9c31bd, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 94.15, 32
nid008560,2026/05/03 15:37:55.179, 1, GPU-8050c628-f086-6a63-afa4-011f4ba35042, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 95.20, 30
nid008560,2026/05/03 15:37:55.180, 2, GPU-4602a243-1af5-6ed0-97ea-b3aadf6a0de5, NVIDIA A100-SXM4-80GB, 0, 81920, 0, 65.82, 29
nid008560,2026/05/03 15:37:55.182, 3, GPU-9c51f41c-c484-72dc-0f00-b52442c10eed, NVIDIA A100-SXM4-80GB, 0, 81920, 0, 61.59, 27
nid008561,2026/05/03 15:37:56.089, 0, GPU-046d6a3f-5ea7-4021-4d8b-05bb51db829c, NVIDIA A100-SXM4-80GB, 73839, 81920, 0, 93.32, 32
nid008561,2026/05/03 15:37:56.095, 1, GPU-d2377047-2a9b-0334-b802-a81ee53fa3e8, NVIDIA A100-SXM4-80GB, 72673, 81920, 0, 96.42, 30
nid008561,2026/05/03 15:37:56.107, 2, GPU-cc2df889-0529-caa2-4f60-b8f58554f0d5, NVIDIA A100-SXM4-80GB, 72673, 81920, 0, 91.35, 31
nid008561,2026/05/03 15:37:56.112, 3, GPU-c25d3ace-c6ec-45a5-d035-12b4951aa97c, NVIDIA A100-SXM4-80GB, 74321, 81920, 0, 94.43, 30
nid008560,2026/05/03 15:37:59.125, 0, GPU-54819be7-1194-d7c8-6144-290abb9c31bd, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 94.15, 32
nid008560,2026/05/03 15:37:59.127, 1, GPU-8050c628-f086-6a63-afa4-011f4ba35042, NVIDIA A100-SXM4-80GB, 34769, 81920, 0, 95.20, 30
nid008560,2026/05/03 15:37:59.128, 2, GPU-4602a243-1af5-6ed0-97ea-b3aadf6a0de5, NVIDIA A100-SXM4-80GB, 0, 81920, 0, 65.54, 29
