Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.48,0.11
HTTP Connection Overhead (ms),0.03,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.48,0.11
HTTP Connection Reused (ratio),0.94,0.00,1.00,0.00,0.45,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),1.18,1.13,1.26,1.13,1.13,1.14,1.16,1.17,1.19,1.21,1.23,1.25,0.03
HTTP Data Sent (KB),2963.62,2270.52,4145.51,2270.53,2270.64,2270.68,2392.07,2865.82,3825.47,4145.36,4145.42,4145.50,733.15
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),12166.31,9160.81,13247.46,9164.89,12094.17,12127.01,12133.46,12199.13,12254.02,12688.00,12906.02,13101.59,661.51
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.33,0.23,1.85,0.23,0.23,0.24,0.24,0.25,0.29,0.32,0.82,1.38,0.26
HTTP Total Time (ms),12166.33,9160.80,13247.45,9164.88,12094.16,12127.00,12133.45,12199.12,12254.01,12688.03,12906.22,13101.58,661.54
HTTP Waiting (TTFB) (ms),12165.97,9160.54,13245.60,9164.61,12093.92,12126.63,12133.17,12198.85,12253.77,12687.68,12905.45,13100.52,661.43
Image Latency (ms/image),12166.36,9160.86,13247.51,9164.93,12094.22,12127.09,12133.51,12199.18,12254.07,12688.06,12906.08,13101.64,661.51
Image Throughput (images/sec),0.08,0.08,0.11,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.11,0.01
Input Sequence Length (tokens),5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Request Latency (ms),12166.36,9160.86,13247.51,9164.93,12094.22,12127.09,12133.51,12199.18,12254.07,12688.06,12906.08,13101.64,661.51
Usage Completion Tokens (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,0.00
Usage Total Tokens (tokens),6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,0.00

Metric,Value
Benchmark Duration (sec),156.68
Maximum Response Timestamp (ns),1777848157947699200.00
Minimum Request Timestamp (ns),1777848001265879808.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),40.85
Request Count,50.00
Request Throughput (requests/sec),0.32
Total Input Sequence Length (tokens),295000.00
Total Output Sequence Length (tokens),6400.00
Total Output Tokens (tokens),6400.00
Total Token Throughput (tokens/sec),1923.64
Total Usage Completion Tokens (tokens),6400.00
Total Usage Prompt Tokens (tokens),295000.00
Total Usage Total Tokens (tokens),301400.00
