Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),16.82,16.81,16.84,16.81,16.81,16.81,16.82,16.82,16.83,16.84,16.84,16.84,0.02
HTTP Data Sent (KB),417.17,332.06,502.27,333.77,340.57,349.08,374.62,417.17,459.72,485.25,493.76,500.57,85.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),12157.78,12090.05,12225.50,12091.41,12096.82,12103.60,12123.91,12157.78,12191.64,12211.96,12218.73,12224.15,67.73
HTTP Receiving (ms),11169.43,11062.80,11276.07,11064.93,11073.46,11084.13,11116.12,11169.43,11222.75,11254.74,11265.40,11273.93,106.63
HTTP Sending (ms),0.16,0.14,0.18,0.14,0.14,0.14,0.15,0.16,0.17,0.17,0.18,0.18,0.02
HTTP Total Time (ms),12157.78,12090.05,12225.50,12091.41,12096.82,12103.60,12123.91,12157.78,12191.64,12211.96,12218.73,12224.15,67.73
HTTP Waiting (TTFB) (ms),988.19,949.30,1027.07,950.08,953.19,957.08,968.74,988.19,1007.63,1019.30,1023.18,1026.30,38.89
Image Latency (ms/image),12157.83,12090.11,12225.56,12091.47,12096.89,12103.66,12123.97,12157.83,12191.70,12212.01,12218.78,12224.20,67.72
Image Throughput (images/sec),0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),177.29,59.28,410.44,62.41,73.86,81.08,105.68,184.32,211.66,296.21,309.06,328.36,77.39
Inter Token Latency (ms),177.29,175.60,178.99,175.63,175.77,175.94,176.45,177.29,178.14,178.65,178.82,178.95,1.69
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Count (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Throughput Per User (tokens/sec/user),5.64,5.59,5.69,5.59,5.59,5.60,5.61,5.64,5.67,5.68,5.69,5.69,0.05
Prefill Throughput Per User (tokens/sec/user),906.91,871.20,942.61,871.91,874.77,878.34,889.05,906.91,924.76,935.47,939.04,941.90,35.70
Request Latency (ms),12157.83,12090.11,12225.56,12091.47,12096.89,12103.66,12123.97,12157.83,12191.70,12212.01,12218.78,12224.20,67.72
Time to First Output Token (ms),988.40,949.49,1027.32,950.27,953.38,957.27,968.95,988.40,1007.86,1019.54,1023.43,1026.54,38.91
Time to First Token (ms),988.40,949.49,1027.32,950.27,953.38,957.27,968.95,988.40,1007.86,1019.54,1023.43,1026.54,38.91
Time to Second Token (ms),100.79,96.15,105.43,96.24,96.61,97.08,98.47,100.79,103.11,104.50,104.96,105.33,4.64
Usage Completion Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,0.00

Metric,Value
Benchmark Duration (sec),24.32
Maximum Response Timestamp (ns),1777609280166807296.00
Minimum Request Timestamp (ns),1777609255848939008.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),5.26
Request Count,2.00
Request Throughput (requests/sec),0.08
Total Input Sequence Length (tokens),1790.00
Total Output Sequence Length (tokens),128.00
Total Output Tokens (tokens),128.00
Total Token Throughput (tokens/sec),78.87
Total Usage Completion Tokens (tokens),128.00
Total Usage Prompt Tokens (tokens),1790.00
Total Usage Total Tokens (tokens),1918.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,GPU Power Usage (W),108.59,98.82,215.39,98.82,98.82,98.82,98.82,99.10,100.87,134.72,163.73,185.92,22.52,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,GPU Utilization (%),11.00,0.00,96.00,0.00,0.00,0.00,4.75,8.00,11.25,17.00,21.65,86.62,15.11,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,GPU Memory Used (GB),38.44,38.43,38.46,38.43,38.43,38.43,38.43,38.43,38.46,38.46,38.46,38.46,0.01,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,GPU Temperature (°C),36.04,36.00,38.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,37.33,0.27,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,Memory Utilization (%),3.15,0.00,6.00,0.00,0.00,0.00,3.00,3.00,4.00,6.00,6.00,6.00,1.88,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,SM Utilization (%),9.69,9.00,12.00,9.00,9.00,9.00,9.00,10.00,10.00,11.00,11.00,12.00,0.80,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,GPU Power Usage (W),114.66,104.08,182.18,104.08,104.08,104.08,104.08,104.60,115.92,138.64,168.25,179.63,19.70,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,GPU Utilization (%),10.87,0.00,100.00,0.00,0.00,3.70,5.00,8.00,12.00,17.00,20.30,82.58,14.50,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,GPU Memory Used (GB),38.38,38.36,38.39,38.36,38.36,38.36,38.36,38.38,38.39,38.39,38.39,38.39,0.01,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,GPU Temperature (°C),33.09,33.00,35.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,34.00,34.33,0.33,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,Memory Utilization (%),3.50,0.00,10.00,0.00,0.00,0.00,3.00,3.00,4.00,6.00,6.00,9.33,1.99,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,SM Utilization (%),11.06,9.00,14.00,9.00,9.00,9.00,10.00,12.00,12.00,13.00,13.00,14.00,1.53,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,Power Violation (us),0.00,,,,,,,,,,,,,localhost
