host,timestamp,gpu_index,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid001096,2026/04/30 21:20:04.141, 0, 35857, 40960, 0, 98.58, 35
nid001096,2026/04/30 21:20:04.144, 1, 35835, 40960, 0, 103.72, 33
nid001096,2026/04/30 21:20:04.146, 2, 35835, 40960, 0, 100.87, 35
nid001096,2026/04/30 21:20:04.148, 3, 35835, 40960, 0, 107.30, 32
nid001097,2026/04/30 21:20:04.982, 0, 36617, 40960, 0, 101.56, 35
nid001097,2026/04/30 21:20:04.985, 1, 36611, 40960, 0, 102.80, 33
nid001097,2026/04/30 21:20:04.990, 2, 36611, 40960, 0, 101.15, 33
nid001097,2026/04/30 21:20:04.991, 3, 36611, 40960, 0, 106.01, 33
nid001096,2026/04/30 21:20:08.017, 0, 35857, 40960, 0, 98.58, 35
nid001096,2026/04/30 21:20:08.020, 1, 35835, 40960, 0, 103.84, 33
nid001096,2026/04/30 21:20:08.022, 2, 35835, 40960, 0, 100.87, 35
nid001096,2026/04/30 21:20:08.023, 3, 35835, 40960, 0, 107.02, 32
nid001097,2026/04/30 21:20:08.870, 0, 36617, 40960, 0, 102.32, 35
nid001097,2026/04/30 21:20:08.873, 1, 36611, 40960, 0, 102.80, 33
nid001097,2026/04/30 21:20:08.874, 2, 36611, 40960, 0, 101.43, 33
nid001097,2026/04/30 21:20:08.876, 3, 36611, 40960, 0, 106.01, 33
nid001096,2026/04/30 21:20:11.774, 0, 35857, 40960, 0, 98.58, 35
nid001096,2026/04/30 21:20:11.777, 1, 35835, 40960, 0, 103.84, 33
nid001096,2026/04/30 21:20:11.778, 2, 35835, 40960, 0, 100.99, 35
nid001096,2026/04/30 21:20:11.780, 3, 35835, 40960, 0, 107.30, 32
nid001097,2026/04/30 21:20:12.689, 0, 36617, 40960, 0, 102.32, 35
nid001097,2026/04/30 21:20:12.692, 1, 36611, 40960, 0, 102.56, 33
nid001097,2026/04/30 21:20:12.694, 2, 36611, 40960, 0, 101.43, 33
nid001097,2026/04/30 21:20:12.696, 3, 36611, 40960, 0, 106.01, 33
nid001096,2026/04/30 21:20:15.697, 0, 35857, 40960, 0, 98.70, 35
nid001096,2026/04/30 21:20:15.700, 1, 35835, 40960, 0, 103.84, 33
nid001096,2026/04/30 21:20:15.702, 2, 35835, 40960, 0, 100.99, 35
nid001096,2026/04/30 21:20:15.704, 3, 35835, 40960, 0, 107.02, 32
nid001097,2026/04/30 21:20:16.615, 0, 36617, 40960, 0, 101.56, 35
nid001097,2026/04/30 21:20:16.618, 1, 36611, 40960, 0, 102.56, 33
nid001097,2026/04/30 21:20:16.620, 2, 36611, 40960, 0, 101.43, 33
nid001097,2026/04/30 21:20:16.626, 3, 36611, 40960, 0, 106.01, 33
nid001096,2026/04/30 21:20:19.536, 0, 35857, 40960, 0, 98.58, 35
nid001096,2026/04/30 21:20:19.543, 1, 35835, 40960, 0, 103.84, 33
nid001096,2026/04/30 21:20:19.546, 2, 35835, 40960, 0, 100.99, 35
nid001096,2026/04/30 21:20:19.553, 3, 35835, 40960, 0, 107.02, 32
nid001097,2026/04/30 21:20:20.440, 0, 36617, 40960, 0, 101.56, 35
nid001097,2026/04/30 21:20:20.443, 1, 36611, 40960, 0, 102.80, 33
nid001097,2026/04/30 21:20:20.445, 2, 36611, 40960, 0, 101.43, 33
nid001097,2026/04/30 21:20:20.446, 3, 36611, 40960, 0, 106.01, 33
nid001096,2026/04/30 21:20:23.426, 0, 35873, 40960, 0, 98.58, 35
nid001096,2026/04/30 21:20:23.428, 1, 35851, 40960, 0, 103.84, 33
nid001096,2026/04/30 21:20:23.430, 2, 35851, 40960, 0, 100.87, 35
nid001096,2026/04/30 21:20:23.432, 3, 35851, 40960, 0, 107.30, 32
nid001097,2026/04/30 21:20:24.369, 0, 36633, 40960, 0, 101.56, 35
nid001097,2026/04/30 21:20:24.372, 1, 36627, 40960, 0, 102.80, 33
nid001097,2026/04/30 21:20:24.374, 2, 36627, 40960, 0, 101.43, 33
nid001097,2026/04/30 21:20:24.375, 3, 36627, 40960, 0, 106.01, 33
nid001096,2026/04/30 21:20:27.412, 0, 35961, 40960, 0, 99.10, 35
nid001096,2026/04/30 21:20:27.415, 1, 35887, 40960, 0, 104.37, 33
nid001096,2026/04/30 21:20:27.417, 2, 35887, 40960, 0, 101.51, 35
nid001096,2026/04/30 21:20:27.419, 3, 35887, 40960, 0, 107.83, 32
nid001097,2026/04/30 21:20:28.477, 0, 36653, 40960, 0, 101.27, 35
nid001097,2026/04/30 21:20:28.480, 1, 36627, 40960, 0, 102.80, 33
nid001097,2026/04/30 21:20:28.481, 2, 36647, 40960, 0, 101.43, 33
nid001097,2026/04/30 21:20:28.483, 3, 36701, 40960, 0, 106.01, 33
nid001096,2026/04/30 21:20:31.368, 0, 36133, 40960, 6, 98.58, 35
nid001096,2026/04/30 21:20:31.374, 1, 36069, 40960, 5, 103.84, 33
nid001096,2026/04/30 21:20:31.380, 2, 36069, 40960, 14, 101.27, 35
nid001096,2026/04/30 21:20:31.385, 3, 36069, 40960, 9, 107.30, 32
nid001097,2026/04/30 21:20:32.249, 0, 36839, 40960, 29, 101.80, 36
nid001097,2026/04/30 21:20:32.252, 1, 36833, 40960, 27, 103.04, 33
nid001097,2026/04/30 21:20:32.253, 2, 36833, 40960, 17, 109.09, 34
nid001097,2026/04/30 21:20:32.255, 3, 36833, 40960, 20, 150.73, 34
nid001096,2026/04/30 21:20:35.226, 0, 36133, 40960, 12, 101.68, 36
nid001096,2026/04/30 21:20:35.229, 1, 36069, 40960, 7, 104.37, 33
nid001096,2026/04/30 21:20:35.231, 2, 36069, 40960, 10, 101.92, 35
nid001096,2026/04/30 21:20:35.233, 3, 36069, 40960, 11, 110.11, 33
nid001097,2026/04/30 21:20:36.112, 0, 36839, 40960, 64, 102.04, 36
nid001097,2026/04/30 21:20:36.115, 1, 36833, 40960, 13, 103.33, 34
nid001097,2026/04/30 21:20:36.117, 2, 36833, 40960, 21, 127.33, 34
nid001097,2026/04/30 21:20:36.118, 3, 36833, 40960, 30, 106.54, 33
nid001096,2026/04/30 21:20:39.127, 0, 36133, 40960, 14, 99.10, 36
nid001096,2026/04/30 21:20:39.130, 1, 36069, 40960, 16, 104.08, 33
nid001096,2026/04/30 21:20:39.132, 2, 36069, 40960, 24, 110.11, 36
nid001096,2026/04/30 21:20:39.134, 3, 36069, 40960, 4, 107.54, 33
nid001097,2026/04/30 21:20:39.989, 0, 36839, 40960, 15, 101.80, 36
nid001097,2026/04/30 21:20:39.993, 1, 36833, 40960, 20, 103.04, 34
nid001097,2026/04/30 21:20:39.995, 2, 36833, 40960, 11, 101.92, 34
nid001097,2026/04/30 21:20:39.997, 3, 36833, 40960, 5, 106.54, 33
nid001096,2026/04/30 21:20:42.993, 0, 36133, 40960, 15, 98.82, 36
nid001096,2026/04/30 21:20:42.996, 1, 36069, 40960, 21, 103.84, 33
nid001096,2026/04/30 21:20:42.997, 2, 36069, 40960, 9, 120.88, 35
