Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),16.86,16.85,16.87,16.85,16.85,16.85,16.86,16.86,16.87,16.87,16.87,16.87,0.01
HTTP Data Sent (KB),325.34,318.46,332.22,318.59,319.14,319.83,321.90,325.34,328.78,330.85,331.53,332.08,6.88
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),11753.44,11160.39,12346.50,11172.25,11219.69,11279.00,11456.92,11753.44,12049.97,12227.89,12287.20,12334.64,593.06
HTTP Receiving (ms),10869.64,10291.42,11447.85,10302.99,10349.24,10407.07,10580.53,10869.64,11158.75,11332.21,11390.03,11436.29,578.22
HTTP Sending (ms),0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.00
HTTP Total Time (ms),11753.44,11160.39,12346.50,11172.25,11219.69,11279.00,11456.92,11753.44,12049.97,12227.89,12287.20,12334.64,593.06
HTTP Waiting (TTFB) (ms),883.66,868.82,898.51,869.12,870.30,871.79,876.24,883.66,891.09,895.54,897.02,898.21,14.84
Image Latency (ms/image),11753.50,11160.44,12346.56,11172.30,11219.75,11279.05,11456.97,11753.50,12050.03,12227.95,12287.25,12334.70,593.06
Image Throughput (images/sec),0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),172.53,66.74,307.33,69.09,77.80,81.98,103.20,175.87,207.96,302.76,303.87,306.34,74.51
Inter Token Latency (ms),172.53,163.36,181.71,163.54,164.27,165.19,167.94,172.53,177.12,179.88,180.79,181.53,9.18
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Count (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Throughput Per User (tokens/sec/user),5.81,5.50,6.12,5.51,5.53,5.57,5.66,5.81,5.97,6.06,6.09,6.12,0.31
Prefill Throughput Per User (tokens/sec/user),1012.88,995.87,1029.89,996.21,997.57,999.27,1004.38,1012.88,1021.39,1026.49,1028.19,1029.55,17.01
Request Latency (ms),11753.50,11160.44,12346.56,11172.30,11219.75,11279.05,11456.97,11753.50,12050.03,12227.95,12287.25,12334.70,593.06
Time to First Output Token (ms),883.87,869.02,898.71,869.32,870.51,871.99,876.44,883.87,891.29,895.74,897.23,898.41,14.84
Time to First Token (ms),883.87,869.02,898.71,869.32,870.51,871.99,876.44,883.87,891.29,895.74,897.23,898.41,14.84
Time to Second Token (ms),138.83,71.20,206.46,72.56,77.97,84.73,105.02,138.83,172.65,192.94,199.70,205.11,67.63
Usage Completion Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,0.00

Metric,Value
Benchmark Duration (sec),23.51
Maximum Response Timestamp (ns),1777610331260122624.00
Minimum Request Timestamp (ns),1777610307750923008.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),5.44
Request Count,2.00
Request Throughput (requests/sec),0.09
Total Input Sequence Length (tokens),1790.00
Total Output Sequence Length (tokens),128.00
Total Output Tokens (tokens),128.00
Total Token Throughput (tokens/sec),81.59
Total Usage Completion Tokens (tokens),128.00
Total Usage Prompt Tokens (tokens),1790.00
Total Usage Total Tokens (tokens),1918.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,GPU Power Usage (W),106.49,98.82,178.37,98.82,98.82,98.82,98.82,99.10,103.06,128.14,147.87,172.52,17.21,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,GPU Utilization (%),11.42,0.00,72.00,0.00,0.00,0.50,5.00,9.50,13.75,18.00,22.75,70.70,12.27,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,GPU Memory Used (GB),38.46,38.46,38.46,38.46,38.46,38.46,38.46,38.46,38.46,38.46,38.46,38.46,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,GPU Temperature (°C),36.03,36.00,37.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,37.00,0.17,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,Memory Utilization (%),3.30,0.00,6.00,0.00,0.00,0.00,3.00,3.00,4.00,6.00,6.00,6.00,1.88,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,SM Utilization (%),9.95,9.00,12.00,9.00,9.00,9.00,10.00,10.00,10.00,11.00,11.00,12.00,0.67,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-957bb8c6-2c79-d69c-b65f-ae8446a3b526,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,GPU Power Usage (W),113.91,103.84,183.22,103.84,103.84,103.84,104.08,104.23,110.42,138.70,169.48,180.41,20.19,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,GPU Utilization (%),11.85,0.00,100.00,0.00,0.00,0.00,6.00,8.50,13.00,20.50,25.50,87.00,15.59,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,GPU Memory Used (GB),38.39,38.39,38.39,38.39,38.39,38.39,38.39,38.39,38.39,38.39,38.39,38.39,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,GPU Temperature (°C),33.03,33.00,34.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,34.00,0.17,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,Memory Utilization (%),3.41,0.00,10.00,0.00,0.00,0.00,3.00,3.00,4.00,6.00,6.00,10.00,2.13,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,SM Utilization (%),10.88,10.00,13.00,10.00,10.00,10.00,10.00,11.00,11.00,12.50,13.00,13.00,0.94,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b099cd57-a467-2ade-cb59-10606b6f01db,Power Violation (us),0.00,,,,,,,,,,,,,localhost
