Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.10,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.10,0.40,0.41,0.41,0.18
HTTP Connection Overhead (ms),0.10,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.10,0.40,0.41,0.41,0.18
HTTP Connection Reused (ratio),0.75,0.00,1.00,0.00,0.00,0.00,0.75,1.00,1.00,1.00,1.00,1.00,0.43
HTTP Data Received (KB),0.89,0.85,0.92,0.85,0.85,0.86,0.88,0.89,0.89,0.90,0.91,0.91,0.02
HTTP Data Sent (KB),326.56,282.99,502.24,283.01,283.06,283.12,283.18,318.44,332.16,332.41,408.85,483.56,56.82
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),10156.58,9944.91,10390.36,9949.09,9965.81,9988.67,10040.57,10084.14,10380.76,10384.71,10387.26,10389.74,166.37
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.26,0.13,0.60,0.13,0.13,0.13,0.14,0.16,0.28,0.58,0.59,0.59,0.19
HTTP Total Time (ms),10156.67,9944.90,10390.33,9949.13,9966.02,9989.06,10040.96,10084.12,10380.75,10384.70,10387.24,10389.71,166.29
HTTP Waiting (TTFB) (ms),10156.31,9944.75,10390.20,9948.88,9965.41,9988.07,10039.97,10083.96,10380.62,10384.56,10387.10,10389.58,166.47
Image Latency (ms/image),10156.63,9944.97,10390.40,9949.15,9965.87,9988.73,10040.63,10084.18,10380.80,10384.76,10387.30,10389.78,166.37
Image Throughput (images/sec),0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Count (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Request Latency (ms),10156.63,9944.97,10390.40,9949.15,9965.87,9988.73,10040.63,10084.18,10380.80,10384.76,10387.30,10389.78,166.37
Usage Completion Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,0.00

Metric,Value
Benchmark Duration (sec),30.52
Maximum Response Timestamp (ns),1777711433558636800.00
Minimum Request Timestamp (ns),1777711403043444736.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),25.17
Request Count,12.00
Request Throughput (requests/sec),0.39
Total Input Sequence Length (tokens),10740.00
Total Output Sequence Length (tokens),768.00
Total Output Tokens (tokens),768.00
Total Token Throughput (tokens/sec),377.12
Total Usage Completion Tokens (tokens),768.00
Total Usage Prompt Tokens (tokens),10740.00
Total Usage Total Tokens (tokens),11508.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-1142dc10-04e1-8104-b58f-6e9c4e3ad695,GPU Power Usage (W),129.62,105.24,254.51,105.48,105.91,106.29,107.28,114.25,146.59,169.12,180.99,204.57,29.04,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-1142dc10-04e1-8104-b58f-6e9c4e3ad695,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-1142dc10-04e1-8104-b58f-6e9c4e3ad695,GPU Utilization (%),38.10,9.00,100.00,11.55,14.00,15.50,21.00,27.00,40.00,100.00,100.00,100.00,27.62,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-1142dc10-04e1-8104-b58f-6e9c4e3ad695,GPU Memory Used (GB),39.47,39.33,39.48,39.33,39.48,39.48,39.48,39.48,39.48,39.48,39.48,39.48,0.03,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-1142dc10-04e1-8104-b58f-6e9c4e3ad695,GPU Temperature (°C),37.73,36.00,41.00,36.85,37.00,37.00,37.00,38.00,38.00,38.00,38.75,39.30,0.68,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-1142dc10-04e1-8104-b58f-6e9c4e3ad695,Memory Utilization (%),8.85,0.00,17.00,0.00,1.25,3.00,6.00,10.00,12.75,13.00,13.00,16.15,3.97,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-1142dc10-04e1-8104-b58f-6e9c4e3ad695,SM Utilization (%),32.28,10.00,44.00,10.85,16.75,20.00,25.25,34.00,39.75,43.00,43.00,44.00,8.76,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-1142dc10-04e1-8104-b58f-6e9c4e3ad695,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-1142dc10-04e1-8104-b58f-6e9c4e3ad695,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-1142dc10-04e1-8104-b58f-6e9c4e3ad695,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-1142dc10-04e1-8104-b58f-6e9c4e3ad695,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-609dad44-ba7d-bab2-0915-e9b0b033ff14,GPU Power Usage (W),123.81,106.16,207.50,106.16,106.22,106.40,107.68,113.16,132.98,153.93,169.81,189.75,22.50,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-609dad44-ba7d-bab2-0915-e9b0b033ff14,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-609dad44-ba7d-bab2-0915-e9b0b033ff14,GPU Utilization (%),39.64,0.00,100.00,9.35,14.25,17.00,21.25,27.00,38.75,100.00,100.00,100.00,29.66,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-609dad44-ba7d-bab2-0915-e9b0b033ff14,GPU Memory Used (GB),39.41,39.26,39.41,39.26,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,0.03,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-609dad44-ba7d-bab2-0915-e9b0b033ff14,GPU Temperature (°C),34.08,33.00,37.00,33.00,34.00,34.00,34.00,34.00,34.00,34.00,35.00,36.15,0.51,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-609dad44-ba7d-bab2-0915-e9b0b033ff14,Memory Utilization (%),8.80,0.00,14.00,0.00,0.00,2.00,7.00,10.00,11.75,13.00,13.00,13.15,3.99,localhost
