Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.43,0.47,0.16
HTTP Connection Overhead (ms),0.07,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.43,0.47,0.16
HTTP Connection Reused (ratio),0.83,0.00,1.00,0.00,0.00,0.10,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),0.88,0.85,0.92,0.85,0.86,0.86,0.87,0.88,0.89,0.90,0.91,0.92,0.02
HTTP Data Sent (KB),384.27,318.23,502.39,318.25,318.32,318.39,318.44,332.22,502.05,502.28,502.33,502.38,83.60
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4729.40,4638.85,4922.10,4638.90,4639.10,4639.32,4639.80,4650.60,4864.83,4912.06,4916.61,4921.00,121.06
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.23,0.13,0.66,0.13,0.13,0.13,0.15,0.16,0.17,0.56,0.63,0.66,0.18
HTTP Total Time (ms),4729.47,4638.84,4922.49,4638.89,4639.08,4639.30,4639.79,4650.59,4864.82,4912.48,4917.04,4921.40,121.17
HTTP Waiting (TTFB) (ms),4729.16,4638.69,4921.50,4638.74,4638.92,4639.14,4639.64,4650.45,4864.65,4911.47,4915.99,4920.39,120.94
Image Latency (ms/image),4729.46,4638.90,4922.17,4638.95,4639.15,4639.38,4639.85,4650.64,4864.88,4912.14,4916.68,4921.07,121.07
Image Throughput (images/sec),0.21,0.20,0.22,0.20,0.20,0.20,0.21,0.22,0.22,0.22,0.22,0.22,0.01
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Count (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Request Latency (ms),4729.46,4638.90,4922.17,4638.95,4639.15,4639.38,4639.85,4650.64,4864.88,4912.14,4916.68,4921.07,121.07
Usage Completion Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,0.00

Metric,Value
Benchmark Duration (sec),14.21
Maximum Response Timestamp (ns),1777712228219282688.00
Minimum Request Timestamp (ns),1777712214004754688.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),54.03
Request Count,12.00
Request Throughput (requests/sec),0.84
Total Input Sequence Length (tokens),10740.00
Total Output Sequence Length (tokens),768.00
Total Output Tokens (tokens),768.00
Total Token Throughput (tokens/sec),809.59
Total Usage Completion Tokens (tokens),768.00
Total Usage Prompt Tokens (tokens),10740.00
Total Usage Total Tokens (tokens),11508.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
