host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid001080,2026/05/01 15:49:26.070, 0, GPU-f31deb06-6e43-f718-2660-1b6122d1bb93, NVIDIA A100-SXM4-40GB, 36689, 40960, 0, 79.86, 33
nid001080,2026/05/01 15:49:26.073, 1, GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 105.49, 33
nid001080,2026/05/01 15:49:26.086, 2, GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 103.72, 35
nid001080,2026/05/01 15:49:26.091, 3, GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 104.48, 34
nid001081,2026/05/01 15:49:26.945, 0, GPU-16c5d510-467e-8847-d770-cb7092f31ee0, NVIDIA A100-SXM4-40GB, 37449, 40960, 0, 79.90, 33
nid001081,2026/05/01 15:49:26.948, 1, GPU-1556f689-2d43-e336-d716-571c025ad401, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 80.29, 30
nid001081,2026/05/01 15:49:26.950, 2, GPU-f8eca212-66dd-d88c-4e21-9e88a9b81131, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 80.14, 32
nid001081,2026/05/01 15:49:26.951, 3, GPU-df257b95-b031-54b1-c559-5dbe345c6ee1, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 80.48, 31
nid001080,2026/05/01 15:49:29.875, 0, GPU-f31deb06-6e43-f718-2660-1b6122d1bb93, NVIDIA A100-SXM4-40GB, 36689, 40960, 0, 79.86, 33
nid001080,2026/05/01 15:49:29.878, 1, GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 105.49, 33
nid001080,2026/05/01 15:49:29.880, 2, GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 104.24, 35
nid001080,2026/05/01 15:49:29.882, 3, GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 104.48, 34
nid001081,2026/05/01 15:49:30.702, 0, GPU-16c5d510-467e-8847-d770-cb7092f31ee0, NVIDIA A100-SXM4-40GB, 37449, 40960, 0, 80.14, 33
nid001081,2026/05/01 15:49:30.704, 1, GPU-1556f689-2d43-e336-d716-571c025ad401, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 79.95, 30
nid001081,2026/05/01 15:49:30.706, 2, GPU-f8eca212-66dd-d88c-4e21-9e88a9b81131, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 80.14, 32
nid001081,2026/05/01 15:49:30.708, 3, GPU-df257b95-b031-54b1-c559-5dbe345c6ee1, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 80.38, 31
nid001080,2026/05/01 15:49:33.583, 0, GPU-f31deb06-6e43-f718-2660-1b6122d1bb93, NVIDIA A100-SXM4-40GB, 36689, 40960, 0, 79.86, 33
nid001080,2026/05/01 15:49:33.586, 1, GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 105.49, 33
nid001080,2026/05/01 15:49:33.588, 2, GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 104.72, 36
nid001080,2026/05/01 15:49:33.589, 3, GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 104.48, 34
nid001081,2026/05/01 15:49:34.452, 0, GPU-16c5d510-467e-8847-d770-cb7092f31ee0, NVIDIA A100-SXM4-40GB, 37449, 40960, 0, 80.14, 33
nid001081,2026/05/01 15:49:34.454, 1, GPU-1556f689-2d43-e336-d716-571c025ad401, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 80.29, 30
nid001081,2026/05/01 15:49:34.456, 2, GPU-f8eca212-66dd-d88c-4e21-9e88a9b81131, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 80.14, 32
nid001081,2026/05/01 15:49:34.457, 3, GPU-df257b95-b031-54b1-c559-5dbe345c6ee1, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 80.38, 31
nid001080,2026/05/01 15:49:37.337, 0, GPU-f31deb06-6e43-f718-2660-1b6122d1bb93, NVIDIA A100-SXM4-40GB, 36689, 40960, 0, 79.86, 33
nid001080,2026/05/01 15:49:37.340, 1, GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 105.49, 33
nid001080,2026/05/01 15:49:37.342, 2, GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 103.60, 35
nid001080,2026/05/01 15:49:37.344, 3, GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 104.48, 34
nid001081,2026/05/01 15:49:38.185, 0, GPU-16c5d510-467e-8847-d770-cb7092f31ee0, NVIDIA A100-SXM4-40GB, 37449, 40960, 0, 80.04, 33
nid001081,2026/05/01 15:49:38.187, 1, GPU-1556f689-2d43-e336-d716-571c025ad401, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 79.95, 30
nid001081,2026/05/01 15:49:38.189, 2, GPU-f8eca212-66dd-d88c-4e21-9e88a9b81131, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 80.14, 32
nid001081,2026/05/01 15:49:38.191, 3, GPU-df257b95-b031-54b1-c559-5dbe345c6ee1, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 80.38, 31
nid001080,2026/05/01 15:49:41.053, 0, GPU-f31deb06-6e43-f718-2660-1b6122d1bb93, NVIDIA A100-SXM4-40GB, 36689, 40960, 0, 79.76, 33
nid001080,2026/05/01 15:49:41.060, 1, GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 105.49, 33
nid001080,2026/05/01 15:49:41.061, 2, GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 104.59, 36
nid001080,2026/05/01 15:49:41.063, 3, GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 104.72, 34
nid001081,2026/05/01 15:49:41.880, 0, GPU-16c5d510-467e-8847-d770-cb7092f31ee0, NVIDIA A100-SXM4-40GB, 37449, 40960, 0, 80.04, 33
nid001081,2026/05/01 15:49:41.883, 1, GPU-1556f689-2d43-e336-d716-571c025ad401, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 79.95, 30
nid001081,2026/05/01 15:49:41.885, 2, GPU-f8eca212-66dd-d88c-4e21-9e88a9b81131, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 80.14, 32
nid001081,2026/05/01 15:49:41.886, 3, GPU-df257b95-b031-54b1-c559-5dbe345c6ee1, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 80.38, 31
nid001080,2026/05/01 15:49:44.807, 0, GPU-f31deb06-6e43-f718-2660-1b6122d1bb93, NVIDIA A100-SXM4-40GB, 36689, 40960, 0, 79.86, 33
nid001080,2026/05/01 15:49:44.810, 1, GPU-814ec1ba-7b95-6d88-a728-c1be5a95ce66, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 105.49, 33
nid001080,2026/05/01 15:49:44.812, 2, GPU-5d9e712f-7262-595e-ea9d-f0b232071fe5, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 103.72, 35
nid001080,2026/05/01 15:49:44.814, 3, GPU-9fc7c0b6-bf99-6ae4-bcd2-b20dfb80ce90, NVIDIA A100-SXM4-40GB, 36669, 40960, 0, 104.48, 34
nid001081,2026/05/01 15:49:45.714, 0, GPU-16c5d510-467e-8847-d770-cb7092f31ee0, NVIDIA A100-SXM4-40GB, 37449, 40960, 0, 80.14, 33
nid001081,2026/05/01 15:49:45.717, 1, GPU-1556f689-2d43-e336-d716-571c025ad401, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 79.95, 30
nid001081,2026/05/01 15:49:45.718, 2, GPU-f8eca212-66dd-d88c-4e21-9e88a9b81131, NVIDIA A100-SXM4-40GB, 37443, 40960, 0, 80.14, 32
