=== Unique GPU telemetry hosts for concurrency=4 ===
     44 nid008432

=== First telemetry rows ===
host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008432,2026/05/04 12:40:17.301, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.86, 32
nid008432,2026/05/04 12:40:17.305, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 92.25, 30
nid008432,2026/05/04 12:40:17.306, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 96.01, 32
nid008432,2026/05/04 12:40:17.308, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.97, 30
nid008432,2026/05/04 12:40:20.291, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.97, 32
nid008432,2026/05/04 12:40:20.301, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 92.36, 30
nid008432,2026/05/04 12:40:20.308, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 95.88, 32
nid008432,2026/05/04 12:40:20.313, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 95.09, 31
nid008432,2026/05/04 12:40:23.290, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.86, 32
nid008432,2026/05/04 12:40:23.293, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 92.25, 30
nid008432,2026/05/04 12:40:23.295, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 96.12, 33
nid008432,2026/05/04 12:40:23.300, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.97, 31
nid008432,2026/05/04 12:40:26.274, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.97, 32
nid008432,2026/05/04 12:40:26.277, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 92.36, 30
nid008432,2026/05/04 12:40:26.279, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 96.12, 33
nid008432,2026/05/04 12:40:26.280, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 95.09, 31
nid008432,2026/05/04 12:40:29.239, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.97, 32
nid008432,2026/05/04 12:40:29.241, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 92.36, 30
nid008432,2026/05/04 12:40:29.243, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 95.88, 33
