Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),0.90,0.87,0.96,0.87,0.87,0.88,0.89,0.90,0.91,0.93,0.94,0.96,0.02
HTTP Data Sent (KB),351.44,282.98,502.39,282.98,283.05,283.09,318.34,318.50,332.34,502.26,502.35,502.38,77.24
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),389.21,345.91,484.80,346.35,375.11,377.59,378.53,382.86,386.66,400.82,464.27,476.89,25.87
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.14,0.10,0.29,0.10,0.11,0.11,0.13,0.14,0.15,0.16,0.18,0.26,0.03
HTTP Total Time (ms),389.20,345.91,484.78,346.34,375.10,377.58,378.50,382.85,386.65,400.81,464.26,476.88,25.87
HTTP Waiting (TTFB) (ms),389.06,345.80,484.50,346.22,374.97,377.44,378.36,382.71,386.51,400.67,464.08,476.62,25.85
Image Latency (ms/image),389.25,345.96,484.90,346.39,375.16,377.63,378.58,382.90,386.71,400.86,464.33,476.98,25.88
Image Throughput (images/sec),2.58,2.06,2.89,2.10,2.15,2.49,2.59,2.61,2.64,2.65,2.67,2.89,0.15
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Count (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Request Latency (ms),389.25,345.96,484.90,346.39,375.16,377.63,378.58,382.90,386.71,400.86,464.33,476.98,25.88
Usage Completion Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,0.00

Metric,Value
Benchmark Duration (sec),5.05
Maximum Response Timestamp (ns),1777923645422329600.00
Minimum Request Timestamp (ns),1777923640368953344.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),633.24
Request Count,50.00
Request Throughput (requests/sec),9.89
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),3200.00
Total Output Tokens (tokens),3200.00
Total Token Throughput (tokens/sec),9488.71
Total Usage Completion Tokens (tokens),3200.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),47950.00
