=== Unique GPU telemetry hosts for concurrency=4 ===
     92 nid008432

=== First telemetry rows ===
host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008432,2026/05/04 13:20:34.595, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 96.59, 32
nid008432,2026/05/04 13:20:34.597, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:20:34.599, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.26, 32
nid008432,2026/05/04 13:20:34.600, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 95.09, 31
nid008432,2026/05/04 13:20:37.612, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 96.83, 32
nid008432,2026/05/04 13:20:37.614, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:20:37.615, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.26, 32
nid008432,2026/05/04 13:20:37.616, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 95.09, 31
nid008432,2026/05/04 13:20:40.637, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 96.83, 32
nid008432,2026/05/04 13:20:40.639, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:20:40.641, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.26, 32
nid008432,2026/05/04 13:20:40.642, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 95.09, 31
nid008432,2026/05/04 13:20:43.658, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 96.72, 32
nid008432,2026/05/04 13:20:43.663, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.25, 30
nid008432,2026/05/04 13:20:43.664, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.26, 32
nid008432,2026/05/04 13:20:43.666, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.97, 31
nid008432,2026/05/04 13:20:46.714, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 96.83, 32
nid008432,2026/05/04 13:20:46.716, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:20:46.718, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.26, 32
