Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.06
HTTP Connection Overhead (ms),0.01,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.06
HTTP Connection Reused (ratio),0.98,0.00,1.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),0.90,0.88,0.93,0.88,0.89,0.89,0.90,0.91,0.91,0.92,0.92,0.93,0.01
HTTP Data Sent (KB),349.61,282.84,502.50,282.91,283.01,283.05,283.19,318.42,332.31,502.22,502.34,502.46,83.21
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2263.11,1753.35,3584.13,1766.61,1787.34,1821.50,2057.86,2237.32,2310.04,2386.65,3482.68,3583.68,418.62
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.16,0.11,0.67,0.11,0.11,0.12,0.13,0.15,0.18,0.19,0.20,0.45,0.08
HTTP Total Time (ms),2263.11,1753.34,3584.57,1766.60,1787.32,1821.48,2057.85,2237.31,2310.03,2386.64,3482.67,3583.89,418.64
HTTP Waiting (TTFB) (ms),2262.93,1753.22,3583.45,1766.44,1787.18,1821.35,2057.71,2237.16,2309.89,2386.51,3482.45,3583.23,418.57
Image Latency (ms/image),2263.16,1753.39,3584.20,1766.66,1787.41,1821.55,2057.91,2237.36,2310.09,2386.70,3482.75,3583.74,418.62
Image Throughput (images/sec),0.45,0.28,0.57,0.28,0.29,0.42,0.43,0.45,0.49,0.55,0.56,0.57,0.07
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Count (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Request Latency (ms),2263.16,1753.39,3584.20,1766.66,1787.41,1821.55,2057.91,2237.36,2310.09,2386.70,3482.75,3583.74,418.62
Usage Completion Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,0.00

Metric,Value
Benchmark Duration (sec),28.70
Maximum Response Timestamp (ns),1777926100188407808.00
Minimum Request Timestamp (ns),1777926071488041984.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),111.50
Request Count,50.00
Request Throughput (requests/sec),1.74
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),3200.00
Total Output Tokens (tokens),3200.00
Total Token Throughput (tokens/sec),1670.71
Total Usage Completion Tokens (tokens),3200.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),47950.00
