host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008500,2026/05/04 13:06:49.854, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 95.37, 32
nid008500,2026/05/04 13:06:49.856, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.05, 30
nid008500,2026/05/04 13:06:49.858, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 90.54, 32
nid008500,2026/05/04 13:06:49.859, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 92.71, 30
nid008500,2026/05/04 13:06:52.876, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 95.37, 32
nid008500,2026/05/04 13:06:52.878, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.05, 30
nid008500,2026/05/04 13:06:52.880, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 90.72, 32
nid008500,2026/05/04 13:06:52.884, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 92.71, 30
nid008500,2026/05/04 13:06:55.887, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 95.26, 32
nid008500,2026/05/04 13:06:55.890, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.29, 30
nid008500,2026/05/04 13:06:55.891, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 90.72, 32
nid008500,2026/05/04 13:06:55.893, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 92.99, 30
nid008500,2026/05/04 13:06:58.930, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 95.54, 32
nid008500,2026/05/04 13:06:58.933, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.05, 30
nid008500,2026/05/04 13:06:58.934, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 90.72, 32
nid008500,2026/05/04 13:06:58.935, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 92.99, 30
nid008500,2026/05/04 13:07:01.927, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 95.65, 32
nid008500,2026/05/04 13:07:01.929, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.05, 30
nid008500,2026/05/04 13:07:01.931, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 90.72, 32
nid008500,2026/05/04 13:07:01.932, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 92.71, 30
nid008500,2026/05/04 13:07:04.949, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 95.37, 32
nid008500,2026/05/04 13:07:04.951, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.05, 30
nid008500,2026/05/04 13:07:04.953, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 90.72, 32
nid008500,2026/05/04 13:07:04.954, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 92.71, 30
nid008500,2026/05/04 13:07:07.961, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 95.26, 32
nid008500,2026/05/04 13:07:07.963, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.16, 30
