Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),0.90,0.85,0.96,0.86,0.88,0.88,0.89,0.90,0.91,0.92,0.92,0.95,0.02
HTTP Data Sent (KB),364.31,282.89,502.51,282.93,283.10,283.12,292.04,332.10,502.11,502.29,502.35,502.45,87.93
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),911.17,801.04,1093.92,801.89,875.42,883.35,891.64,901.28,917.89,932.36,1039.54,1083.00,50.76
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.13,0.11,0.20,0.11,0.11,0.11,0.12,0.13,0.14,0.15,0.17,0.19,0.02
HTTP Total Time (ms),911.16,801.03,1093.91,801.88,875.41,883.34,891.63,901.27,917.88,932.35,1039.53,1082.98,50.76
HTTP Waiting (TTFB) (ms),911.02,800.90,1093.76,801.75,875.28,883.19,891.50,901.16,917.75,932.20,1039.35,1082.81,50.75
Image Latency (ms/image),911.21,801.09,1093.97,801.93,875.46,883.39,891.69,901.32,917.93,932.41,1039.60,1083.06,50.76
Image Throughput (images/sec),1.10,0.91,1.25,0.92,0.96,1.07,1.09,1.11,1.12,1.13,1.14,1.25,0.06
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Count (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Request Latency (ms),911.21,801.09,1093.97,801.93,875.46,883.39,891.69,901.32,917.93,932.41,1039.60,1083.06,50.76
Usage Completion Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,0.00

Metric,Value
Benchmark Duration (sec),11.81
Maximum Response Timestamp (ns),1777925247417475840.00
Minimum Request Timestamp (ns),1777925235608497408.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),270.98
Request Count,50.00
Request Throughput (requests/sec),4.23
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),3200.00
Total Output Tokens (tokens),3200.00
Total Token Throughput (tokens/sec),4060.47
Total Usage Completion Tokens (tokens),3200.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),47950.00
