=== Unique GPU telemetry hosts for concurrency=4 ===
     76 nid008432

=== First telemetry rows ===
host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008432,2026/05/04 12:51:34.584, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 96.59, 31
nid008432,2026/05/04 12:51:34.587, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 92.08, 30
nid008432,2026/05/04 12:51:34.588, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.14, 32
nid008432,2026/05/04 12:51:34.590, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.85, 30
nid008432,2026/05/04 12:51:37.581, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 96.47, 31
nid008432,2026/05/04 12:51:37.584, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 92.08, 30
nid008432,2026/05/04 12:51:37.586, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.02, 32
nid008432,2026/05/04 12:51:37.587, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.74, 30
nid008432,2026/05/04 12:51:40.553, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 96.59, 31
nid008432,2026/05/04 12:51:40.558, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 92.08, 30
nid008432,2026/05/04 12:51:40.560, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.02, 32
nid008432,2026/05/04 12:51:40.562, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.85, 30
nid008432,2026/05/04 12:51:43.564, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 96.47, 31
nid008432,2026/05/04 12:51:43.567, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 92.25, 30
nid008432,2026/05/04 12:51:43.569, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.02, 32
nid008432,2026/05/04 12:51:43.571, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.74, 30
nid008432,2026/05/04 12:51:46.565, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 96.47, 31
nid008432,2026/05/04 12:51:46.568, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 92.08, 30
nid008432,2026/05/04 12:51:46.569, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 73709, 81920, 0, 94.02, 32
