Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.13,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.33,0.45,0.45,0.46,0.20
HTTP Connection Overhead (ms),0.13,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.33,0.45,0.45,0.46,0.20
HTTP Connection Reused (ratio),0.70,0.00,1.00,0.00,0.00,0.00,0.25,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),4.18,2.81,5.82,2.81,2.83,2.85,2.90,4.03,5.42,5.63,5.73,5.80,1.26
HTTP Data Sent (KB),331.78,283.05,502.40,283.06,283.11,283.17,292.05,325.33,332.21,349.39,425.90,487.10,60.46
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4784.48,4744.82,4844.47,4744.92,4745.32,4745.81,4753.65,4755.41,4831.05,4834.89,4839.68,4843.52,40.80
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.31,0.14,0.67,0.14,0.14,0.14,0.15,0.15,0.54,0.67,0.67,0.67,0.23
HTTP Total Time (ms),4784.60,4744.81,4844.92,4744.91,4745.31,4745.81,4753.64,4755.40,4831.35,4835.32,4840.12,4843.96,40.97
HTTP Waiting (TTFB) (ms),4784.15,4744.66,4843.79,4744.76,4745.16,4745.67,4753.49,4755.25,4830.49,4834.20,4838.99,4842.83,40.59
Image Latency (ms/image),4784.53,4744.86,4844.54,4744.96,4745.36,4745.86,4753.70,4755.46,4831.12,4834.95,4839.75,4843.58,40.81
Image Throughput (images/sec),0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Request Latency (ms),4784.53,4744.86,4844.54,4744.96,4745.36,4745.86,4753.70,4755.46,4831.12,4834.95,4839.75,4843.58,40.81
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,0.00

Metric,Value
Benchmark Duration (sec),14.34
Maximum Response Timestamp (ns),1777924348199400192.00
Minimum Request Timestamp (ns),1777924333862626816.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),714.25
Request Count,10.00
Request Throughput (requests/sec),0.70
Total Input Sequence Length (tokens),8950.00
Total Output Sequence Length (tokens),10240.00
Total Output Tokens (tokens),10240.00
Total Token Throughput (tokens/sec),1338.52
Total Usage Completion Tokens (tokens),10240.00
Total Usage Prompt Tokens (tokens),8950.00
Total Usage Total Tokens (tokens),19190.00
