host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008432,2026/05/04 13:30:19.170, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 96.72, 32
nid008432,2026/05/04 13:30:19.173, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:30:19.174, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.26, 32
nid008432,2026/05/04 13:30:19.176, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 95.09, 30
nid008432,2026/05/04 13:30:22.250, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 96.59, 32
nid008432,2026/05/04 13:30:22.252, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:30:22.254, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.26, 32
nid008432,2026/05/04 13:30:22.255, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 95.09, 30
nid008432,2026/05/04 13:30:25.267, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 96.59, 32
nid008432,2026/05/04 13:30:25.269, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:30:25.270, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.26, 32
nid008432,2026/05/04 13:30:25.272, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 95.09, 31
nid008432,2026/05/04 13:30:28.331, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 96.59, 32
nid008432,2026/05/04 13:30:28.337, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:30:28.342, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.37, 32
nid008432,2026/05/04 13:30:28.344, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 95.09, 30
nid008432,2026/05/04 13:30:31.398, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 96.72, 32
nid008432,2026/05/04 13:30:31.400, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:30:31.403, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.26, 32
nid008432,2026/05/04 13:30:31.404, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.97, 31
nid008432,2026/05/04 13:30:34.459, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 96.83, 32
nid008432,2026/05/04 13:30:34.461, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:30:34.463, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.26, 32
nid008432,2026/05/04 13:30:34.465, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 95.09, 30
nid008432,2026/05/04 13:30:37.570, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 96.83, 32
nid008432,2026/05/04 13:30:37.572, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:30:37.574, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.37, 32
nid008432,2026/05/04 13:30:37.575, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 95.09, 31
nid008432,2026/05/04 13:30:40.659, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 17827, 81920, 0, 96.83, 32
nid008432,2026/05/04 13:30:40.661, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:30:40.664, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.26, 32
nid008432,2026/05/04 13:30:40.666, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.85, 31
nid008432,2026/05/04 13:30:43.725, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 17827, 81920, 0, 97.11, 32
nid008432,2026/05/04 13:30:43.727, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.60, 30
nid008432,2026/05/04 13:30:43.728, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 94.26, 32
nid008432,2026/05/04 13:30:43.730, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 95.09, 31
nid008432,2026/05/04 13:30:46.799, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 17827, 81920, 0, 97.00, 32
nid008432,2026/05/04 13:30:46.802, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.49, 30
