Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.15,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.36,0.51,0.51,0.52,0.23
HTTP Connection Overhead (ms),0.15,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.36,0.51,0.51,0.52,0.23
HTTP Connection Reused (ratio),0.70,0.00,1.00,0.00,0.00,0.00,0.25,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),3.28,2.43,6.01,2.46,2.60,2.76,2.90,2.99,3.20,3.75,4.88,5.78,0.95
HTTP Data Sent (KB),313.32,283.08,332.25,283.09,283.13,283.17,292.06,318.32,332.13,332.19,332.22,332.24,20.53
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),23300.75,22238.55,23851.68,22249.33,22292.46,22346.36,23200.30,23302.47,23834.08,23851.40,23851.54,23851.66,563.62
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.33,0.14,0.74,0.14,0.14,0.14,0.15,0.17,0.57,0.73,0.74,0.74,0.26
HTTP Total Time (ms),23300.89,22238.53,23852.18,22249.32,22292.44,22346.35,23200.29,23302.46,23834.45,23851.87,23852.03,23852.15,563.76
HTTP Waiting (TTFB) (ms),23300.41,22238.39,23850.92,22249.17,22292.30,22346.22,23200.15,23302.30,23833.48,23850.68,23850.80,23850.90,563.44
Image Latency (ms/image),23300.81,22238.61,23851.75,22249.39,22292.51,22346.41,23200.35,23302.53,23834.14,23851.47,23851.61,23851.72,563.62
Image Throughput (images/sec),0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Request Latency (ms),23300.81,22238.61,23851.75,22249.39,22292.51,22346.41,23200.35,23302.53,23834.14,23851.47,23851.61,23851.72,563.62
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,0.00

Metric,Value
Benchmark Duration (sec),69.40
Maximum Response Timestamp (ns),1777926806063757824.00
Minimum Request Timestamp (ns),1777926736667699968.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),147.56
Request Count,10.00
Request Throughput (requests/sec),0.14
Total Input Sequence Length (tokens),8950.00
Total Output Sequence Length (tokens),10240.00
Total Output Tokens (tokens),10240.00
Total Token Throughput (tokens/sec),276.53
Total Usage Completion Tokens (tokens),10240.00
Total Usage Prompt Tokens (tokens),8950.00
Total Usage Total Tokens (tokens),19190.00
