host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008500,2026/05/04 13:20:17.356, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 95.26, 32
nid008500,2026/05/04 13:20:17.360, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.05, 30
nid008500,2026/05/04 13:20:17.362, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 92.19, 32
nid008500,2026/05/04 13:20:17.363, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 92.88, 30
nid008500,2026/05/04 13:20:20.376, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 95.26, 32
nid008500,2026/05/04 13:20:20.382, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 91.94, 30
nid008500,2026/05/04 13:20:20.386, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 92.19, 32
nid008500,2026/05/04 13:20:20.392, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 92.88, 30
nid008500,2026/05/04 13:20:23.416, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 95.26, 32
nid008500,2026/05/04 13:20:23.422, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.29, 30
nid008500,2026/05/04 13:20:23.426, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 92.05, 32
nid008500,2026/05/04 13:20:23.432, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 92.71, 30
nid008500,2026/05/04 13:20:26.485, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 95.26, 32
nid008500,2026/05/04 13:20:26.487, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.05, 30
nid008500,2026/05/04 13:20:26.489, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 92.29, 32
nid008500,2026/05/04 13:20:26.490, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 92.71, 30
nid008500,2026/05/04 13:20:29.558, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 95.26, 32
nid008500,2026/05/04 13:20:29.562, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.05, 30
nid008500,2026/05/04 13:20:29.563, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 92.29, 32
nid008500,2026/05/04 13:20:29.565, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 92.99, 30
nid008500,2026/05/04 13:20:32.632, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 95.65, 32
nid008500,2026/05/04 13:20:32.635, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.19, 30
nid008500,2026/05/04 13:20:32.641, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 92.29, 32
nid008500,2026/05/04 13:20:32.643, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 92.99, 30
nid008500,2026/05/04 13:20:35.679, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 95.26, 32
nid008500,2026/05/04 13:20:35.681, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 91.94, 30
nid008500,2026/05/04 13:20:35.683, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 92.29, 32
nid008500,2026/05/04 13:20:35.684, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 92.71, 30
nid008500,2026/05/04 13:20:38.698, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10341, 81920, 0, 95.65, 32
nid008500,2026/05/04 13:20:38.700, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10341, 81920, 0, 92.29, 30
nid008500,2026/05/04 13:20:38.702, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 92.16, 32
nid008500,2026/05/04 13:20:38.703, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 92.99, 30
nid008500,2026/05/04 13:20:41.936, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10341, 81920, 0, 95.67, 32
nid008500,2026/05/04 13:20:41.938, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 10341, 81920, 0, 92.36, 30
nid008500,2026/05/04 13:20:41.944, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 72337, 81920, 100, 212.79, 38
nid008500,2026/05/04 13:20:41.946, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72687, 81920, 100, 249.54, 36
nid008500,2026/05/04 13:20:45.028, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 10341, 81920, 0, 95.67, 32
