Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.14,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.33,0.47,0.48,0.48,0.21
HTTP Connection Overhead (ms),0.14,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.33,0.47,0.48,0.48,0.21
HTTP Connection Reused (ratio),0.70,0.00,1.00,0.00,0.00,0.00,0.25,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),4.11,2.61,5.74,2.62,2.67,2.74,2.85,4.03,5.34,5.50,5.62,5.71,1.26
HTTP Data Sent (KB),333.07,283.04,502.15,283.05,283.06,283.07,292.04,332.12,332.21,349.22,425.69,486.86,60.24
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),11093.02,10951.06,11245.39,10951.13,10951.37,10951.68,11025.06,11028.42,11226.16,11233.61,11239.50,11244.21,115.24
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.31,0.14,0.70,0.14,0.15,0.15,0.15,0.16,0.53,0.68,0.69,0.70,0.24
HTTP Total Time (ms),11093.15,10951.05,11245.38,10951.11,10951.36,10951.67,11025.04,11028.40,11226.59,11234.03,11239.70,11244.24,115.40
HTTP Waiting (TTFB) (ms),11092.69,10950.90,11245.20,10950.96,10951.20,10951.50,11024.90,11028.25,11225.49,11232.94,11239.07,11243.97,115.06
Image Latency (ms/image),11093.08,10951.11,11245.44,10951.17,10951.42,10951.73,11025.11,11028.46,11226.23,11233.68,11239.56,11244.26,115.25
Image Throughput (images/sec),0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Request Latency (ms),11093.08,10951.11,11245.44,10951.17,10951.42,10951.73,11025.11,11028.46,11226.23,11233.68,11239.56,11244.26,115.25
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,0.00

Metric,Value
Benchmark Duration (sec),33.21
Maximum Response Timestamp (ns),1777926116388441344.00
Minimum Request Timestamp (ns),1777926083173513216.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),308.30
Request Count,10.00
Request Throughput (requests/sec),0.30
Total Input Sequence Length (tokens),8950.00
Total Output Sequence Length (tokens),10240.00
Total Output Tokens (tokens),10240.00
Total Token Throughput (tokens/sec),577.75
Total Usage Completion Tokens (tokens),10240.00
Total Usage Prompt Tokens (tokens),8950.00
Total Usage Total Tokens (tokens),19190.00
