Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),1.22,1.15,1.28,1.15,1.17,1.18,1.20,1.22,1.23,1.25,1.27,1.28,0.03
HTTP Data Sent (KB),3013.91,2270.53,4145.44,2270.53,2270.56,2270.65,2270.85,2865.75,4145.20,4145.37,4145.43,4145.44,803.73
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1778.71,1126.85,2089.14,1148.71,1618.26,1674.49,1699.91,1713.14,1870.31,2051.15,2079.74,2088.73,188.65
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.31,0.23,1.25,0.23,0.23,0.24,0.25,0.30,0.33,0.34,0.38,0.84,0.14
HTTP Total Time (ms),1778.70,1126.84,2089.13,1148.70,1618.25,1674.48,1699.90,1713.13,1870.30,2051.14,2079.73,2088.72,188.65
HTTP Waiting (TTFB) (ms),1778.39,1126.48,2088.83,1148.35,1617.98,1674.24,1699.59,1712.82,1870.01,2050.81,2079.44,2088.43,188.63
Image Latency (ms/image),1778.77,1126.92,2089.21,1148.78,1618.32,1674.54,1699.97,1713.20,1870.37,2051.23,2079.79,2088.80,188.65
Image Throughput (images/sec),0.57,0.48,0.89,0.48,0.48,0.49,0.53,0.58,0.59,0.60,0.62,0.87,0.07
Input Sequence Length (tokens),5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Request Latency (ms),1778.77,1126.92,2089.21,1148.78,1618.32,1674.54,1699.97,1713.20,1870.37,2051.23,2079.79,2088.80,188.65
Usage Completion Tokens (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,0.00
Usage Total Tokens (tokens),6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,0.00

Metric,Value
Benchmark Duration (sec),22.90
Maximum Response Timestamp (ns),1777923747783734528.00
Minimum Request Timestamp (ns),1777923724885329408.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),279.50
Request Count,50.00
Request Throughput (requests/sec),2.18
Total Input Sequence Length (tokens),295000.00
Total Output Sequence Length (tokens),6400.00
Total Output Tokens (tokens),6400.00
Total Token Throughput (tokens/sec),13162.49
Total Usage Completion Tokens (tokens),6400.00
Total Usage Prompt Tokens (tokens),295000.00
Total Usage Total Tokens (tokens),301400.00
