Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.09
HTTP Connection Overhead (ms),0.02,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.09
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),1.22,1.13,1.29,1.14,1.17,1.18,1.20,1.22,1.23,1.25,1.27,1.29,0.03
HTTP Data Sent (KB),2906.93,2270.55,4145.44,2270.56,2270.59,2270.61,2391.98,2629.02,2866.13,4145.32,4145.35,4145.40,731.13
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),8955.20,6303.68,9484.13,6329.54,8821.39,8825.99,8894.10,9004.57,9147.50,9257.77,9478.44,9482.84,565.36
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.31,0.22,1.19,0.23,0.24,0.24,0.25,0.26,0.31,0.37,0.61,1.00,0.17
HTTP Total Time (ms),8955.21,6303.67,9484.61,6329.53,8821.38,8825.98,8894.09,9004.56,9147.49,9257.76,9478.42,9483.30,565.38
HTTP Waiting (TTFB) (ms),8954.88,6303.42,9483.32,6329.29,8821.04,8825.67,8893.82,9004.32,9147.24,9257.50,9478.04,9482.03,565.33
Image Latency (ms/image),8955.26,6303.74,9484.21,6329.59,8821.45,8826.04,8894.15,9004.63,9147.55,9257.83,9478.50,9482.91,565.36
Image Throughput (images/sec),0.11,0.11,0.16,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.16,0.01
Input Sequence Length (tokens),5900.02,5900.00,5901.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.51,0.14
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Request Latency (ms),8955.26,6303.74,9484.21,6329.59,8821.45,8826.04,8894.15,9004.63,9147.55,9257.83,9478.50,9482.91,565.36
Usage Completion Tokens (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),5900.02,5900.00,5901.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.51,0.14
Usage Total Tokens (tokens),6028.02,6028.00,6029.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.51,0.14

Metric,Value
Benchmark Duration (sec),115.18
Maximum Response Timestamp (ns),1777926640046758400.00
Minimum Request Timestamp (ns),1777926524861800960.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),55.56
Request Count,50.00
Request Throughput (requests/sec),0.43
Total Input Sequence Length (tokens),295001.00
Total Output Sequence Length (tokens),6400.00
Total Output Tokens (tokens),6400.00
Total Token Throughput (tokens/sec),2616.67
Total Usage Completion Tokens (tokens),6400.00
Total Usage Prompt Tokens (tokens),295001.00
Total Usage Total Tokens (tokens),301401.00
