Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.08
HTTP Connection Overhead (ms),0.01,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.08
HTTP Connection Reused (ratio),0.98,0.00,1.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),1.21,1.08,1.28,1.10,1.16,1.17,1.20,1.22,1.23,1.26,1.27,1.28,0.04
HTTP Data Sent (KB),2902.30,2270.45,4145.58,2270.45,2270.58,2270.66,2392.05,2392.30,2866.08,4145.31,4145.40,4145.55,730.90
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3294.91,2562.21,3537.34,2564.22,3154.81,3204.75,3255.86,3317.29,3345.07,3480.48,3533.97,3536.86,175.60
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.32,0.22,1.12,0.22,0.23,0.24,0.24,0.26,0.31,0.45,0.66,1.01,0.17
HTTP Total Time (ms),3294.91,2562.20,3537.33,2564.21,3154.80,3204.74,3255.85,3317.28,3345.06,3480.47,3533.95,3536.85,175.60
HTTP Waiting (TTFB) (ms),3294.58,2561.89,3537.08,2563.92,3154.57,3204.47,3255.60,3317.03,3344.80,3480.14,3533.68,3536.60,175.57
Image Latency (ms/image),3294.97,2562.27,3537.38,2564.28,3154.87,3204.80,3255.91,3317.34,3345.12,3480.56,3534.02,3536.91,175.60
Image Throughput (images/sec),0.30,0.28,0.39,0.28,0.28,0.29,0.30,0.30,0.31,0.31,0.32,0.39,0.02
Input Sequence Length (tokens),5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Request Latency (ms),3294.97,2562.27,3537.38,2564.28,3154.87,3204.80,3255.91,3317.34,3345.12,3480.56,3534.02,3536.91,175.60
Usage Completion Tokens (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,0.00
Usage Total Tokens (tokens),6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,0.00

Metric,Value
Benchmark Duration (sec),42.53
Maximum Response Timestamp (ns),1777925372570197760.00
Minimum Request Timestamp (ns),1777925330041129472.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),150.49
Request Count,50.00
Request Throughput (requests/sec),1.18
Total Input Sequence Length (tokens),295000.00
Total Output Sequence Length (tokens),6400.00
Total Output Tokens (tokens),6400.00
Total Token Throughput (tokens/sec),7086.92
Total Usage Completion Tokens (tokens),6400.00
Total Usage Prompt Tokens (tokens),295000.00
Total Usage Total Tokens (tokens),301400.00
