Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),1.51,0.99,1.85,150.88,1.07,1.16,1.22,1.31,1.57,1.70,1.75,1.78,1.82,0.22
HTTP Data Sent (KB),1132.82,943.86,1593.71,113282.06,943.86,943.92,943.95,945.62,946.40,1219.72,1593.56,1593.59,1593.65,271.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2116.13,1499.11,2305.38,211612.95,1501.82,1807.85,1830.17,2145.88,2159.78,2184.27,2205.16,2234.29,2274.52,161.09
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.16,0.10,0.37,16.33,0.10,0.11,0.12,0.13,0.15,0.18,0.23,0.27,0.34,0.05
HTTP Total Time (ms),2116.12,1499.09,2305.37,211611.61,1501.81,1807.83,1830.16,2145.87,2159.76,2184.25,2205.14,2234.28,2274.51,161.09
HTTP Waiting (TTFB) (ms),2115.95,1498.97,2305.24,211595.28,1501.67,1807.69,1830.05,2145.74,2159.62,2184.03,2204.92,2234.14,2274.33,161.09
Image Latency (ms/image),2116.19,1499.16,2305.43,211618.65,1501.86,1807.91,1830.22,2145.93,2159.83,2184.34,2205.22,2234.33,2274.58,161.09
Image Throughput (images/sec),0.48,0.43,0.67,47.60,0.44,0.45,0.45,0.46,0.46,0.47,0.55,0.55,0.67,0.05
Input Sequence Length (tokens),3311.00,3311.00,3311.00,331100.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,0.00
Number of Images (images),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),2116.19,1499.16,2305.43,211618.65,1501.86,1807.91,1830.22,2145.93,2159.83,2184.34,2205.22,2234.33,2274.58,161.09
Usage Completion Tokens (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Tokens (tokens),3311.00,3311.00,3311.00,331100.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,0.00
Usage Total Tokens (tokens),3567.00,3567.00,3567.00,356700.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,0.00

Metric,Value
Benchmark Duration (sec),27.26
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),939.27
Request Count,100.00
Request Throughput (requests/sec),3.67
Total Input Sequence Length (tokens),331100.00
Total Output Sequence Length (tokens),25600.00
Total Output Tokens (tokens),25600.00
Total Token Throughput (tokens/sec),13087.40
Total Usage Completion Tokens (tokens),25600.00
Total Usage Prompt Tokens (tokens),331100.00
Total Usage Total Tokens (tokens),356700.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Power Usage (W),144.95,63.57,219.22,,65.42,100.70,130.80,133.88,135.98,163.84,188.52,197.61,212.57,29.83,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Energy Consumption (MJ),0.00,,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Utilization (%),95.75,26.00,100.00,,46.52,66.80,85.60,100.00,100.00,100.00,100.00,100.00,100.00,12.58,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Memory Used (GB),35.95,35.95,35.95,,35.95,35.95,35.95,35.95,35.95,35.95,35.95,35.95,35.95,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Temperature (°C),39.38,35.00,43.00,,35.76,36.00,37.00,38.00,40.00,41.00,42.00,42.00,43.00,1.93,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Memory Utilization (%),23.19,2.00,32.00,,7.32,10.00,12.00,13.00,28.00,28.00,29.00,30.00,32.00,7.88,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,SM Utilization (%),80.39,24.00,96.00,,25.52,32.40,40.80,68.00,94.00,95.00,95.00,96.00,96.00,22.34,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Decoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Encoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,JPEG Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Power Violation (us),0.00,,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Power Usage (W),140.63,61.33,211.02,,62.37,123.58,125.08,126.88,128.86,157.24,188.19,195.77,207.42,29.95,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Energy Consumption (MJ),0.00,,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Utilization (%),96.49,48.00,100.00,,50.28,66.00,93.20,100.00,100.00,100.00,100.00,100.00,100.00,11.08,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Memory Used (GB),35.95,35.95,35.95,,35.95,35.95,35.95,35.95,35.95,35.95,35.95,35.95,35.95,0.00,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Temperature (°C),37.91,33.00,41.00,,34.52,35.00,35.00,36.00,38.00,40.00,40.00,40.20,41.00,1.89,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Memory Utilization (%),23.09,6.00,31.00,,9.80,12.00,12.00,14.00,28.00,28.00,28.00,29.00,29.48,7.24,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,SM Utilization (%),80.00,24.00,95.00,,24.76,31.80,41.20,68.00,94.00,95.00,95.00,95.00,95.00,22.23,localhost
