Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),1.49,0.98,1.77,74.56,1.01,1.07,1.12,1.27,1.64,1.70,1.75,1.76,1.77,0.25
HTTP Data Sent (KB),363.02,282.92,502.43,18150.75,282.96,283.06,283.21,318.26,332.17,459.62,502.26,502.28,502.38,84.25
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1407.37,1254.87,1453.36,70368.44,1255.41,1397.28,1398.40,1402.78,1411.87,1419.73,1429.60,1435.24,1446.03,33.28
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.10,0.08,0.26,4.87,0.08,0.09,0.09,0.09,0.09,0.10,0.11,0.11,0.19,0.03
HTTP Total Time (ms),1407.36,1254.86,1453.34,70367.92,1255.39,1397.27,1398.39,1402.77,1411.86,1419.72,1429.59,1435.23,1446.01,33.28
HTTP Waiting (TTFB) (ms),1407.26,1254.76,1453.22,70363.05,1255.30,1397.17,1398.30,1402.68,1411.77,1419.62,1429.50,1435.14,1445.91,33.28
Image Latency (ms/image),1407.41,1254.91,1453.41,70370.44,1255.44,1397.32,1398.44,1402.82,1411.91,1419.77,1429.64,1435.28,1446.07,33.28
Image Throughput (images/sec),0.71,0.69,0.80,35.55,0.69,0.70,0.70,0.70,0.71,0.71,0.72,0.72,0.80,0.02
Input Sequence Length (tokens),895.00,895.00,895.00,44750.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,12800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,12800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),1407.41,1254.91,1453.41,70370.44,1255.44,1397.32,1398.44,1402.82,1411.91,1419.77,1429.64,1435.28,1446.07,33.28
Usage Completion Tokens (tokens),256.00,256.00,256.00,12800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,44750.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1151.00,1151.00,1151.00,57550.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,0.00

Metric,Value
Benchmark Duration (sec),18.24
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),701.78
Request Count,50.00
Request Throughput (requests/sec),2.74
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),12800.00
Total Output Tokens (tokens),12800.00
Total Token Throughput (tokens/sec),3155.28
Total Usage Completion Tokens (tokens),12800.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),57550.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Power Usage (W),134.06,114.86,177.43,,120.45,126.60,127.23,127.99,129.32,131.90,147.25,170.32,175.83,12.89,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Energy Consumption (MJ),0.00,,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Utilization (%),98.02,86.00,100.00,,86.50,90.00,91.00,100.00,100.00,100.00,100.00,100.00,100.00,4.06,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Memory Used (GB),35.76,35.76,35.76,,35.76,35.76,35.76,35.76,35.76,35.76,35.76,35.76,35.76,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Temperature (°C),37.37,35.00,40.00,,35.00,36.00,36.00,36.50,37.00,38.00,39.00,39.00,39.50,1.17,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Memory Utilization (%),25.20,14.00,28.00,,14.50,16.50,17.00,27.00,27.00,27.00,27.00,28.00,28.00,4.10,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,SM Utilization (%),79.35,33.00,97.00,,34.00,39.50,45.00,64.50,91.00,97.00,97.00,97.00,97.00,20.97,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Decoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Encoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,JPEG Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Power Violation (us),0.00,,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Power Usage (W),130.46,117.83,173.36,,119.30,121.12,121.83,123.26,125.44,127.17,150.78,166.14,172.01,13.87,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Energy Consumption (MJ),0.00,,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Utilization (%),98.55,90.00,100.00,,91.00,92.50,93.00,100.00,100.00,100.00,100.00,100.00,100.00,2.88,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Memory Used (GB),35.76,35.76,35.76,,35.76,35.76,35.76,35.76,35.76,35.76,35.76,35.76,35.76,0.00,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Temperature (°C),36.43,34.00,38.00,,34.00,34.50,35.00,36.00,37.00,37.00,38.00,38.00,38.00,1.15,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Memory Utilization (%),25.88,20.00,28.00,,20.50,21.50,22.00,25.00,27.00,27.00,27.00,28.00,28.00,2.18,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,SM Utilization (%),77.98,31.00,98.00,,32.50,37.00,43.00,61.00,89.00,97.00,98.00,98.00,98.00,21.83,localhost
