Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),1.57,1.01,1.84,156.62,1.01,1.14,1.25,1.42,1.64,1.71,1.75,1.80,1.83,0.20
HTTP Data Sent (KB),1110.75,943.54,1593.73,111075.00,943.54,943.84,943.90,944.11,946.39,1095.09,1593.51,1593.57,1593.66,249.08
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1926.99,1476.78,2214.32,192698.92,1490.23,1565.80,1616.15,1913.18,1946.04,2013.86,2074.20,2170.90,2209.75,158.69
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.14,0.09,0.27,14.26,0.10,0.10,0.11,0.12,0.14,0.15,0.20,0.22,0.27,0.04
HTTP Total Time (ms),1926.97,1476.77,2214.31,192697.40,1490.21,1565.78,1616.14,1913.16,1946.03,2013.84,2074.19,2170.88,2209.73,158.69
HTTP Waiting (TTFB) (ms),1926.83,1476.67,2214.18,192683.14,1490.09,1565.66,1616.01,1913.01,1945.92,2013.71,2074.05,2170.76,2209.59,158.68
Image Latency (ms/image),1927.04,1476.82,2214.37,192704.25,1490.27,1565.84,1616.19,1913.23,1946.09,2013.90,2074.24,2170.94,2209.80,158.69
Image Throughput (images/sec),0.52,0.45,0.68,52.29,0.45,0.46,0.48,0.50,0.51,0.52,0.62,0.64,0.67,0.05
Input Sequence Length (tokens),3311.00,3311.00,3311.00,331100.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,0.00
Number of Images (images),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),1927.04,1476.82,2214.37,192704.25,1490.27,1565.84,1616.19,1913.23,1946.09,2013.90,2074.24,2170.94,2209.80,158.69
Usage Completion Tokens (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Tokens (tokens),3311.00,3311.00,3311.00,331100.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,0.00
Usage Total Tokens (tokens),3567.00,3567.00,3567.00,356700.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,0.00

Metric,Value
Benchmark Duration (sec),24.93
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1026.73
Request Count,100.00
Request Throughput (requests/sec),4.01
Total Input Sequence Length (tokens),331100.00
Total Output Sequence Length (tokens),25600.00
Total Output Tokens (tokens),25600.00
Total Token Throughput (tokens/sec),14305.98
Total Usage Completion Tokens (tokens),25600.00
Total Usage Prompt Tokens (tokens),331100.00
Total Usage Total Tokens (tokens),356700.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Power Usage (W),38.99,38.77,39.16,,38.82,38.86,38.86,38.95,38.96,39.06,39.06,39.15,39.16,0.09,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Energy Consumption (MJ),0.00,,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Memory Used (GB),6.89,6.89,6.89,,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Temperature (°C),29.00,29.00,29.00,,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Memory Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,SM Utilization (%),0.61,0.00,2.00,,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00,0.92,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Decoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Encoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,JPEG Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Power Violation (us),0.00,,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Power Usage (W),203.12,60.27,304.93,,98.51,168.69,180.53,189.80,197.14,203.00,252.49,261.65,295.75,34.81,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Energy Consumption (MJ),0.01,,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Utilization (%),99.21,46.00,100.00,,82.57,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,6.45,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Memory Used (GB),34.71,34.70,34.71,,34.70,34.70,34.70,34.71,34.71,34.71,34.71,34.71,34.71,0.00,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Temperature (°C),42.77,37.00,48.00,,37.00,37.00,38.00,40.00,43.00,46.00,46.00,47.00,47.31,3.14,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Memory Utilization (%),52.44,24.00,61.00,,25.38,29.45,35.50,44.50,59.00,61.00,61.00,61.00,61.00,11.02,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,SM Utilization (%),81.09,23.00,99.00,,25.07,31.90,40.70,64.75,96.00,98.75,99.00,99.00,99.00,24.05,localhost
