Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),1.48,1.01,1.85,147.82,1.01,1.07,1.14,1.25,1.55,1.69,1.73,1.75,1.84,0.24
HTTP Data Sent (KB),1146.80,943.81,1593.72,114679.85,943.83,943.86,943.94,946.16,946.47,1593.41,1593.59,1593.62,1593.71,271.27
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1276.20,1046.52,1464.76,127619.56,1059.07,1123.67,1188.09,1253.24,1276.15,1316.43,1340.88,1410.53,1464.37,78.46
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.13,0.10,0.26,12.82,0.10,0.10,0.10,0.11,0.12,0.14,0.16,0.19,0.20,0.03
HTTP Total Time (ms),1276.19,1046.51,1464.75,127618.57,1059.06,1123.66,1188.08,1253.23,1276.14,1316.42,1340.87,1410.51,1464.35,78.46
HTTP Waiting (TTFB) (ms),1276.06,1046.39,1464.62,127605.75,1058.94,1123.53,1187.97,1253.13,1276.01,1316.30,1340.75,1410.25,1464.15,78.45
Image Latency (ms/image),1276.24,1046.56,1464.81,127624.20,1059.13,1123.72,1188.13,1253.28,1276.20,1316.47,1340.92,1410.62,1464.43,78.46
Image Throughput (images/sec),0.79,0.68,0.96,78.66,0.68,0.71,0.75,0.76,0.78,0.80,0.84,0.89,0.94,0.05
Input Sequence Length (tokens),3311.00,3311.00,3311.00,331100.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,0.00
Number of Images (images),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),1276.24,1046.56,1464.81,127624.20,1059.13,1123.72,1188.13,1253.28,1276.20,1316.47,1340.92,1410.62,1464.43,78.46
Usage Completion Tokens (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Tokens (tokens),3311.00,3311.00,3311.00,331100.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,3311.00,0.00
Usage Total Tokens (tokens),3567.00,3567.00,3567.00,356700.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,3567.00,0.00

Metric,Value
Benchmark Duration (sec),16.52
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1549.95
Request Count,100.00
Request Throughput (requests/sec),6.05
Total Input Sequence Length (tokens),331100.00
Total Output Sequence Length (tokens),25600.00
Total Output Tokens (tokens),25600.00
Total Token Throughput (tokens/sec),21596.42
Total Usage Completion Tokens (tokens),25600.00
Total Usage Prompt Tokens (tokens),331100.00
Total Usage Total Tokens (tokens),356700.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
