Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),1.53,1.09,1.85,76.26,1.10,1.12,1.14,1.35,1.61,1.71,1.74,1.75,1.81,0.22
HTTP Data Sent (KB),358.26,282.98,502.42,17912.86,283.02,283.08,283.15,318.32,318.56,332.32,502.28,502.34,502.39,82.54
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1016.41,967.44,1055.62,50820.41,973.56,994.22,1004.30,1011.75,1015.13,1020.56,1027.75,1050.70,1055.47,15.48
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.10,0.10,0.13,5.20,0.10,0.10,0.10,0.10,0.10,0.10,0.11,0.12,0.13,0.01
HTTP Total Time (ms),1016.40,967.44,1055.62,50819.99,973.55,994.21,1004.29,1011.75,1015.12,1020.55,1027.74,1050.69,1055.46,15.48
HTTP Waiting (TTFB) (ms),1016.30,967.34,1055.49,50814.78,973.45,994.11,1004.19,1011.65,1015.02,1020.44,1027.64,1050.57,1055.34,15.48
Image Latency (ms/image),1016.45,967.48,1055.67,50822.48,973.60,994.26,1004.34,1011.79,1015.16,1020.60,1027.78,1050.74,1055.52,15.48
Image Throughput (images/sec),0.98,0.95,1.03,49.20,0.95,0.95,0.97,0.98,0.99,0.99,1.00,1.01,1.03,0.01
Input Sequence Length (tokens),895.00,895.00,895.00,44750.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,12800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,12800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),1016.45,967.48,1055.67,50822.48,973.60,994.26,1004.34,1011.79,1015.16,1020.60,1027.78,1050.74,1055.52,15.48
Usage Completion Tokens (tokens),256.00,256.00,256.00,12800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,44750.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1151.00,1151.00,1151.00,57550.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,0.00

Metric,Value
Benchmark Duration (sec),13.21
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),969.19
Request Count,50.00
Request Throughput (requests/sec),3.79
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),12800.00
Total Output Tokens (tokens),12800.00
Total Token Throughput (tokens/sec),4357.55
Total Usage Completion Tokens (tokens),12800.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),57550.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
