Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),1.48,1.08,1.77,74.18,1.09,1.11,1.13,1.20,1.60,1.71,1.74,1.75,1.77,0.25
HTTP Data Sent (KB),369.14,283.05,502.49,18456.98,283.08,283.16,283.22,318.29,332.21,502.10,502.27,502.35,502.48,88.79
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1069.23,1043.89,1183.39,53461.43,1045.43,1049.09,1051.06,1055.69,1064.69,1071.30,1078.54,1109.66,1180.40,26.20
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.10,0.08,0.15,4.89,0.08,0.09,0.09,0.09,0.10,0.10,0.10,0.12,0.14,0.01
HTTP Total Time (ms),1069.22,1043.88,1183.38,53460.76,1045.41,1049.08,1051.05,1055.68,1064.68,1071.29,1078.53,1109.65,1180.38,26.20
HTTP Waiting (TTFB) (ms),1069.12,1043.79,1183.28,53455.87,1045.32,1048.99,1050.96,1055.58,1064.59,1071.20,1078.43,1109.54,1180.26,26.19
Image Latency (ms/image),1069.27,1043.93,1183.44,53463.54,1045.47,1049.13,1051.10,1055.73,1064.73,1071.34,1078.59,1109.71,1180.45,26.20
Image Throughput (images/sec),0.94,0.84,0.96,46.79,0.85,0.90,0.93,0.93,0.94,0.95,0.95,0.95,0.96,0.02
Input Sequence Length (tokens),895.00,895.00,895.00,44750.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,12800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,12800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),1069.27,1043.93,1183.44,53463.54,1045.47,1049.13,1051.10,1055.73,1064.73,1071.34,1078.59,1109.71,1180.45,26.20
Usage Completion Tokens (tokens),256.00,256.00,256.00,12800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,44750.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1151.00,1151.00,1151.00,57550.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,1151.00,0.00

Metric,Value
Benchmark Duration (sec),13.89
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),921.45
Request Count,50.00
Request Throughput (requests/sec),3.60
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),12800.00
Total Output Tokens (tokens),12800.00
Total Token Throughput (tokens/sec),4142.91
Total Usage Completion Tokens (tokens),12800.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),57550.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Power Usage (W),39.73,39.59,39.79,,39.59,39.60,39.67,39.69,39.70,39.79,39.79,39.79,39.79,0.06,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Energy Consumption (MJ),0.00,,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Memory Used (GB),6.02,6.02,6.02,,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,GPU Temperature (°C),30.00,30.00,30.00,,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Memory Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,SM Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Decoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Encoder Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,JPEG Utilization (%),0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-PCIE-40GB,GPU-a464890c-0bf2-70c9-39e7-cbd66a0ed735,Power Violation (us),0.00,,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Power Usage (W),59.45,39.15,151.64,,39.15,39.16,39.16,39.36,41.12,56.17,126.91,140.10,150.21,35.82,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Energy Consumption (MJ),0.00,,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Utilization (%),5.21,0.00,40.00,,0.00,0.00,0.00,0.00,0.00,9.00,18.40,25.50,36.20,9.90,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Memory Used (GB),34.50,34.50,34.50,,34.50,34.50,34.50,34.50,34.50,34.50,34.50,34.50,34.50,0.00,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,GPU Temperature (°C),31.05,30.00,33.00,,30.00,30.00,30.00,31.00,31.00,31.50,32.00,32.00,32.62,0.76,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,Memory Utilization (%),1.36,0.00,9.00,,0.00,0.00,0.00,0.00,0.00,2.00,5.20,7.20,9.00,2.57,localhost
localhost,1,NVIDIA A100-PCIE-40GB,GPU-42c74adb-73af-e2df-397f-6c5889e8d5d9,SM Utilization (%),5.38,2.00,8.00,,2.00,2.00,2.80,4.00,5.00,7.00,8.00,8.00,8.00,2.05,localhost
