Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.93,0.00,2.64,9.35,0.00,0.00,0.00,0.00,0.00,2.22,2.58,2.61,2.64,1.17
HTTP Connection Overhead (ms),1.56,0.00,4.49,15.57,0.00,0.00,0.00,0.00,0.00,3.66,4.38,4.44,4.48,1.96
HTTP Connection Reused (ratio),0.60,0.00,1.00,6.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),0.85,0.70,1.42,8.45,0.70,0.70,0.71,0.72,0.80,0.84,0.96,1.19,1.37,0.20
HTTP Data Sent (KB),399.68,282.99,502.25,3996.76,283.01,283.06,283.13,291.94,410.19,502.18,502.19,502.22,502.24,103.20
HTTP DNS Lookup (ms),0.62,0.00,1.85,6.22,0.00,0.00,0.00,0.00,0.00,1.44,1.80,1.82,1.84,0.79
HTTP Duration (excl. conn) (ms),22382.57,340.40,55789.77,223825.70,345.50,365.90,391.40,412.05,511.33,55125.52,55312.84,55551.30,55742.07,26880.63
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),1.15,0.09,3.00,11.50,0.09,0.09,0.09,0.12,0.17,2.55,2.92,2.96,2.99,1.27
HTTP Total Time (ms),22384.09,340.38,55794.08,223840.93,345.48,365.88,391.39,412.04,511.31,55129.49,55316.79,55555.44,55746.35,26882.51
HTTP Waiting (TTFB) (ms),22381.39,340.29,55786.80,223813.86,345.39,365.78,391.28,411.90,511.14,55122.66,55310.06,55548.43,55739.12,26879.36
Image Latency (ms/image),22382.67,340.43,55789.93,223826.66,345.53,365.94,391.44,412.10,511.38,55125.69,55313.00,55551.47,55742.24,26880.69
Image Throughput (images/sec),1.42,0.02,2.94,14.16,0.02,0.02,0.02,0.02,1.96,2.43,2.56,2.75,2.90,1.17
Input Sequence Length (tokens),895.00,895.00,895.00,8950.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),93.00,59.00,209.00,930.00,59.45,61.25,63.50,66.75,82.50,94.75,120.80,164.90,200.18,41.63
Output Token Count (tokens),93.00,59.00,209.00,930.00,59.45,61.25,63.50,66.75,82.50,94.75,120.80,164.90,200.18,41.63
Request Latency (ms),22382.67,340.43,55789.93,223826.66,345.53,365.94,391.44,412.10,511.38,55125.69,55313.00,55551.47,55742.24,26880.69
Usage Completion Tokens (tokens),93.00,59.00,209.00,930.00,59.45,61.25,63.50,66.75,82.50,94.75,120.80,164.90,200.18,41.63
Usage Prompt Tokens (tokens),895.00,895.00,895.00,8950.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),988.00,954.00,1104.00,9880.00,954.45,956.25,958.50,961.75,977.50,989.75,1015.80,1059.90,1095.18,41.63

Metric,Value
Benchmark Duration (sec),56.14
Output Token Throughput (tokens/sec),16.56
Request Count,10.00
Request Throughput (requests/sec),0.18
Total Input Sequence Length (tokens),8950.00
Total Output Sequence Length (tokens),930.00
Total Output Tokens (tokens),930.00
Total Token Throughput (tokens/sec),175.98
Total Usage Completion Tokens (tokens),930.00
Total Usage Prompt Tokens (tokens),8950.00
Total Usage Total Tokens (tokens),9880.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
